case:concept:name	cluster_label
1040_TRT12	0.8421
1040_TRT15	0.0
1040_TRT18	0.1053
1040_TRT20	0.6316
1040_TRT21	0.7105
1040_TRT4	0.4211
1040_TRT7	0.1053
1040_TRT8	0.6316
1041_TRT1	0.1316
1041_TRT18	0.1053
1041_TRT20	0.8684
10427_TRT18	0.1053
10428_TRT18	0.3158
1042_TRT14	0.1316
1042_TRT15	0.1316
1042_TRT20	0.6316
1042_TRT22	0.1316
1042_TRT8	0.8158
10430_TRT18	0.0789
10432_TRT18	0.3158
10435_TRT18	0.1053
10439_TRT18	0.1053
1043_TRT11	0.1316
1043_TRT12	0.8421
1043_TRT14	0.0789
1043_TRT20	0.8684
1043_TRT22	0.1316
10441_TRT18	0.8158
10443_TRT18	0.7895
10446_TRT18	0.3158
10448_TRT18	0.6316
10449_TRT18	0.8158
1044_TRT15	0.1316
1044_TRT20	0.8684
1044_TRT22	0.1316
1044_TRT4	0.4211
1044_TRT8	0.8158
10450_TRT18	0.6316
10453_TRT18	0.1053
10455_TRT18	0.1053
10458_TRT18	0.7105
10459_TRT18	0.7895
1045_TRT11	0.2632
1045_TRT12	1.0
1045_TRT15	0.1316
1045_TRT20	0.8684
1045_TRT21	0.5263
1045_TRT4	0.7895
10460_TRT18	0.7105
10463_TRT18	0.1053
10464_TRT18	0.7895
10467_TRT18	0.1053
10469_TRT18	0.7895
1046_TRT11	0.1316
1046_TRT15	0.0
1046_TRT20	0.8684
1046_TRT21	0.7105
10470_TRT18	0.5263
10474_TRT18	0.6316
10477_TRT18	0.6316
10479_TRT18	0.6316
1047_TRT15	0.0263
1047_TRT21	0.5263
1047_TRT22	0.1316
1047_TRT4	0.4211
1047_TRT8	0.8158
10480_TRT18	0.6316
10481_TRT18	0.1053
1048_TRT11	0.0789
1048_TRT14	0.3947
1048_TRT15	0.0
1048_TRT18	0.1053
1048_TRT21	0.5263
10497_TRT18	0.6316
1049_TRT11	0.2632
1049_TRT12	0.7105
1049_TRT15	0.0
1049_TRT21	0.5263
1049_TRT22	0.1316
1049_TRT4	0.7895
1049_TRT8	0.7105
104_TRT11	0.3947
104_TRT3	0.1053
104_TRT9	0.5789
10500_TRT18	0.6316
10503_TRT18	0.6316
10508_TRT18	0.1053
10509_TRT18	0.1053
1050_TRT11	0.1316
1050_TRT15	0.5526
1050_TRT21	0.5263
1050_TRT4	0.4211
10511_TRT18	0.7895
10513_TRT18	0.3158
10514_TRT18	0.3158
10515_TRT18	0.3158
10516_TRT18	0.6316
10517_TRT18	0.8158
10518_TRT18	0.7895
1051_TRT11	0.3947
1051_TRT12	0.7105
1051_TRT4	0.7895
10520_TRT18	0.1053
10522_TRT18	0.7895
1052_TRT11	0.5526
1052_TRT15	0.1579
1052_TRT22	0.1316
1052_TRT4	0.4211
1052_TRT8	0.7105
10536_TRT18	0.1053
1053_TRT11	0.2632
1053_TRT15	0.1316
1053_TRT20	0.1053
1053_TRT8	0.7105
10544_TRT18	0.6316
10545_TRT18	0.1053
10546_TRT18	0.7895
1054_TRT11	0.2632
1054_TRT15	0.0
1054_TRT21	0.0789
1054_TRT4	0.7895
1054_TRT8	0.7105
10552_TRT18	0.6316
10553_TRT18	0.6316
10555_TRT18	0.1053
1055_TRT15	0.0
1055_TRT20	0.8684
1055_TRT22	0.1316
10560_TRT18	0.3158
10563_TRT18	0.7895
10564_TRT18	0.8158
10565_TRT18	0.6316
10567_TRT18	0.1053
10569_TRT18	0.6316
1056_TRT11	0.3421
1056_TRT12	0.8421
1056_TRT15	0.0789
1056_TRT20	0.8684
1056_TRT22	0.1316
10578_TRT18	0.1053
1057_TRT11	0.3158
1057_TRT20	0.6316
1057_TRT21	0.5263
1057_TRT22	0.1316
1057_TRT7	0.1053
10580_TRT18	0.1053
10581_TRT18	0.6316
1058_TRT11	0.3421
1058_TRT15	0.1316
1058_TRT18	0.6316
1058_TRT20	0.8684
1058_TRT21	0.5263
1058_TRT22	0.1316
10591_TRT18	0.1053
10593_TRT18	0.6316
10594_TRT18	0.6316
10595_TRT18	0.1053
1059_TRT12	0.8421
1059_TRT14	0.1316
1059_TRT15	0.1316
1059_TRT20	0.7105
1059_TRT21	0.0789
1059_TRT22	0.1316
1059_TRT7	0.1053
105_TRT18	0.1053
105_TRT20	0.8684
105_TRT22	0.1316
105_TRT7	0.1053
10603_TRT18	0.1053
10606_TRT18	0.1053
10607_TRT18	0.3421
10608_TRT18	0.3158
1060_TRT11	0.3421
1060_TRT14	0.0
1060_TRT21	0.0789
1060_TRT22	0.2895
1060_TRT8	0.8158
10611_TRT18	0.8158
10617_TRT18	0.3158
10619_TRT18	0.7895
1061_TRT11	0.2632
1061_TRT21	0.0789
10620_TRT18	0.7895
10623_TRT18	0.7895
10624_TRT18	0.7895
10625_TRT18	0.7895
10626_TRT18	0.3158
10627_TRT18	0.7895
10629_TRT18	0.7895
1062_TRT12	0.8158
1062_TRT21	0.0789
1062_TRT22	0.8158
10630_TRT18	0.7895
10635_TRT18	0.8158
10636_TRT18	0.3158
10637_TRT18	0.5263
1063_TRT12	1.0
1063_TRT21	0.5263
1063_TRT7	0.1053
10640_TRT18	0.2895
10641_TRT18	0.7895
10644_TRT18	0.1053
10646_TRT18	0.2895
10649_TRT18	0.7105
1064_TRT11	0.5526
1064_TRT15	0.0
1064_TRT18	0.6316
1064_TRT20	0.7105
1064_TRT22	0.1316
10651_TRT18	0.7895
10652_TRT18	0.8158
10653_TRT18	0.7895
10654_TRT18	0.6316
10655_TRT18	0.6316
10656_TRT18	0.1053
1065_TRT11	0.2632
1065_TRT12	0.8421
1065_TRT15	0.2632
1065_TRT21	0.7105
1065_TRT22	0.1316
1065_TRT7	0.1053
10661_TRT18	0.1053
10662_TRT18	0.1053
10664_TRT18	0.6316
10667_TRT18	0.6316
1066_TRT15	0.3947
1066_TRT18	0.1053
1066_TRT21	0.7105
1066_TRT22	0.1316
1066_TRT8	0.8158
10671_TRT18	0.6316
10676_TRT18	0.1053
10677_TRT18	0.8158
10678_TRT18	0.1053
1067_TRT11	0.3421
1067_TRT15	0.1316
1067_TRT18	0.1053
1067_TRT21	0.0789
1067_TRT22	0.2895
1067_TRT8	0.8158
10681_TRT18	0.1053
10682_TRT18	0.8158
10683_TRT18	0.1053
10684_TRT18	0.3158
10686_TRT18	0.6316
1068_TRT11	0.3947
1068_TRT15	0.1842
10690_TRT18	0.7895
10691_TRT18	0.7895
10692_TRT18	0.6316
10693_TRT18	0.1053
10699_TRT18	0.5263
1069_TRT11	0.3947
1069_TRT12	0.8158
1069_TRT15	0.1316
1069_TRT21	0.0789
1069_TRT22	0.1316
106_TRT11	0.7105
10700_TRT18	0.7895
10702_TRT18	0.5263
10707_TRT18	0.3158
1070_TRT11	0.2895
1070_TRT12	0.7895
1070_TRT20	0.8684
1070_TRT22	0.1316
10714_TRT18	0.1053
10718_TRT18	0.1053
1071_TRT11	0.2632
1071_TRT15	0.1842
1071_TRT20	0.8684
1071_TRT21	0.7105
1071_TRT22	0.1316
10720_TRT18	0.7105
10722_TRT18	0.6316
10723_TRT18	0.1053
1072_TRT20	0.8684
1072_TRT21	0.5263
1072_TRT22	0.1316
10731_TRT18	0.6316
10733_TRT18	0.1053
1073_TRT11	0.1316
1073_TRT15	0.0789
1073_TRT20	0.8684
1073_TRT21	0.7105
1073_TRT22	0.1316
10742_TRT18	0.3158
10744_TRT18	0.7895
10745_TRT18	0.7105
10746_TRT18	0.3158
10747_TRT18	0.7895
10749_TRT18	0.7895
1074_TRT15	0.1316
1074_TRT20	0.8684
10755_TRT18	0.7895
10757_TRT18	0.8158
1075_TRT12	0.7105
1075_TRT20	0.8684
10761_TRT18	0.6316
10767_TRT18	0.1053
1076_TRT15	0.1316
1076_TRT20	0.8684
1076_TRT4	0.7895
10773_TRT18	0.7895
10774_TRT18	0.7895
10776_TRT18	0.3158
10779_TRT18	0.3158
1077_TRT12	0.8421
1077_TRT20	0.8684
1077_TRT21	0.7105
1077_TRT4	0.4211
1077_TRT8	0.7105
10780_TRT18	0.6316
10784_TRT18	0.6316
10785_TRT18	0.6316
10787_TRT18	0.5263
1078_TRT12	0.8421
1078_TRT15	0.1316
1078_TRT20	0.8684
1078_TRT21	0.7105
10791_TRT18	0.6316
10793_TRT18	0.1053
10795_TRT18	0.1053
1079_TRT11	0.3158
1079_TRT12	0.8421
1079_TRT20	0.8684
1079_TRT21	0.7105
1079_TRT8	0.7105
107_TRT20	0.8684
10809_TRT18	0.1053
1080_TRT11	0.1316
1080_TRT15	0.0263
1080_TRT20	0.8684
1080_TRT21	0.0789
1080_TRT4	0.4211
1080_TRT8	0.7105
10819_TRT18	0.0789
1081_TRT11	0.3947
1081_TRT12	0.8421
1081_TRT15	0.4211
1081_TRT20	0.7105
1081_TRT21	0.7105
1081_TRT22	0.2895
1081_TRT8	0.6316
10820_TRT18	0.7895
10822_TRT18	0.7895
10828_TRT18	0.7895
1082_TRT20	0.8684
10830_TRT18	0.1053
10832_TRT18	0.1053
10835_TRT18	0.1053
10838_TRT18	0.7105
1083_TRT11	0.2895
1083_TRT12	1.0
1083_TRT15	0.0
1083_TRT20	0.8684
1083_TRT8	0.6316
10843_TRT18	0.7105
10844_TRT18	0.3158
10845_TRT18	0.6316
10846_TRT18	0.1053
10847_TRT18	0.8158
1084_TRT12	0.8421
1084_TRT15	0.0
1084_TRT20	0.8684
1084_TRT21	0.7105
1084_TRT7	0.1053
10855_TRT18	0.1053
10857_TRT18	0.7895
10857_TRT6	0.1316
10858_TRT18	0.7895
10859_TRT18	0.8158
1085_TRT12	0.7895
1085_TRT20	0.8684
1085_TRT21	0.7105
1085_TRT22	0.2895
1086_TRT14	0.1316
1086_TRT15	0.1316
1086_TRT18	0.6316
1086_TRT21	0.7105
10871_TRT18	0.6316
10878_TRT18	0.6316
1087_TRT11	0.5526
1087_TRT15	0.0
1087_TRT18	0.1053
1087_TRT20	0.6316
1087_TRT21	0.7105
10889_TRT18	0.3158
1088_TRT11	0.1316
1088_TRT21	0.0789
10891_TRT18	0.3158
10894_TRT18	0.8158
10895_TRT18	0.7105
10896_TRT18	0.0789
10897_TRT18	0.7105
1089_TRT11	0.7105
1089_TRT15	0.1579
1089_TRT20	0.8684
1089_TRT21	0.7105
1089_TRT4	0.7895
108_TRT11	0.3421
108_TRT20	0.7105
108_TRT6	0.5263
10900_TRT18	0.7895
10901_TRT18	0.7105
10903_TRT18	0.7105
10904_TRT18	0.7105
10905_TRT18	0.7105
10906_TRT18	0.7105
1090_TRT11	0.1316
1090_TRT15	0.7105
1090_TRT20	0.8684
10910_TRT18	0.7105
10913_TRT18	0.1053
10914_TRT18	0.6316
10919_TRT18	0.7105
1091_TRT11	0.0
1091_TRT15	0.1579
1091_TRT20	0.8684
1091_TRT21	0.5263
1091_TRT8	0.8158
10920_TRT18	0.7105
10921_TRT18	0.7105
10922_TRT18	0.7105
10923_TRT18	0.7105
10924_TRT18	0.7105
1092_TRT20	0.8684
1093_TRT12	0.7895
1093_TRT15	0.1316
1093_TRT21	0.7105
1093_TRT22	0.1316
1093_TRT8	0.8158
10942_TRT18	0.6316
10943_TRT18	0.1053
10945_TRT18	0.3158
10947_TRT18	0.6316
1094_TRT10	0.3421
1094_TRT11	0.1316
1094_TRT12	0.7895
1094_TRT15	0.2895
1094_TRT22	0.1316
1094_TRT4	0.7895
1094_TRT8	0.8158
1094_TRT9	0.2105
10950_TRT18	0.6316
10951_TRT18	0.1053
10958_TRT18	0.7895
10959_TRT18	0.7895
1095_TRT10	0.1316
1095_TRT15	0.1842
1095_TRT21	0.7105
1095_TRT8	0.7105
10961_TRT18	0.7895
10962_TRT18	0.6316
10962_TRT6	0.8158
10964_TRT18	0.1053
10965_TRT18	0.7895
10966_TRT18	0.7105
10969_TRT18	0.7105
1096_TRT21	0.5263
10970_TRT18	0.7105
10971_TRT18	0.7105
10972_TRT18	0.7105
10973_TRT18	0.7895
10975_TRT18	0.7895
1097_TRT11	0.1316
1097_TRT15	0.1316
1097_TRT21	0.7105
1097_TRT22	0.1316
1097_TRT8	0.8158
10984_TRT6	0.1316
10987_TRT18	0.1053
1098_TRT15	0.0
1098_TRT20	0.8684
1098_TRT4	0.7895
10990_TRT18	0.6316
10991_TRT18	0.2895
10993_TRT18	0.7895
10996_TRT18	0.2895
10997_TRT18	0.7895
10998_TRT18	0.7895
10999_TRT18	0.7895
1099_TRT1	0.0789
1099_TRT14	0.3947
1099_TRT20	0.8684
109_TRT11	0.7105
109_TRT4	0.5526
10_TRT11	0.6316
10_TRT12	0.8421
10_TRT14	0.1053
10_TRT18	0.1053
10_TRT20	0.7105
10_TRT22	0.7895
11002_TRT18	0.7105
11004_TRT18	0.6316
11005_TRT18	0.1053
11006_TRT18	0.6316
11009_TRT19	0.1053
1100_TRT11	0.1316
1100_TRT20	0.8684
1100_TRT4	0.4211
1100_TRT9	0.2105
1101_TRT12	0.7105
1101_TRT15	0.0263
1101_TRT20	0.8684
1101_TRT21	0.7105
1101_TRT4	0.4211
1101_TRT8	0.8158
11023_TRT18	0.5263
11026_TRT18	0.0789
1102_TRT21	0.5263
1102_TRT22	0.1316
1102_TRT8	0.8158
11030_TRT18	0.8158
11032_TRT18	0.8158
11034_TRT6	0.1316
11035_TRT18	0.1053
11035_TRT6	0.1316
11036_TRT6	0.1316
11038_TRT18	0.1053
1103_TRT11	0.2632
1103_TRT12	0.7895
1103_TRT20	0.1053
1103_TRT8	0.8158
11041_TRT18	0.6316
11042_TRT18	0.1053
11043_TRT18	0.1053
11044_TRT18	0.6316
11049_TRT6	0.5263
1104_TRT11	0.3947
1104_TRT12	0.8421
1104_TRT15	0.1316
1104_TRT18	0.6316
1104_TRT20	0.6316
1104_TRT22	0.1316
1104_TRT8	0.7105
1104_TRT9	0.2105
11054_TRT18	0.6316
11055_TRT18	0.1053
11056_TRT18	0.8158
11058_TRT18	0.3158
11059_TRT18	0.8158
1105_TRT12	0.7895
1105_TRT15	0.1316
1105_TRT20	0.8684
1105_TRT4	0.4211
11060_TRT18	0.6316
11061_TRT18	0.7895
11062_TRT18	0.5263
11063_TRT18	0.7105
11068_TRT18	0.7895
11069_TRT18	0.6579
1106_TRT11	0.2632
1106_TRT14	0.3947
1106_TRT20	0.6316
1106_TRT8	0.6316
1106_TRT9	0.2105
11072_TRT18	0.7895
11076_TRT18	0.1053
1107_TRT14	0.1316
1107_TRT15	0.3158
1107_TRT18	0.1053
1107_TRT20	0.7105
1108_TRT11	0.3158
1108_TRT15	0.0
1108_TRT20	0.8684
1108_TRT8	0.7105
11096_TRT18	0.6316
11097_TRT18	0.6316
11098_TRT19	0.1053
11099_TRT18	0.6316
1109_TRT12	1.0
1109_TRT14	0.7105
1109_TRT15	0.1842
1109_TRT18	0.6316
1109_TRT20	0.6316
1109_TRT21	0.7105
1109_TRT8	0.7105
110_TRT11	0.5526
110_TRT20	0.8684
11100_TRT18	0.6316
11104_TRT18	0.7895
11105_TRT19	0.1053
11106_TRT18	0.8158
11107_TRT18	0.3158
11109_TRT18	0.6579
1110_TRT11	0.7105
1110_TRT12	0.7895
1110_TRT14	0.3947
1110_TRT21	0.7105
1110_TRT22	0.1316
1110_TRT4	0.7895
1110_TRT7	0.1053
1110_TRT8	0.7105
1110_TRT9	0.2105
11111_TRT18	0.7895
11112_TRT18	0.3158
11113_TRT18	0.6579
11115_TRT19	0.1053
11119_TRT18	0.6316
1111_TRT15	0.0263
1111_TRT21	0.5263
1111_TRT8	0.7105
11120_TRT19	0.1316
11123_TRT18	0.7895
11128_TRT19	0.3421
11129_TRT18	0.6316
1112_TRT11	0.3158
1112_TRT12	0.8421
1112_TRT15	0.8158
1112_TRT7	0.1053
11139_TRT18	0.8158
1113_TRT1	0.1316
1113_TRT10	0.2632
1113_TRT12	1.0
1113_TRT15	0.1316
1113_TRT4	0.7895
11140_TRT18	0.8158
11144_TRT18	0.8158
11145_TRT19	0.1316
11146_TRT6	0.3158
1114_TRT10	0.1316
1114_TRT11	0.3421
1114_TRT12	0.7895
1114_TRT15	0.1316
1114_TRT20	0.8684
1114_TRT24	0.6316
1114_TRT7	0.1053
11153_TRT18	0.7105
1115_TRT11	0.2632
1115_TRT12	1.0
1115_TRT20	0.8684
1115_TRT24	0.1053
1115_TRT7	0.1053
1115_TRT8	0.7105
11161_TRT18	0.7895
11163_TRT18	0.7895
11164_TRT18	0.7895
11166_TRT18	0.1053
1116_TRT12	1.0
1116_TRT15	0.1842
11170_TRT19	0.2632
11172_TRT19	0.1316
11173_TRT6	0.1316
11175_TRT18	0.8158
11176_TRT18	0.1053
