EVENT_LOG	DISCOVERY_ALG	ALIGN	PROP2	PROP	BL	FREQ_50	FREQ_25	TIME_ALIGN	TIME_PROP2	TIME_PROP	TIME_BL	TIME_FREQ_50	TIME_FREQ_25
4a_VARA_CIVEL_-_TJGO	IMd	0.3084	0.3084	0.3084	0.8247	0.3527	0.3178	1.0431	0.12	0.13	0.11	0.4736	0.2199
4a_VARA_CIVEL_-_TJGO	ETM	0.9051	0.9051	0.9051	0.9723	0.9258	0.926	2.2019	0.23	0.35	0.27	0.7208	0.3173
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.8075	0.8075	0.8075	0.8075	0.7955	0.7715	38.3527	0.23	0.29	0.12	19.576	11.2055
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	0.6019	0.5597	0.5597	0.7744	0.6185	0.5901	206.4691	3.3	3.39	0.45	109.432	76.6734
BPI_Challenge_2014_Entitlement application	IMf	0.9918	0.9918	0.9918	0.9972	0.9923	0.995	876.865	7.15	7.84	1.07	393.9646	143.8706
BPI_Challenge_2014_Entitlement application	IMd	0.7156	0.7156	0.7156	0.7312	0.7121	0.7105	1078.8572	39.13	40.3	1.76	638.1683	242.638
BPI_Challenge_2014_Entitlement application	ETM	0.9369	0.9292	0.9295	0.9589	0.945	0.9572	1722.9153	45.49	51.16	1.44	706.9034	311.962
BPI_Challenge_2014_Inspection	IMd	0.8618	0.8618	0.8618	0.8781	0.8496	0.8132	2792.5783	17.13	19.43	1.68	1015.5711	193.3568
BPI_Challenge_2014_Geo parcel document	IMd	0.9982	0.9982	0.9982	0.9982	0.9988	0.9991	2215.8388	27.41	31.67	3.62	1396.1254	631.6654
BPI_Challenge_2014_Geo parcel document	ETM	0.8372	0.8367	0.8367	0.8561	0.8608	0.8843	5410.2393	15.05	16.15	2.72	2862.0345	1180.1959
BPI_Challenge_2012	IMd	0.7215	0.7215	0.7215	0.8079	0.7813	0.7469	7074.2525	68.0	75.93	2.77	3813.0466	1321.1452
edited_hh110_weekends	IMf	0.9188	0.9188	0.9295	0.9588	0.907	0.8938	134.4724	11.78	12.47	11.54	90.9914	44.1412
edited_hh110_weekends	IMd	0.9555	0.9555	0.9555	0.9562	0.9518	0.9372	6.8188	0.38	0.56	0.32	4.5072	1.7243
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.7044	0.7044	0.7044	0.7618	0.6897	0.6917	72.8512	1.94	2.21	0.23	38.972	9.8386
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.5233	0.455	0.455	0.7396	0.5093	0.4378	2437.9224	5.05	5.62	1.2	1022.6134	119.6791
BPI_Challenge_2020_InternationalDeclarations	IMf	0.9272	0.9272	0.9272	0.9273	0.9361	0.9401	38.5866	2.47	2.33	0.44	17.4941	6.7329
BPI_Challenge_2020_InternationalDeclarations	IMd	0.5924	0.5924	0.5924	0.6286	0.6029	0.6018	101.4251	35.05	37.4	1.33	57.7062	26.4088
BPI_Challenge_2020_InternationalDeclarations	ETM	0.8453	0.8446	0.8446	0.8596	0.8568	0.8622	28.9926	2.44	2.71	0.42	13.5404	6.6904
DocumentProcessingENG	IMf	0.8455	0.8455	0.8455	0.8455	0.9999	0.9999	0.5229	0.32	0.38	0.36	0.1226	0.1226
DocumentProcessingENG	IMd	0.9142	0.9142	0.9142	0.9142	0.9999	0.9999	0.4613	0.3	0.34	0.35	0.1276	0.1276
DocumentProcessingENG	ETM	0.8573	0.8573	0.8573	0.8959999999999999	1.0	1.0	0.5508	0.32	0.37	0.37	0.1131	0.1131
edited_hh110_labour	IMf	0.7628	0.7628	0.7628	0.7797	0.778	0.7748	219.8384	0.42	0.44	0.4	106.2056	40.574
