EVENT_LOG	DISCOVERY_ALG	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE
edited_hh110_weekends.xes.gz	IMd	0.942	0.9048	0.4982	0.413
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMf	0.7933	0.419	0.7064	0.6286
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMd	0.6857	0.5476	0.5822	0.4021
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.7042	0.2095	0.9064	0.898
BPI_Challenge_2020_InternationalDeclarations.xes.gz	IMf	0.9236	0.4898	0.4399	0.3678
BPI_Challenge_2020_InternationalDeclarations.xes.gz	IMd	0.7614	0.699	0.2983	0.1963
BPI_Challenge_2020_InternationalDeclarations.xes.gz	ETM	0.799	0.2143	0.8436	0.7833
DocumentProcessingENG.xes.gz	IMf	0.9242	0.7895	1.0	1.0
DocumentProcessingENG.xes.gz	IMd	0.9242	0.7895	0.3671	0.3488
DocumentProcessingENG.xes.gz	ETM	0.9805	0.9474	0.9653	0.9474
edited_hh110_labour.xes.gz	IMf	0.7064	0.3861	0.9204	0.907
edited_hh110_labour.xes.gz	IMd	0.9971	0.9604	0.5753	0.4369
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMf	0.9089	0.526	0.7326	0.5976
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMd	0.9163	0.6667	0.5894	0.3879
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.759	0.1927	1.0	1.0
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.6418	0.0763	0.9654	0.6552
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMd	0.9836	0.8353	0.6513	0.1968
edited_hh104_weekends.xes.gz	IMf	0.638	0.2067	0.9951	0.9737
edited_hh104_weekends.xes.gz	IMd	0.9754	0.905	0.828	0.7137
edited_hh104_weekends.xes.gz	ETM	0.7503	0.3073	0.9862	0.9649
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMf	0.6498	0.1174	0.9401	0.6042
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMd	0.9865	0.8259	0.7014	0.2906
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	ETM	0.6847	0.1215	0.9969	0.9677
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMf	0.9584	0.7647	0.8256	0.6898
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMd	0.9124	0.7738	0.7386	0.5262
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	ETM	0.5985	0.1357	0.9796	0.9688
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	IMf	0.904	0.6707	0.7288	0.5833
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	IMd	0.765	0.7605	0.563	0.3405
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	ETM	0.7069	0.2036	0.9795	0.9737
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMf	0.9138	0.4049	0.4817	0.443
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMd	0.8155	0.4049	0.4645	0.386
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	ETM	0.8633	0.1288	0.6953	0.5833
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	IMf	0.884	0.7023	0.6813	0.6033
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	IMd	0.7086	0.645	0.5667	0.4082
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	ETM	0.4375	0.1069	0.9659	0.9333
BPI_Challenge_2014_Reference alignment.xes.gz	IMf	0.9987	0.7333	0.9129	0.7857
BPI_Challenge_2014_Reference alignment.xes.gz	IMd	1.0	0.9333	0.919	0.8235
BPI_Challenge_2014_Reference alignment.xes.gz	ETM	0.9963	0.5333	0.6693	0.625
Hospital Billing - Event Log.xes.gz	IMf	0.8828	0.5035	0.7737	0.7742
Hospital Billing - Event Log.xes.gz	IMd	0.9938	0.8322	0.6996	0.6503
Hospital Billing - Event Log.xes.gz	ETM	0.9299	0.2238	0.5734	0.5926
