EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG_ENC	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	ESCAPING_EDGES_DFG	ESCAPING_EDGES_DFG_NO_ALGN	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
BPI_Challenge_2014_Reference alignment.xes.gz	1	0.9818	0.9	0.9	34987	0	IMf	0.80952380952381	0.255365196232668	0.333333333333333	0.699428922031338	0.990791427295636	0.5	0.8	0.09040494619596	0.113892	0.106175	0.112327	-0.4653	-1	-1.5	-3	0.0834	0.25	0.3268	-1	-0.3333	0	0	0	0	1	1	-0.6247	-0.9837	0.036094108423434	23	0.7	5	3	7	2.2857	3	0.8824	0.9939	0.5	0	1.585	0	0	0	9095	9095	1.585	0.5	1	0.9698	43802	515	6
Hospital Billing - Event Log.xes.gz	0.9527	0.8466	0.6	0.8	43275	0	IMf	0.93167701863354	0.368172397219611	0.2	1.09752418466583	0.884446231609035	0.722222222222222	0.9375	0.341767252297508	0.351503	0.355477	0.357705	-0.0693	-0.3333	-5.9444	-10	-0.0455	-0.1552		-3.7255	-1.1197	0.212711215594307	0.015191	0.015066	0.015151	3.27886773311248	0.753474331229882	-1.0883	-1.6116	-0.093368357503405	662.5	2.43566176470588	4	5	6	3	4	0.7143	0.9955	0.3	0.1	1.9183	0.2632	0.0439	1.4591	54575	54575	1.4591	0.2	1	1.7382	100000	1020	18
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	0.0715	0.7616	0.6	0.8	427	0	IMf	0.855172413793103	0.192558809505284	0.48951048951049	0.020299379335524	0.813716972978251	0.217391304347826	0.668341708542714	0.080321285140562	0.095297	0.086127	0.087742	-0.0252	-0.0303	2.6401	-2	-0.0402	-0.3173	0.3865	-0.9068	-0.1479	2.70266520627966	0.227729	0.224587	0.227604	0.318690878961541	0.269314769314769	-0.6435	-0.6507	-0.243848685388251	936.666666666667	1.75375074272133	71	18	58	3.2069	5	0.6533	0.8258	0.408	0.0602	2.8927	0.0192	0.0076	3.9318	3261	125	4.3496	0.2352	0.1933	3.4198	513	395	23
Road_Traffic_Fine_Management_Process.xes.gz	1	0.5105	0.6	0.6	46371	0	IMf	0.962962962962963	0.723452409910693	0	2.15607151544636	0.578320323519384	0.818181818181818	0.985714285714286	0.885789345657991	0.907882	0.973687	0.945139	-0.8213	-1	-5.8636	-9	-0.0313	-0.1396		-3.0958	-1.5503	0	0	0	0	2.67511139189998	1	-0.6336	-1.3445	0.074107666625443	115	1.27777777777778	0	2	3	1.3333	2	1	0.9969	0.3333	0.25	1.9219	0	0	0	56482	56482	0.971	0.2	1.25	1.3486	150370	231	11
BPI_Challenge_2020_PermitLog.xes.gz	0.1972	0.9072	0.8	0.8	4964	0	IMf	1.12251655629139	0.234164388947345	0.637019230769231	0.279780170028673	0.913781653721253	0.215686274509804	0.718253968253968	0.094660194174757	0.099568	0.095788	0.097819	-0.0874	-0.0789	-0.4431	-8	-0.0121	-0.1326	0.1143	-1.0941	0.0872	3.31094370944212	0.181252	0.180487	0.181694	0.322878798289071	0.167725681542801	-0.1057	-0.5331	-0.277253026009179	3647.65549224168	1.20433173763222	55	40	54	3.6296	9	0.6132	0.9316	0.5418	0.0296	0.4844	0.055	0.0081	3.8609	3740	299	5.1362	0.0743	0.3281	3.9067	7065	1478	51
BPI_Challenge_2019_log_IEEE.xes.gz	0.9949	0.8102	0.6	0.6	69479	0	IMf	0.981481481481482	0.313120413918174	0.473684210526316	0.908866982247288	0.934870030251745	0.785714285714286	0.963927855711423	0.296543120052316	0.310585	0.302397	0.30751	-0.1856	-0.3333	-9.746	-24	0.0164	0.0903	-0.1693	-2.6489	-1.1105	0.006602494143309	0.000372	0.000371	0.000372	24.3810719956961	0.871147373714017	-1.3868	-2.1581	-0.959884248252322	4238.49761904762	1.99803861788618	5	9	12	2.5	4	0.7647	0.9967	0.2857	0.119	1.2988	0.1277	0.0788	1.8113	91258	43982.5	3	0.1786	0.8	2.0762	251734	11973	42
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	0.3652	-1	0.8	0.7	110	0	IMf	0.8984375	0.146097452979925	0.422330097087379	0.262736803384219	0.730880906104862	0.67741935483871	0.807272727272727	0.249540187603458	0.286328	0.251891	0.264351	-0.2443	0	3.0419	-30	-0.0119	-0.3159	0.4887	-0.9453	-0.9259	0.976227699098768	0.057101	0.057041	0.057241	-1	-1	-2.1361	-1.8997	-0.051753990917269	7927.62973403408	1.36151564969774	54	20	48	3.25	5	0.6421	0.8874	0.3798	0.0144	3.2219	0.0112	0.005	3.6985	4685	24	5.1867	0.1344	0.1353	4.6635	159	149	62
Sepsis Cases - Event Log.xes.gz	0.4742	0.8541	0.6	0.6	666	0	IMf	0.587786259541985	0.100194614638459	0.253012048192771	0.117975148263202	0.829090524084711	0.1875	0.595744680851064	0.11959898333804	0.138251	0.123435	0.130625	-0.1525	-0.3222	-0.8029	-5	-0.0366	-0.2531	0.63	-1.1862	0.1402	1.11839875741316	0.107809	0.105986	0.106686	0.582415002421165	0.449215524360033	-0.0236	-0.5062	-0.129135243417973	353.166666666667	1.34126984126984	19	13	26	2.8462	5	0.6444	0.922	0.3937	0.1194	2.0218	0.0398	0.026	3.875	2003	439.5	4	0.4583	0.1455	2.9569	1050	846	16
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.3038	-1	0.6	0.6	273	0	IMf	0.798586572438163	0.093900131341728	0.16551724137931	0.219576145528191	0.82427931319537	0.746268656716418	0.798507462686567	0.194134027702434	0.209296	0.196127	0.204239	-0.2273	-0.3182	1.0816	-44	-0.0147	-0.4407	0.2602	-1.7598	-0.5528	0.407634443600593	0.024989	0.024944	0.024981	-1	-1	-2.2617	-2.0476	-0.110155808041924	9451.73481240981	1.83344634321907	31	17	32	3.3125	9	0.6061	0.8516	0.5008	0.01	3.3217	0.0149	0.0022	4.2014	7003	8	4.7099	0.1192	0.1446	4.5158	456	456	67
BPI_Challenge_2013_open_problems.xes.gz	0.9996	0.8633	0.6	0.7	340	0	IMf	0.555555555555556	0.244560487380331	0	0.733681462140992	0.894759859226732	0.333333333333333	0.666666666666667	0.385117493472585	0.560705	0.385117	0.54814	0	0	-1	-1	-0.3333	-1	-0.0366	-0.585	-0.585	0	0	0	0	0.998722534491569	0.999675745784695	0.0302	0.0294	0	2	1	4	2	5	2.4	3	0.8462	0.9616	0	0	1.585	0	0	0	328	0	1.585	0.5	1	0.993	819	108	3
BPI_Challenge_2013_incidents.xes.gz	0.8767	0.9909	0.7	0.7	4399	0	IMf	0.333333333333333	0.004800588718904	0	0.014401766156712	0.993867441345929	0.25	0.363636363636364	0.010089860121768	0.015092	0.012009	0.013863	-0.1458	0	-0.4167	-1	-0.1667	-0.3333		-0.5817	-0.415	0	0	0	0	0.862371715014534	0.87505030554816	-0.4333	-0.5724	-0.017909757462959	9	1.5	9	3	10	2.6	3	0.7333	0.9887	1	0	1.585	0	0	0	13437	2796	1.585	1.1667	0.4286	0.97	7554	1511	4
BPI Challenge 2017.xes.gz	-1	-1	0.6	0.6	17446	0	IMf	0.946078431372549	0.190038342776525	0.550561797752809	0.314177652426889	0.85937806202719	0.230769230769231	0.752336448598131	0.120640644778853	0.12803	0.125915	0.12769	0.0658	-0.1	-2.3962	-3	-0.0139	0.1314	-0.1332	-0.988	0	2.14214722427692	0.187392	0.185648	0.185529	0.341702330936496	0.186207873123761	-0.1491	-0.5778	-0.686259829610965	1264	1.69804093567251	44	20	47	2.9362	5	0.6727	0.9346	0.3983	0.0383	0	0.0578	0.0034	4.4697	120801	17808	4.4697	0.2585	0.1548	3.2157	31509	15930	26
BPI_Challenge_2020_DomesticDeclarations.xes.gz	1	0.8905	0.6	0.8	4618	0	IMf	0.875	0.274940837776896	0.25	0.799181487689662	0.890602346939484	0.705882352941176	0.897435897435897	0.272699566798006	0.309859	0.287585	0.299643	-0.3476	-1	-1.4941	-9	0.075	-0.4334	0.0966	-1.365	0.3991	0	0	0	0	1	1	-1.3613	-1.6376	0.222543818629671	430	1	0	5	6	1.6667	2	1	0.99	0.3	0.2	0.65	0	0	0	2473	2473	0.9183	0.1667	1.2	1.6461	10500	99	17
5a_VARA_CIVEL_-_TJMT.xes	0.0823	0.9378	0.7	0.8	23	0	IMf	1.39366515837104	0.444933965016044	0.649171270718232	0.144059869036483	0.923051660345558	0.4	0.688995215311005	0.090739008419083	0.099271	0.094059	0.092027	0.366	-0.0556	11.9238	2	-0.0384	-0.3404	0.2405	-2.7273	-0.5569	7.19176800748363	0.379577	0.372868	0.375113	0.076316856927624	0.068108974358974	-1.2753	-1.0573	0.035349275451039	2220.96785714286	1.85620004780222	44	21	32	4.0625	6	0.5951	0.7703	0.4737	0.0254	3.1689	0.047	0.0228	4.3866	206	12	4.0532	0.1874	0.184	3.7037	29	29	35
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	0.3214	0.84	0.7	0.6	16	0	IMf	0.721428571428571	0.188682392423348	0.166666666666667	0.473474044495151	0.828905497626564	0.576923076923077	0.790697674418605	0.158870507701084	0.17318	0.166247	0.168183	0.1317	0.2	-0.5664	-9	-0.0032	-0.4744	0.4598	-0.3929	-1.0076	0.950085567598403	0.091841	0.090697	0.09063	-1	-1	-1.334	-1.3516	-0.620263382381677	1248	1.4	35	11	32	3	5	0.6842	0.7524	0.5451	0.0166	3.1887	0.0227	0.0056	3.6573	459	11.5	4.0535	0.1866	0.233	3.5927	28	28	26
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	1	0.5299	0.7	0.6	231	1	HEU_MINER	0.928571428571429	0.215789421585306	0.2	0.637267254654907	0.726514749612378	0.777777777777778	0.94949494949495	0.476410471790564	0.515462	0.491946	0.50877	-0.4176	-1	-2.8334	-11	0.0987	-0.019	-0.1647	-2.4935	-0.1024	0	0	0	0	3.2710942649967	1	-1.2591	-1.9048	0.424379124089939	1682.05	1.61853846153846	1	6	7	2	3	1	0.9635	0.3	0.2	1.2516	0	0	0	713	713	0.9183	0.1667	1.2	1.6461	1434	116	27
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.8057	0.6575	0.8	0.8	134	1	HEU_MINER	0.760869565217391	0.369346377428045	0	1.03572947681838	0.661803276373203	0.666666666666667	0.794117647058823	0.429179072735006	0.478654	0.48735	0.475692	-0.2454	-0.5	-1.0833	-3	0.0387	-0.0576	0.467	-1.6887	-1.41	0	0	0	0	0.715453194650817	-1	-1.0749	-1.2579	0.242545216567628	194.666666666667	1.13939393939394	11	6	13	2.7692	4	0.7143	0.9334	0.45	0.225	1.2516	0	0	0	298	236	2.585	0.4	0.5	1.5095	232	33	12
BPI_Challenge_2014_Control summary.xes.gz	1	0.9012	0.9	0.9	8857	1	HEU_MINER	0.789473684210526	0.217413220451829	0.5	0.485572994688819	0.997533491602583	0.428571428571429	0.666666666666667	0.008630668664034	0.009664	0.010497	0.010051	-0.1951	-0.5	-0.7143	-3	0.0715	0.0666	0.3921	-0.6281	-0.2359	0	0	0	0	1	1	-0.2299	-0.4715	0.014398681878645	22	0.2	2	4	6	2	3	1	0.9938	0.3333	0.1667	2	0	0	0	39335	23432	2	0.3333	1	1.4882	43808	59	7
ElectronicInvoicingENG.xes.gz	0.5569	0.6513	0.8	0.7	6855	1	HEU_MINER	0.592592592592593	0.288562421435957	0.222222222222222	0.815680437529206	0.68375028084252	0.333333333333333	0.5	0.421474930338012	0.498653	0.421475	0.518208	0	0	-0.5	0	0.0004	0.0054	-0.1497	-0.1405	-0.2517	0	0	0	0	0.574282857585444	0.529411764705882	-0.2194	-0.0689	0	51	0.396428571428571	12	9	15	2.8	4	0.75	0.9931	0.2679	0.1429	2.5033	0	0	0	29904	21444	1.5305	0.2222	0.5625	1.8052	20135	7	9
4a_VARA_CIVEL_-_TJGO.xes	1	0.7017	0.7	0.6	182	1	HEU_MINER	0.833333333333333	0.240800865800866	0	0.727272727272727	0.782016647724612	0.625	0.887096774193548	0.625	0.728491	0.65194	0.702893	-0.5753	-1	-2.7083	-10	-0.0637	-0.5714	-0.334	-1.6603	-0.6069	0	0	0	0	1.09111531190926	1	-1.0522	-0.9835	0.628904129391285	377.666666666667	1.7531746031746	6	8	9	3.5556	6	0.561	0.7985	0.2381	0	2.1556	0.0862	0.0305	1.9056	77	13.5	2.4056	0.2143	0.6667	2.1752	339	98	16
BPI_Challenge_2014_Inspection.xes.gz	0.9015	0.054	0.6	0.6	3237	1	HEU_MINER	0.731707317073171	0.312287608940192	0.388888888888889	0.712982229805651	0.858302005917482	0.066666666666667	0.462686567164179	0.117665112988472	0.126301	0.126239	0.124994	-0.4402	-0.4	-1.8953	-4	0.061	0.1708	0.0433	0.1005	-0.0501	0	0	0	0	0.295236885582681	-1	0.1595	0.0147	0.009042329934721	112	0.364468864468865	34	15	24	4.1667	11	0.5748	0.8836	0.4121	0.0604	2.5996	0.0169	0.0037	3.4566	71619	1983	3.9069	0.2952	0.2419	2.5825	5485	3190	15
BPI_Challenge_2012.xes.gz	0.7745	0.7316	0.6	0.6	3588	1	HEU_MINER	0.919463087248322	0.194817677118416	0.545454545454545	0.483547626980527	0.831827512916286	0.375	0.736	0.313199230871131	0.330595	0.325845	0.339758	-0.2338	0	-3.0083	-8	0.0935	0.3875	0.2905	-0.7136	0	0	0	0	0	0.647375124400054	0.606665037571018	-0.7699	-0.5535	-0.039999631202216	970	0.456934369977848	28	16	24	3.7917	8	0.5965	0.9699	0.6167	0.1226	0	0.0811	0.0039	2.954	10059	183	3.5681	0.1104	0.4314	3.3612	13087	4366	24
BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.9662	0.7693	0.6	0.8	3352	1	HEU_MINER	0.952173913043478	0.303484274596265	0.611111111111111	0.849228333992877	0.763986435935472	0.558823529411765	0.908163265306122	0.244482664150254	0.25876	0.251517	0.253144	-0.4048	-0.5	-4.5647	-22	0.0804	-0.0866	0.1406	-2.4859	0.4685	0	0	0	0	1.74804254690501	0.890522875816993	-1.0668	-1.1606	-0.127283751438695	2350.83333333333	0.72093358030858	11	17	19	3.1053	6	0.662	0.952	0.7092	0.1634	0.8795	0.2264	0.0293	2.8	2563	1011	3.8269	0.0936	0.5938	2.5808	6449	753	34
DocumentProcessingENG.xes.gz	0.5438	0.8911	0.7	0.7	9384	1	HEU_MINER	0.379310344827586	0.152973365759998	0.2	0.353656939385258	0.845525809458059	0.1	0.210526315789474	0.075774567183727	0.080934	0.075775	0.099898	0	0	-0.2333	-1	0.0625	0.0913	0.1621	-0.9213	-0.2492	0	0	0	0	0.598581746604348	0.533333333333333	-0.4339	-0.2182	0	-9	-0.458333333333333	13	9	16	2.75	3	0.76	0.9926	0.3333	0.1667	1.5	0	0	0	9546	7159.5	1	0.4167	0.8	1.281	18352	3	10
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.9286	0.6606	0.8	0.6	572	1	HEU_MINER	0.958333333333333	0.372292623890197	0.708333333333333	0.980429801201462	0.832624414715265	0.379310344827586	0.852760736196319	0.243203071778039	0.256629	0.249796	0.253958	-0.3123	-0.5	-4.2874	-10	0.0064	0.0733	0.0059	-2.2784	0.0931	0	0	0	0	1.08341119237089	0.853195739014647	-0.1589	-0.5317	-0.005846419640233	1459.14632034632	1.26398517319386	10	18	19	3.2105	6	0.6267	0.8543	0.3952	0.0714	0.3373	0.1396	0.0227	2.8522	1481	492	3.75	0.1208	0.5517	2.6832	2099	202	29
BPI_Challenge_2014_Reference alignment.xes.gz	1	0.9819	0.9	0.9	39085	1	HEU_MINER	0.80952380952381	0.255365196232668	0.333333333333333	0.699428922031338	0.990791427295636	0.5	0.8	0.09040494619596	0.113892	0.106175	0.112327	-0.4653	-1	-1.5	-3	0.0834	0.25	0.3268	-1	-0.3333	0	0	0	0	1	1	-0.6247	-0.9837	0.036094108423434	23	0.7	4	3	6	2.3333	3	0.8667	0.9937	0.5	0	1.585	0	0	0	38572	7838	1.585	0.5	1	0.9935	43802	515	6
Road_Traffic_Fine_Management_Process.xes.gz	1	0.6976	0.8	0.8	66756	1	HEU_MINER	0.962962962962963	0.59870811180225	0.5	1.76755290683532	0.759603371271526	0.727272727272727	0.971428571428571	0.63428849428363	0.656382	0.694346	0.687474	-0.8213	-1	-5.6969	-8	-0.0313	-0.1396	-0.7912	-2.1775	-0.9653	0	0	0	0	6.32158010241405	1	-0.6638	-1.3639	0.074107666625443	115	1.27777777777778	0	3	3	2	3	1	0.9969	0.2	0.075	2.2516	0	0	0	102853	56482	1.7925	0.1667	1.2	1.5513	150370	231	11
BPI_Challenge_2019_log_IEEE.xes.gz	0.988	0.7271	0.6	0.6	67455	1	HEU_MINER	0.977777777777778	0.324193918859917	0.375	0.867124340401536	0.915398387172645	0.80952380952381	0.967871485943775	0.316313405332139	0.335212	0.322227	0.327799	-0.2008	-0.1667	-9.8571	-24	0.059	0.1855	-0.0025	-2.2077	-1.0361	0	0	0	0	26.4487412763242	0.858905614291186	-1.3871	-2.1973	-0.96810965074759	4237.49761904762	1.7718481416957	4	8	10	2.6	4	0.7333	0.9968	0.2857	0	1.0613	0.2661	0.1399	2.4056	73993	48449	2.4056	0.25	0.5714	1.9624	251734	11973	42
BPI_Challenge_2013_open_problems.xes.gz	0.9776	0.9246	0.8	0.7	542	1	HEU_MINER	0.222222222222222	0.063098346388164	0	0.189295039164491	0.985163293496627	0	0.333333333333333	0.056135770234987	0.056136	0.056136	0.079145	0	0	-0.6667	0	-0.1666	-0.5	-0.2033	0	0	0	0	0	0	1.02528663420763	0.977167320727792	0	0.0008	0	1	0.5	3	3	4	3	5	0.7143	0.957	0.5	0	1.585	0	0	0	196	55	1.585	0.6667	0.75	0.9963	819	108	3
BPI_Challenge_2013_incidents.xes.gz	0.9416	0.9809	0.7	0.8	4613	1	HEU_MINER	0.466666666666667	0.008106383345694	0	0.024319150037082	0.985231122090908	0.25	0.545454545454545	0.024146673795685	0.030816	0.030422	0.032181	-0.8125	-1	-1.0833	-1	0	0.1667	-0.1092	0.085	-0.415	0	0	0	0	0.924533100115988	0.945596651079346	-0.3818	-0.5722	0.111584770979789	8	1	7	3	7	2.8571	4	0.7391	0.9882	0.5	0.5	1.585	0.0566	0.0566	0.9183	11760	3191	1.585	1.3333	0.375	0.973	7554	1511	4
BPI_Challenge_2020_DomesticDeclarations.xes.gz	1	0.9162	0.8	0.7	7091	1	HEU_MINER	0.857142857142857	0.213501620297885	0.333333333333333	0.614863835252629	0.914191633063029	0.647058823529412	0.846153846153846	0.15061932646886	0.185944	0.159426	0.173513	-0.2087	-0.5	-1.2941	-8	0.025	-0.4667	0.2299	-0.751	0.3272	0	0	0	0	1	1	-1.1369	-1.1766	-0.062214187448471	426	1.13333333333333	1	6	7	2	3	1	0.9881	0.3333	0	0.7219	0.2576	0.0859	1.5219	6010	6010	1.5219	0.25	1	1.4074	10500	99	17
Production_Data.xes.gz	0.048	0.99	0.6	0.5	111	2	IMd	2.78423236514523	0.982379862377344	0.775472849298353	0.017171260732038	0.989192878716314	0.218181818181818	0.773887240356083	0.012765476728423	0.013006	0.013084	0.012836	0.4025	0	30.3527	6	-0.0191	-0.2235	0.0803	-3.8001	0.0353	20.6381608676007	0.548479	0.541368	0.543759	0.048064164184826	0.047896987234463	-1.4976	-0.953	-0.102889749101283	2203.16464646465	0.182475621345518	20	43	16	7.875	40	0.4566	0.6527	0.3019	0.0229	2.7643	0.0128	0.0067	4.3298	573	38	4.9305	0.1823	0.1371	3.97	225	221	55
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.0555	0.9998	0.4	0.5	18	2	IMd	2.39705882352941	0.944927536231884	0.739229024943311	0	1	0	0.739229024943311	0	0	0	0	0.4622	0	15.5238	9	-0.0573	-0.4257		-3.4273	0	11.8446751249519	0.595584	0.582893	0.577813	0.056283224639667	0.056283224639667	-0.7265	-0.3878	-0.19264322625885	451.833333333333	1.1890350877193	41	21	30	4.1333	12	0.5897	0.7064	0.508	0.0149	2.8087	0.0297	0.0135	3.7414	317	17.5	4.0219	0.2632	0.2	3.3022	36	36	21
edited_hh104_labour.xes.gz	0.0636	0.9999	0.4	0.6	25	2	IMd	0.504237288135593	0.177520788321071	0.349693251533742	0.007216742843397	1	0	0.334355828220859	0	0	0	0	0.1662	-0.0077	5.7368	2	-0.0193	-0.0522		-2.9461	0	2.98388260764975	0.171096	0.17148	0.171908	0.064317417619368	0.064317417619368	-0.2007	-0.3177	-0.096681443552855	-8.88178419700125E-15	-4.85722573273506E-17	15	19	13	5.2308	16	0.5281	0.8713	0.2641	0.0519	3.0106	0.0205	0.0136	4.2479	550	72	3.8269	0.5468	0.1016	3.1172	43	43	19
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.0932	0.987	0.5	0.5	30	2	IMd	2.76351351351351	1.10845295055821	0.781065088757396	0.051083591331269	0.992222936150972	0.111111111111111	0.787644787644788	0.020123839009288	0.022207	0.020994	0.020408	0.4596	-0.0696	16.6435	5	-0.047	-0.4841	0.2281	-3.2944	0.0305	12.1733746130031	0.593726	0.586336	0.586184	0.098155035367899	0.098088113050707	-0.9441	-0.4969	0.059596966674962	1212.35396825397	1.84545791406661	14	24	12	6.3333	22	0.4902	0.6894	0.3839	0.0399	2.7737	0.0693	0.0229	4.0537	65	7	3.8293	0.1433	0.2907	3.2948	58	53	27
activitylog_uci_detailed_labour.xes.gz	0.0781	0.9991	0.6	0.5	12	2	IMd	0.992	0.371981324760799	0.533039647577093	0.005852231163131	0.999354838709678	0	0.526315789473684	0.000731528895391	0.000733	0.000776	0.000763	0.2926	0.1064	7.375	4	-0.0539	-0.2642		-2.7842	0	5.78200438917337	0.397871	0.397796	0.39823	0.079650818701914	0.079470539761022	-0.5251	-0.3325	-0.217952744300834	149.25	0.710714285714286	24	16	20	4.1	13	0.5769	0.82	0.2244	0.1214	2.6494	0.0674	0.0396	3.875	108	24	3.75	0.3958	0.1684	2.7183	25	25	16
activitylog_uci_detailed_weekends.xes.gz	0.0792	0.9998	0.9	0.9	9	2	IMd	1.29032258064516	0.512820512820513	0.606060606060606	0	1	0	0.606060606060606	0	0	0	0	0.3773	-0.0714	8	4	-0.0568	-0.228		-2.6234	0	6.47280334728033	0.482802	0.484005	0.482838	0.080986981531941	0.080986981531941	-0.5068	-0.4414	-0.299815917462493	236.5	1.29945054945055	35	15	26	3.8462	11	0.6129	0.7085	0.3535	0.0723	2.6826	0.0792	0.0433	3.7736	80	18	3.5069	0.3667	0.1948	2.6248	10	10	15
edited_hh102_labour.xes.gz	0.0781	0.9806	0.6	0.4	7	2	IMd	0.97841726618705	0.364819430475996	0.52863436123348	0.069664902998236	0.981895862499311	0.111111111111111	0.579591836734694	0.029100529100529	0.030311	0.03171	0.030357	0.2931	-0.0667	7.4653	2	-0.0386	-0.2058		-2.6955	-0.0419	5.94356261022928	0.395716	0.393433	0.395479	0.077872572154656	0.07566722064718	-0.4915	-0.5614	-0.174403768049916	224.116666666667	0.653183356676004	39	16	30	3.7333	10	0.6115	0.7961	0.2635	0.061	2.8163	0.1188	0.0347	3.7947	74	16	3.8366	0.2908	0.2022	2.8023	18	18	18
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.0348	0.9977	0.5	0.5	103	2	IMd	2.95321637426901	1.08299683491588	0.779365079365079	0.0023988005997	0.996728778669539	0.142857142857143	0.78125	0.002773613193403	0.002959	0.002877	0.002798	0.2616	0	27.8571	-2	-0.0282	-0.4238	0.429	-3.9561	-0.0377	15.2496251874063	0.443873	0.438692	0.436108	0.035377086069484	0.035078988457166	-1.3175	-0.4533	-0.044417514318173	1364.3334998335	0.34868358822294	30	36	22	6	19	0.5	0.7704	0.3747	0.0178	3.4004	0.0273	0.0062	4.4659	1691	8	4.4428	0.1787	0.1555	4.0254	206	206	42
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	1	0.6859	0.6	0.5	123	2	IMd	0.912698412698413	0.224648840356526	0	0.673946521069579	0.650381422071052	0.777777777777778	0.94949494949495	0.460310793784124	0.494459	0.482285	0.483402	-0.4176	-1	-2.8334	-11	0.0987	-0.019	-0.1647	-2.4935	-0.1024	0	0	0	0	2.73308199811499	1	-1.2591	-1.7577	0.424379124089939	1682.05	1.61853846153846	0	6	7	1.7143	2	1	0.9728	0.3	0.2	1.2516	0	0	0	123	123	0.9183	0.1667	1.2	1.6461	1434	116	27
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.3278	0.9871	0.6	0.6	59	2	IMd	0.717391304347826	0.113210064970267	0.37037037037037	0.045512547851978	0.994476627992395	0.5	0.644444444444444	0.018715440238197	0.02089	0.019892	0.021185	0.5146	0.3	1.6667	1	-0.128	-0.3909		-1.7704	-0.9697	1.74393874946831	0.377819	0.376774	0.364072	0.370498550182396	0.364066879288683	-0.8071	-0.9888	-1.14733549234342	193.666666666667	1.55606060606061	7	6	8	3.25	6	0.6774	0.9489	0.45	0.225	1.2516	0	0	0	217	157.5	2.585	0.4	0.5	1.7747	232	33	12
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.0256	0.9988	0.4	0.5	23	2	IMd	4.23076923076923	1.6039076193422	0.833333333333333	0.00188679245283	0.994721031524264	0.127659574468085	0.836332958380202	0.002358490566038	0.002717	0.00247	0.00237	0.3322	0	35.3696	2	-0.0219	-0.5868		-4.3439	0.0504	18.3020047169811	0.443635	0.434549	0.432123	-1	-1	-1.6026	-0.4114	0.08023077368446	3168.81904761905	1.46037691080374	39	42	27	6	38	0.5	0.7458	0.4827	0.0129	2.8577	0.0342	0.0085	3.5666	1143	13.5	4.4342	0.1429	0.1794	4.2841	47	47	46
