EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG_ENC	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	ESCAPING_EDGES_DFG	ESCAPING_EDGES_DFG_NO_ALGN	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.4032	-1	0.6	0.8	37	0	IMf	0.814814814814815	0.141478502938447	0.368715083798883	0.207311320754717	0.678568314094304	0.608695652173913	0.752577319587629	0.290448113207548	0.363456	0.296286	0.317252	-0.0978	-0.417	3.314	-23	-0.0194	-0.5598	0.3159	-1.7498	-0.3912	0.900353773584905	0.056471	0.056419	0.056523	-1	-1	-1.983	-1.645	0.055207787077557	4337.25238095238	1.65456151147328	57	18	51	3.1765	6	0.6364	0.8236	0.4415	0.0248	2.9014	0.0238	0.0053	4.1341	2004	20	4.7666	0.1589	0.1498	4.3475	47	47	46
BPI_Challenge_2014_Control summary.xes.gz	1	0.9972	0.9	0.9	35659	0	IMf	0.789473684210526	0.217413220451829	0.5	0.485572994688819	0.997533491602583	0.428571428571429	0.666666666666667	0.008630668664034	0.009664	0.010497	0.010051	-0.1951	-0.5	-0.7143	-3	0.0715	0.0666	0.3921	-0.6281	-0.2359	0	0	0	0	1	1	-0.2299	-0.4715	0.014398681878645	22	0.2	5	4	8	2.25	3	0.8947	0.9937	0.3333	0.1667	2	0	0	0	39335	23432	2	0.3333	1	1.4882	43808	59	7
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.3402	-1	0.7	0.7	346	0	IMf	0.813169984686064	0.097458845028071	0.133802816901408	0.257953127166829	0.796448384477657	0.75	0.806930693069307	0.176591318818472	0.198583	0.177993	0.185067	-0.2398	-0.2321	-0.1805	-48	-0.0163	-0.4987	0.1268	-1.7183	-0.2244	0.049077797808903	0.005429	0.005438	0.005437	-1	-1	-2.1993	-1.9552	-0.098424155462922	11349.1161116661	2.02635488103117	34	18	35	3.3143	9	0.6	0.8324	0.4241	0.0061	3.3941	0.0107	0.0021	3.6394	9980	15.5	5.2673	0.1159	0.1288	4.7706	495	495	72
ElectronicInvoicingENG.xes.gz	0.5714	0.6513	0.7	0.6	4230	0	IMf	0.703703703703704	0.403552296650135	0.285714285714286	1.09121307049274	0.68375028084252	0.444444444444444	0.611111111111111	0.558344727323076	0.648425	0.558345	0.673154	0	0	-0.6	-1	0.0338	0.0387	-0.0594	-1.0878	-0.5814	0	0	0	0	0.658425928616867	0.6	-0.5687	-0.3611	0	57	0.363095238095238	5	5	8	2.5	3	0.8182	0.9937	0.3333	0.25	1.9219	0	0	0	8460	8460	0.971	0.35	0.7143	1.3486	20135	7	9
4a_VARA_CIVEL_-_TJGO.xes	0.9849	0.8469	0.7	0.6	213	0	IMf	0.756410256410256	0.227098170646558	0.25	0.60064935064935	0.906655365283684	0.4375	0.738461538461539	0.305194805194805	0.33913	0.319182	0.338551	0.0993	0	-1.6528	-9	-0.0462	-0.4631	-0.1092	-1.394	-0.4391	0.357142857142857	0.034496	0.034438	0.034719	0.991563919532771	0.885764499121265	-0.788	-0.8122	-0.553423263583872	356.666666666667	1.41031746031746	7	9	10	3.4	6	0.619	0.8691	0.1786	0	2.1972	0.1564	0.0407	2.0588	58	7	2.5033	0.1944	0.6429	2.2431	339	98	16
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	0.3576	0.8176	0.7	0.6	68	0	IMf	0.917808219178082	0.203749082557947	0.5	0.319482917820868	0.823359244996449	0.586206896551724	0.729032258064516	0.234995383194829	0.266973	0.244156	0.249875	0.2763	0.1667	2.6322	-11	-0.0345	-0.6164	0.3	-0.8379	-0.6877	1.51754385964912	0.178201	0.178788	0.178237	0.259887262478407	0.175745118191161	-1.5189	-1.4728	-0.341171569070596	1244	0.8997594997595	46	12	38	3.1579	5	0.6667	0.7804	0.7775	0.0083	3.2539	0.0386	0.0072	3.2399	637	39	4.3158	0.1615	0.2476	3.6359	116	112	29
BPI_Challenge_2014_Entitlement application.xes.gz	0.9148	0.9118	0.6	0.7	2950	0	IMf	0.918604651162791	0.232484966215203	0	0.697631167149307	0.9333718486166	0.7	0.947368421052632	0.119905750310269	0.129471	0.12483	0.129523	-0.4737	-0.3788	-6.2667	-15	0.1492	0.2196	0.186	-1.5112	-0.2772	0	0	0	0	0.926774935166004	0.849808521727308	-0.9745	-1.5543	-0.698327293175461	719.333333333333	1.06764132553606	4	6	8	2.5	3	0.8182	0.9939	0.4333	0.1667	1.8424	0.1538	0	1.3788	14750	5900	2.5216	0.2381	0.7	1.8017	15260	2553	20
BPI_Challenge_2014_Inspection.xes.gz	0.4599	0.8478	0.6	0.6	3483	0	IMf	0.951219512195122	0.217135715363836	0.571428571428571	0.173795205793	0.755131631077619	0.2	0.663043478260869	0.179148112697158	0.233948	0.197156	0.20703	-0.1448	0	0.2	-4	-0.0286	-0.3975	0.0843	-0.0182	0.152	0.547114944442132	0.096016	0.096771	0.097302	2.42673030075076	0.306666666666667	-0.2408	-0.3315	-0.035376902093593	324	1.55724275724276	29	12	31	2.8387	4	0.6923	0.9117	0.5	0.0604	2.5996	0.0157	0.0029	3.2402	75739	2038	3.9069	0.3	0.2381	2.5828	5485	3190	15
BPI_Challenge_2014_Geo parcel document.xes.gz	0.3282	0.9187	0.7	0.8	12033	0	IMf	0.693430656934307	0.125803693443995	0.218181818181818	0.278237526612978	0.931254120769933	0.3125	0.686567164179104	0.069040081458854	0.081312	0.070595	0.073872	-0.1051	-0.0667	-2.5625	-7	-0.0074	0.0143	0.5242	-0.7796	-0.0484	0.565894658891049	0.087465	0.089222	0.088512	0.371986437550914	0.270535994346948	-0.2566	-0.5921	-0.3285811890858	254.833333333333	0.572222222222222	23	11	21	3.3333	6	0.6471	0.8879	0.4242	0.3409	2.8731	0.0511	0.013	3.3927	71516	6977	3.5466	0.3397	0.2453	2.5668	29059	9274	16
BPI_Challenge_2012.xes.gz	0.6259	0.6429	0.6	0.6	6888	0	IMf	0.953020134228188	0.222277804316381	0.592592592592593	0.322833412949144	0.807976130046913	0.083333333333333	0.751515151515152	0.353751108934499	0.384022	0.366744	0.383629	-0.1897	-0.3333	-1.5265	-5	-0.0147	-0.027	0.2145	-0.5576	0	1.15653137331251	0.141479	0.139822	0.14124	2.06553925924569	0.425240867638724	-0.0931	-0.3358	-0.17425708188414	1013	1.85143986448334	36	22	43	2.8372	5	0.7063	0.897	0.6434	0.1213	0	0.0632	0.0039	3.0805	8326	186.5	3.6144	0.1503	0.3913	3.1267	13087	4366	24
