PETRI-NETS,FITNESS_50_FREQ,TIME_50_FREQ_FIT ,Precision_Log_50_freq ,TIME_50_FREQ_PREC ,FITNESS_50_RAND,TIME_50_RAND_FIT ,Precision_Log_50_RAND,TIME_50_RAND_PREC ,FITNESS_25_FREQ,TIME_25_FREQ_FIT ,Precision_Log_25_freq ,TIME_25_FREQ_PREC ,FITNESS_25_RAND,TIME_25_RAND_FIT ,Precision_Log_25_RAND,TIME_25_RAND_PREC 
edited_hh102_labour,0.7898505821657594,50.13136386871338,0.2222222222222222,2.8774964809417725,0.7786434032332257,50.371214866638184,0.24817518248175185,3.3045337200164795,0.8019237880372772,23.236029386520386,0.2222222222222222,1.3932573795318604,0.753626103638565,20.43098258972168,0.2222222222222222,1.3234305381774902
BPI_Challenge_2019_log_IEEE,Timeout,Timeout,0.6014680260259617,1686.9697415828705,Timeout,Timeout,0.7003012810485445,3599.418174982071,Timeout,Timeout,0.6014028140461658,296.35169649124146,Timeout,Timeout,0.718886626909294,1941.7184400558472
BPI_Challenge_2014_Reference alignment,0.879448539276135,2.0216121673583984,0.9235252823927333,1.9177207946777344,0.9991769928793908,2.092276096343994,0.8729335720430608,7.332757472991943,0.8781308874024965,0.9517810344696045,0.9197158799314268,0.7110300064086914,0.9969724039460495,1.0229556560516357,0.8086913086913087,3.630441665649414
BPI_Challenge_2020_InternationalDeclarations,0.9360856701688763,17.494091749191284,0.1933578397373653,9.388152360916138,0.9435486049806117,20.065598011016846,0.19304517161039048,11.665428161621094,0.940057944192524,6.7329261302948,0.19030577813263372,5.530462265014648,0.9328823344700576,9.877600193023682,0.18140357798219975,6.101736068725586
edited_hh110_labour,0.7779613173930522,106.20561099052429,0.2857142857142857,2.5567541122436523,0.7637146559728982,99.92094087600708,0.20186335403726707,9.706655263900757,0.7747803481311304,40.57403564453125,0.2857142857142857,1.1633625030517578,0.7229429836909449,50.62469720840454,0.2857142857142857,1.2164018154144287
VITORIA_-_5a_VARA_CIVEL_-_TJES,0.8136149756041144,451.69359016418457,0.2895616464521058,161.7113950252533,0.7959389481812102,392.9535894393921,0.3040441942880967,130.27408027648926,0.8456911246697179,320.8274953365326,0.28938738029647115,128.71448636054993,0.7979796616173207,217.0156650543213,0.29631675874769803,80.22515177726746
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout,Timeout
BPI_Challenge_2014_Control summary,0.9033983802447831,0.4395272731781006,0.9085334400101062,0.4789249897003174,0.898311618771271,0.41083240509033203,0.9394396526224873,0.7906942367553711,0.9023403575048269,0.320997953414917,0.91680997652963,0.42017030715942383,0.999770499111498,0.1340782642364502,0.9327820323058111,0.17286372184753418
activitylog_uci_detailed_weekends,0.7169924901894384,3.0410501956939697,0.21518987341772156,0.9506638050079346,0.7526638077938616,3.0389952659606934,0.2549019607843137,1.2418489456176758,0.69136507733878,0.9197540283203125,0.17391304347826086,0.3549189567565918,0.8686742840281307,1.456308126449585,0.24,0.5728449821472168
BPI_Challenge_2012,0.6942773951598351,4013.609993457794,0.4087447138464144,207.49861860275269,0.6798496339245002,4360.725575208664,0.40475040257648953,243.33981347084045,0.6663735021688362,1333.5958511829376,0.4136396391587488,70.48393440246582,0.6655424726276746,2076.8189601898193,0.39855648344776373,126.24305534362793
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO,0.8266872465026633,11.492903470993042,0.0,1.9496095180511475,0.8779689217677367,19.68516993522644,0.10243902439024388,3.0851049423217773,0.8038055842647374,6.038151264190674,0.0,0.5684196949005127,0.9159866982187621,29.624470949172974,0.06291591046581968,12.212202787399292
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE,0.48951460563418836,0.30164194107055664,0.0,0.428297758102417,0.6179968964083704,0.6047556400299072,0.34090909090909094,0.4476809501647949,0.4626470276570944,0.19516396522521973,0.0,0.2269432544708252,0.6029587785001391,0.27907371520996094,0.3448275862068966,0.1728987693786621
BPI Challenge 2017,Timeout,Timeout,0.36252032690549474,1488.5476081371307,Timeout,Timeout,0.37259275104280043,1699.0426602363586,0.8617090424987729,4317.222856760025,0.3618100857235004,557.4655137062073,0.831965871445748,6363.8366141319275,0.3714771456337769,931.6381866931915
BPI_Challenge_2013_incidents,0.7606863904875498,17.700263023376465,0.9437026736341217,19.63507103919983,0.7628695698860777,21.226097106933594,0.9236965701782504,63.916374921798706,0.7390400382710374,7.150068998336792,0.8740430834965284,8.016891717910767,0.8448101902265285,11.153103351593018,0.8581205580415899,21.602200746536255
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT,0.5126188293631152,2527.5088589191437,0.34239130434782605,118.93024110794067,0.5100707454614786,1672.8853509426117,0.5055555555555555,81.45419573783875,0.5086877807019616,2088.6738772392273,0.35344827586206895,88.07356548309326,0.5035733821977382,465.1908826828003,0.2666666666666667,28.814278841018677
edited_hh104_labour,0.44719825399607627,1758.8076643943787,0.17221135029354206,20.144177675247192,0.46683231461440566,1884.945415019989,0.2761998041136141,27.20023822784424,0.45176447693815014,877.0540907382965,0.1705426356589147,10.396243572235107,0.45689780771362676,787.9384391307831,0.2607655502392344,10.719610691070557
