PETRI-NETS,FITNESS_50_FREQ,TIME_50_FREQ_FIT ,Precision_Log_50_freq ,TIME_50_FREQ_PREC ,FITNESS_50_RAND,TIME_50_RAND_FIT ,Precision_Log_50_RAND,TIME_50_RAND_PREC ,FITNESS_25_FREQ,TIME_25_FREQ_FIT ,Precision_Log_25_freq ,TIME_25_FREQ_PREC ,FITNESS_25_RAND,TIME_25_RAND_FIT ,Precision_Log_25_RAND,TIME_25_RAND_PREC 
edited_hh102_labour,0.9964870851273259,0.46457386016845703,0.06829035339063994,5.164719104766846,0.9930098756397101,1.2267107963562012,0.06831534362617842,4.962756872177124,0.9998940750156294,0.15937376022338867,0.06530028598665394,2.9329934120178223,0.9925419775707861,0.5246005058288574,0.06522411128284389,2.192413091659546
BPI_Challenge_2014_Reference alignment,0.8796123716918872,1.6888298988342285,0.8270815345921394,2.1707515716552734,0.9999345352951161,1.32688307762146,0.7581417226972137,4.164386034011841,0.878204738062985,0.7609639167785645,0.8204752454108296,0.6174380779266357,0.9999282327304109,0.6291530132293701,0.7037758414488297,2.500553607940674
BPI_Challenge_2020_InternationalDeclarations,0.60285515380505,57.70618510246277,0.1644867359071971,7.051252365112305,0.6197289310080343,61.69854164123535,0.16497678779355507,8.114673137664795,0.6018214361212793,26.408759832382202,0.15424942481328174,3.5132408142089844,0.6045063091795435,29.670918941497803,0.15695397500899322,4.451847553253174
edited_hh110_labour,0.9982789363983566,7.62174654006958,0.07336380867432268,18.800310373306274,0.9981894800066453,6.8557329177856445,0.07453268246219791,18.542868614196777,0.9964071431467142,3.2505061626434326,0.07175014068655039,7.775441408157349,0.9997947698282578,3.9793262481689453,0.07082096933728976,10.047157526016235
VITORIA_-_5a_VARA_CIVEL_-_TJES,0.9958725124874281,194.55663132667542,0.04041626463004455,316.6688768863678,0.9957586758437199,198.03648781776428,0.0395171505923847,373.7558271884918,0.9973375173822902,145.78062391281128,0.03863874904381548,236.25216794013977,0.9947949835680209,45.75299644470215,0.03957589501109715,112.97908592224121
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE,0.9522844091511767,4869.23769402504,0.033309318749931816,1497.2062935829163,0.9442419345484291,3545.256855249405,0.037255214137876136,1166.0626013278961,0.9650095510747784,4083.793354988098,0.028553537399451878,1202.582302570343,0.9395604570701651,1733.5002262592316,0.033084708203278024,541.4740979671478
BPI_Challenge_2014_Control summary,0.9052063187107176,0.38567137718200684,0.7292203567415019,0.7112090587615967,0.8922824247068384,0.3752150535583496,0.8644606489569128,0.5749905109405518,0.9041684193082398,0.2953798770904541,0.7454336795265273,0.4122309684753418,0.9993960152235457,0.08614659309387207,0.46216153668132376,0.22132444381713867
activitylog_uci_detailed_weekends,0.9997237334960425,2.9790544509887695,0.07652120467117396,7.446473598480225,0.9997025049582507,2.8299901485443115,0.07613293051359515,7.596177339553833,0.9997227323139579,1.007077693939209,0.07425742574257421,2.7433128356933594,0.9996836250534475,1.6982364654541016,0.07356608478802995,4.308933734893799
BPI_Challenge_2012,0.7813208609575275,3813.046576023102,0.33619433627380857,217.256991147995,0.8367695351479059,4463.490067720413,0.30893766077390405,297.96091771125793,0.746858368854355,1321.145186662674,0.3341194839794509,74.92228770256042,0.8670222863641623,2284.4727392196655,0.2630407124681934,165.87130737304688
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO,0.6776985151075325,6.281979084014893,0.0,1.0019476413726807,0.7265611607309226,13.250978708267212,0.06433408577878108,3.5931193828582764,0.6768316425137872,3.05027437210083,0.0,0.6221408843994141,0.6956570141486842,5.725428104400635,0.04210526315789476,1.2177317142486572
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE,0.4274266872158704,0.8614437580108643,0.0,0.38551855087280273,0.5346721388179618,0.8750543594360352,0.1535087719298246,0.38376832008361816,0.3799323224363923,0.5696697235107422,0.0,0.27382612228393555,0.5443582749559739,0.36334919929504395,0.17699115044247793,0.19659709930419922
BPI Challenge 2017,Timeout,Timeout,0.09535762339726794,1199.6451094150543,Timeout,Timeout,0.09884718600893272,1295.0063345432281,0.858653224087206,3563.2913434505463,0.09541743985601514,416.90931010246277,0.8598403076282246,4779.930458068848,0.09606593765558058,722.725510597229
BPI_Challenge_2013_incidents,0.9997429730474243,27.864840030670166,0.6449410970671248,51.537537574768066,0.9997835658263883,32.410099506378174,0.6005201910002214,82.34337210655212,0.9997253350762279,8.891036987304688,0.6237841058314284,15.383390426635742,0.9997279567284771,17.708197593688965,0.5320878848063555,41.1507031917572
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT,0.9239157924913303,1331.0536382198334,0.05742012034918209,330.60549092292786,0.9351565976555946,1284.612280368805,0.059910414333706585,344.89517188072205,0.9163457258619098,1105.9038786888123,0.055079559363525044,235.29475784301758,0.9490245612285264,123.40875577926636,0.05823674710241311,63.13415455818176
edited_hh104_labour,0.9958799647073685,39.92474889755249,0.06430808918371111,182.7768750190735,0.9936957951700007,36.004798889160156,0.06440317209653612,160.89652299880981,0.9997171933478061,18.628525018692017,0.061780774148552875,98.5314154624939,0.9956899628027943,21.40228033065796,0.06175803654795253,84.19901514053345
