method	mean_perc_all	std_perc_all	mean_perc_imf	std_perc_imf	mean_perc_imd	std_perc_imd	mean_perc_etm	std_perc_etm
align_time_fit	0.9059	0.2614	0.9759	0.1342	0.7989	0.3665	0.9666	0.1374
fit_50_freq	0.4317	0.1849	0.4411	0.1288	0.4325	0.2378	0.4219	0.1617
fit_50_rand	0.4556	0.1907	0.433	0.1301	0.477	0.2653	0.4515	0.1241
fit_25_freq	0.209	0.1414	0.2318	0.1304	0.2062	0.1629	0.1909	0.1242
fit_25_rand	0.2274	0.1224	0.217	0.0966	0.2162	0.1332	0.2505	0.1309
markov_fit_k_2	0.2148	0.322	0.1226	0.2026	0.3889	0.3807	0.0956	0.245
align_time_pre	0.8658	0.2962	0.9163	0.2194	0.7488	0.386	0.9568	0.1732
pre_50_freq	0.4152	0.2016	0.3982	0.1917	0.4132	0.2523	0.4334	0.1374
pre_50_rand	0.4747	0.2132	0.4939	0.2286	0.4457	0.2554	0.4909	0.13
pre_25_freq	0.2003	0.1391	0.2046	0.1424	0.1931	0.1512	0.2047	0.1243
pre_25_rand	0.2403	0.128	0.2376	0.115	0.2191	0.1449	0.268	0.1165
markov_pre_k_2	0.2693	0.3653	0.249	0.3347	0.4291	0.4108	0.0995	0.242
