method	mean_perc_all	std_perc_all	mean_perc_imf	std_perc_imf	mean_perc_imd	std_perc_imd	mean_perc_etm	std_perc_etm
align_time_fit	0.8042	0.3719	0.8114	0.3428	0.5369	0.4846	0.9451	0.2206
fit_50_freq	0.3501	0.1999	0.348	0.1828	0.2349	0.2175	0.4144	0.1763
fit_50_rand	0.3591	0.1992	0.3324	0.1799	0.2462	0.2431	0.4384	0.1499
fit_25_freq	0.1665	0.1352	0.1909	0.1518	0.0988	0.1073	0.1873	0.1283
fit_25_rand	0.188	0.1391	0.1678	0.1186	0.1065	0.122	0.246	0.1375
markov_fit_k_3	0.3366	0.4151	0.4233	0.4216	0.631	0.4249	0.1181	0.2682
align_time_pre	0.7602	0.3945	0.6956	0.4091	0.5408	0.4769	0.923	0.2495
pre_50_freq	0.3331	0.2048	0.2845	0.2141	0.2345	0.2169	0.4193	0.1567
pre_50_rand	0.3981	0.2526	0.378	0.3148	0.2908	0.2811	0.4701	0.1564
pre_25_freq	0.1572	0.1346	0.1431	0.129	0.0963	0.1303	0.1997	0.1294
pre_25_rand	0.1999	0.1474	0.163	0.1413	0.1409	0.1623	0.2567	0.1249
markov_pre_k_3	0.359	0.4314	0.5108	0.4441	0.599	0.4394	0.1269	0.288
