method	timeouts	mean_perc_all	std_perc_all	mean_perc_imf	std_perc_imf	mean_perc_imd	std_perc_imd	mean_perc_etm	std_perc_etm
align_time_fit	16	487.3182	1244.3821	232.929	706.2339	166.4658	655.6634	831.9213	1644.2439
50_freq_fit	12	289.8636	866.0181	156.7401	534.5408	63.33	237.9331	502.1765	1175.733
50_rand_fit	11	235.7401	630.8065	115.6936	353.9706	91.2807	357.2983	394.5671	835.2286
25_freq_fit	6	156.1317	581.7032	119.7206	442.7713	13.5349	45.1443	258.1859	780.0794
25_rand_fit	9	126.0277	372.7695	42.4369	101.4943	47.3396	184.8521	224.6756	519.0551
align_time_pre	4	88.5079	262.4233	29.1321	48.0181	78.8801	216.0605	133.3434	352.2592
50_freq_pre	2	38.45	90.2624	16.3493	32.8905	36.1608	89.5178	54.4324	112.9699
50_rand_pre	3	49.2738	149.3547	17.0219	27.9939	47.8165	133.0106	71.5699	197.6065
25_freq_pre	2	14.4766	30.6035	8.5341	19.4487	10.5259	24.5819	20.5933	38.2936
25_rand_pre	3	25.4761	76.6797	7.1476	11.0729	27.8967	81.9917	36.3747	96.0255
markov_fit_k_3	57	301.6482	947.5595	320.4578	919.7792	668.3002	1445.9818	89.1165	481.4634
markov_pre_k_3	57	301.6482	947.5595	320.4578	919.7792	668.3002	1445.9818	89.1165	481.4634
