event_log	algorithm	align_time_fit	align_time_pre	50_freq_fit	50_rand_fit	25_freq_fit	25_rand_fit	50_freq_pre	50_rand_pre	25_freq_pre	25_rand_pre	markov_fit_k_2	markov_pre_k_2
BPI_Challenge_2019_log_IEEE	IMf	7200.3151	6817.898	-1.0	-1.0	-1.0	-1.0	1686.9697	3599.4182	296.3517	1941.7184		
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	16.9347	20.1636	8.8467	8.3656	3.3331	4.1042	7.8554	9.6119	3.0241	5.1538	66.96870000000001	66.96870000000001
BPI_Challenge_2014_Reference alignment	IMf	5.7029	7.959	2.0216	2.0923	0.9518	1.023	1.9177	7.3328	0.711	3.6304	0.27769999999999995	0.27769999999999995
Hospital Billing - Event Log	IMf	31.9458	17.2236	13.246	13.2901	4.3227	5.9816	8.7391	9.3382	3.4824	4.1368	1.7791	1.7791
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMf	85.3532	24.9552	11.4929	19.6852	6.0382	29.6245	1.9496	3.0851	0.5684	12.2122		
Road_Traffic_Fine_Management_Process	IMf	6.0755	4.3306	2.6501	2.1534	1.546	1.434	2.2664	1.0228	1.4307	1.0543	2.2443999999999997	2.2443999999999997
BPI_Challenge_2020_DomesticDeclarations	IMf	1.3636	0.9261	0.4409	0.4988	0.2279	0.2733	0.323	1.9729	0.2342	0.3517	0.0775	0.0775
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMf	7200.3031	7200.3128	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0		
5a_VARA_CIVEL_-_TJMT	IMf	84.4544	4.4434	52.6394	55.1785	17.1086	55.3951	2.1834	2.325	0.6276	2.3502		
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMf	2794.3016	845.5477	1371.6526	1829.8155	392.7268	803.5812	150.2162	479.3306	70.8091	319.0325		
BPI Challenge 2017	IMf	7200.3321	3104.4004	-1.0	-1.0	4317.2229	6363.8366	1488.5476	1699.0427	557.4655	931.6382		
Sepsis Cases - Event Log	IMf	123.1398	22.6058	49.8497	50.1238	18.8308	27.8868	7.4512	9.5461	3.5693	5.2243	1.4423	1.4423
BPI_Challenge_2013_incidents	IMf	45.5834	71.9908	17.7003	21.2261	7.1501	11.1531	19.6351	63.9164	8.0169	21.6022	0.1539	0.1539
BPI_Challenge_2013_open_problems	IMf	0.5252	0.4042	0.1772	0.2001	0.0756	0.0949	0.0579	0.1327	0.0233	0.0602	0.0133	0.0133
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	244.6785	40.3295	105.7581	135.9845	43.7643	137.8211	17.4541	21.0911	7.8384	19.8519	0.1941	0.1941
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	257.1022	509.0919	194.5566	198.0365	145.7806	45.753	316.6689	373.7558	236.2522	112.9791	55.103	55.103
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	6.58	1.6703	3.241	4.3969	0.9093	1.4854	0.6169	1.0383	0.2987	0.4708		
Production_Data	IMd	90.9538	175.2382	36.727	52.2275	30.5207	22.517	85.6039	117.5466	47.2377	43.7163	17.8867	17.8867
activitylog_uci_detailed_weekends	IMd	5.0338	13.1459	2.9791	2.83	1.0071	1.6982	7.4465	7.5962	2.7433	4.3089	189.1341	189.1341
