case:concept:name	cluster_label
1040_TRT12	0.8824
1040_TRT15	0.0588
1040_TRT18	0.2353
1040_TRT20	0.5882
1040_TRT21	0.5882
1040_TRT4	0.7647
1040_TRT7	0.2941
1040_TRT8	0.7059
1041_TRT1	0.2941
1041_TRT18	0.1176
1041_TRT20	0.5882
10427_TRT18	0.2353
10428_TRT18	0.5882
1042_TRT14	0.0
1042_TRT15	0.2941
1042_TRT20	0.5882
1042_TRT22	0.7059
1042_TRT8	0.7059
10430_TRT18	0.5882
10432_TRT18	0.5882
10435_TRT18	0.2941
10439_TRT18	0.2353
1043_TRT11	0.1765
1043_TRT12	0.8824
1043_TRT14	0.0
1043_TRT20	0.5882
1043_TRT22	0.7059
10441_TRT18	0.5882
10443_TRT18	0.5882
10446_TRT18	0.5882
10448_TRT18	0.2353
10449_TRT18	0.5882
1044_TRT15	0.2941
1044_TRT20	0.5882
1044_TRT22	0.7059
1044_TRT4	0.0588
1044_TRT8	0.5882
10450_TRT18	0.2353
10453_TRT18	0.4706
10455_TRT18	0.2353
10458_TRT18	0.5882
10459_TRT18	0.5882
1045_TRT11	0.4706
1045_TRT12	0.6471
1045_TRT15	0.2941
1045_TRT20	0.5882
1045_TRT21	0.8235
1045_TRT4	0.7647
10460_TRT18	0.5882
10463_TRT18	0.2353
10464_TRT18	0.5882
10467_TRT18	0.7059
10469_TRT18	0.5882
1046_TRT11	0.4706
1046_TRT15	0.0
1046_TRT20	0.5882
1046_TRT21	0.5882
10470_TRT18	0.5882
10474_TRT18	0.2353
10477_TRT18	0.2353
10479_TRT18	0.2353
1047_TRT15	0.1765
1047_TRT21	0.8235
1047_TRT22	0.7059
1047_TRT4	0.7647
1047_TRT8	0.5882
10480_TRT18	0.2353
10481_TRT18	0.0588
1048_TRT11	0.4706
1048_TRT14	0.2941
1048_TRT15	0.0588
1048_TRT18	0.2941
1048_TRT21	0.8235
10497_TRT18	0.1176
1049_TRT11	0.1765
1049_TRT12	0.8824
1049_TRT15	0.0588
1049_TRT21	0.8235
1049_TRT22	0.7059
1049_TRT4	0.7647
1049_TRT8	0.5882
104_TRT11	0.4706
104_TRT3	0.4706
104_TRT9	0.4118
10500_TRT18	0.1176
10503_TRT18	0.2353
10508_TRT18	0.1176
10509_TRT18	0.2353
1050_TRT11	0.1765
1050_TRT15	0.4706
1050_TRT21	0.8235
1050_TRT4	0.7647
10511_TRT18	0.5882
10513_TRT18	0.5882
10514_TRT18	0.5882
10515_TRT18	0.5882
10516_TRT18	0.2353
10517_TRT18	0.5882
10518_TRT18	0.5882
1051_TRT11	0.2941
1051_TRT12	0.8824
1051_TRT4	0.7647
10520_TRT18	0.2353
10522_TRT18	0.5882
1052_TRT11	0.4706
1052_TRT15	0.1765
1052_TRT22	0.7059
1052_TRT4	0.7059
1052_TRT8	0.5882
10536_TRT18	0.1765
1053_TRT11	0.4706
1053_TRT15	0.2941
1053_TRT20	0.5882
1053_TRT8	0.5882
10544_TRT18	0.1176
10545_TRT18	0.1176
10546_TRT18	0.5882
1054_TRT11	0.4706
1054_TRT15	0.0588
1054_TRT21	0.8235
1054_TRT4	0.7647
1054_TRT8	0.5882
10552_TRT18	0.0588
10553_TRT18	0.2353
10555_TRT18	0.0
1055_TRT15	0.1765
1055_TRT20	0.5882
1055_TRT22	0.7059
10560_TRT18	0.5882
10563_TRT18	0.5882
10564_TRT18	0.5882
10565_TRT18	0.2353
10567_TRT18	0.4706
10569_TRT18	0.2353
1056_TRT11	0.4706
1056_TRT12	0.5882
1056_TRT15	0.0
1056_TRT20	0.5882
1056_TRT22	0.7059
10578_TRT18	0.2941
1057_TRT11	0.2941
1057_TRT20	0.5882
1057_TRT21	0.8235
1057_TRT22	0.7059
1057_TRT7	0.0588
10580_TRT18	0.2941
10581_TRT18	0.2353
1058_TRT11	0.5882
1058_TRT15	0.0588
1058_TRT18	0.2353
1058_TRT20	0.5882
1058_TRT21	0.8235
1058_TRT22	0.7059
10591_TRT18	0.1176
10593_TRT18	0.2353
10594_TRT18	0.2353
10595_TRT18	0.1176
1059_TRT12	0.8824
1059_TRT14	0.1176
1059_TRT15	0.2941
1059_TRT20	0.5882
1059_TRT21	0.8235
1059_TRT22	0.7059
1059_TRT7	0.1176
105_TRT18	0.0588
105_TRT20	0.5882
105_TRT22	0.1176
105_TRT7	0.1176
10603_TRT18	0.2353
10606_TRT18	0.2353
10607_TRT18	0.3529
10608_TRT18	0.5882
1060_TRT11	0.5882
1060_TRT14	0.2941
1060_TRT21	0.8235
1060_TRT22	0.7059
1060_TRT8	0.5882
10611_TRT18	0.5882
10617_TRT18	0.5882
