low_complexity	medium_complexity	high_complexity
0.25529758169619154	0.9126389834354436	0.4164157169362441
1.0	0.5549920445941742	0.2384004725576184
0.3962577962577963	0.02138385848495518	0.4827998748482198
0.7170620177193484	0.5176915617709841	0.46805463552185544
0.47058823529411764	0.8506259724385083	0.2877489571195218
0.026511134676564158	0.11701048486520088	0.38854071461995576
0.10895330572611737	0.23636457996071097	0.3322065302126147
-0.05964214711729622	0.6378472784778918	0.05712443905616766
0.7836691410392365	0.2391676544185434	0.2964902073733548
0.4572203929091537	0.1624180459313587	0.5629008403512802
