low_complexity/	medium_complexity/	high_complexity/
0.06539608564129425	0.7550262623813284	0.19386523713970039
0.1278297158044436	0.9243875420772536	0.18078458032394018
0.2899272309459977	0.37956379118229333	0.2988749424226863
0.27142109519958135	0.22373827069474655	0.04841338005106546
0.01228153046764289	0.6441823474110449	0.2589064011846007
0.10056575453180926	0.3215364035644382	0.26694271274488474
0.04567920973785375	0.23784192918342928	0.14154166793940806
0.30077120822622105	0.307215871282259	0.17837096352339665
0.10277860770839557	0.27317297713383937	0.17856441589731525
0.018444786348191734	0.4608731434443006	0.3825439761722225
