low_complexity	medium_complexity	high_complexity
34.12131379310345	159.47339142857143	714.254231355932
31.50621111111111	349.2356113475177	3665.937692857143
42.22941818181818	245.56270891719745	1121.839934375
55.05814848484848	223.63997000000003	1170.1167724770642
20.799158333333335	162.88018225806454	808.9281219101123
29.546305555555552	306.3822196261682	1483.646186080586
62.704345	342.239	922.1991604878049
23.931461538461537	175.3053	1960.59453553719
23.300116666666664	249.41019905660383	1173.402724102564
79.22034347826087	254.888403539823	1739.6698943722943
