low_complexity/	medium_complexity/	high_complexity/
0.5764007413379685	0.0033314285766980127	0.6851796617205487
-0.037282020444978956	0.2751629262143155	0.07614862002078773
0.1033910211380037	0.4548082213332656	0.5500589635066641
0.21495062831548112	-0.0020429467517493706	0.14147299701638225
0.006989515726410384	0.04780021138505507	0.2826739964945039
0.057390912165971364	0.23145956418343863	0.46144148526835305
0.504182164907577	0.07333519376136467	0.09138095222444484
-0.029385574354407838	0.4451687496023808	0.387655528335773
0.03539743704633032	0.04310657517418514	-0.005600798685271071
0.827941883760601	-0.018279768852414717	-0.007683387117494394
