low_complexity,medium_complexity,high_complexity
0.576582046,0.48576183248,-0.0953158022
0.789287363333333,0.5779726212,-1.21043582406667
0.237391784,0.406608625566667,-0.2826661014
0.760839695,0.3435208142,-0.39885315815
0.677797455736434,-0.04820586,0.017168564541833
0.067104632333333,-0.312169283666667,0.477066102413793
0.652031685666667,0.210635457822581,-0.156564299386667
-0.901758312,-0.246260485233333,-0.2579451496
0.488971364226804,-0.269113043593333,-0.536305505409253
0.406450113333333,0.25979285414,-0.6237222279
