low_complexity,medium_complexity,high_complexity
0.291146116241173,0.462718206144002,0.20863874048748
1,0.772195702389001,0.260222534053818
0.368716389992986,0.579266572637518,0.630107548706447
0.338206261163862,0.545803219145677,0.299814846930751
0.278301886792453,1,0.463090673422103
0.187027161106288,0.324253773402352,0.096731298739483
0.310205059233193,0.793792084689082,0.32892749170629
0.369786839666358,0.153022324253374,0.05967556659435
0.549752611324904,0.043353838396117,0.07966676356785
1,0.3410147386849,0.221786724443488
