low_complexity	medium_complexity	high_complexity
14.182795698924732	21.562992125984252	30.39426523297491
13.803212851405622	20.88	102.83703703703704
16.72983870967742	29.64748201438849	56.11666666666667
17.72972972972973	19.32	42.52014652014652
14.067632850241546	17.6046511627907	34.05957446808511
14.835820895522389	29.1015625	66.72826086956522
15.45	22.943548387096776	52.592592592592595
12.611570247933884	31.30666666666667	42.95774647887324
16.96590909090909	21.137795275590552	33.52857142857143
16.64748201438849	26.430188679245283	55.84942084942085
