low_complexity	medium_complexity	high_complexity
0.14677037538045315	0.899024024024024	0.5127046219299586
1.0	0.6947197055800988	0.21904000307036264
0.516188149053146	0.5277885554818259	0.4804921995390973
0.5917270682329417	0.3455859000064927	0.6462797972658442
0.64	0.9760356740044774	0.5650743177530002
0.2766641452344932	0.20084465219538872	-0.0003137080777416879
-0.017580915698577376	0.3924666627205926	0.09973701540841529
0.1988071570576541	0.37019566256586645	0.037430854099826966
0.5591572123176661	0.3648130393096836	0.35365455382935673
0.4572203929091537	0.3831330179060173	0.25379467715358583
