low_complexity/	medium_complexity/	high_complexity/
0.43562666666666666	0.43656759259259265	0.28025991561181435
0.3942533333333333	0.28366170212765957	0.24415296442687748
0.3883722222222222	0.3054424050632912	0.24600117187499998
0.48150256410256403	0.31841928571428574	0.24588000000000002
0.4820555555555555	0.25825119999999996	0.2435167597765363
0.45759000000000005	0.2684572727272727	0.2523588447653429
0.46163750000000003	0.26828137931034485	0.2407222222222222
0.46065294117647054	0.26806896551724135	0.24600246913580245
0.436162962962963	0.2736162162162162	0.2459765306122449
0.4367510638297872	0.2747210526315789	0.24387672413793104
