	FITNESS
FITNESS	1.0
ABS_EDGES_ONLY_IN_LOG_W	0.8800725308396051
ABS_EDGES_ONLY_IN_LOG	0.5940240887915865
ABS_EDIT_DISTANCE_FIT	0.5737931609118697
ABS_MAX_DEGREE_DIV	0.5052512357494594
ABS_MAX_DEGREE	0.44883688909811004
PRECISION	0.3462927653578492
ABS_EDGES_ONLY_IN_MODEL_W	0.32503144231613934
ABS_EDGES_ONLY_IN_MODEL	0.3186078507852657
ABS_MAX_CLUSTER	0.31647263593669345
LOG_NUMBER_EVENTS_TYPES	0.3162155742590466
ABS_EDIT_DISTANCE_PRE	0.27556020998311526
LOG_NUMBER_EVENTS	0.24366366422823318
ABS_MAX_CLUSTER_DIV	0.22561181888414178
ABS_FOURIER_ENTROPY	0.18579775849506544
LOG_AVG_SEQUENCE_LENGTH	0.17183724082927793
ABS_EDIT_DISTANCE	0.16487106386642342
ABS_FOURIER_ENTROPY_DIV	0.14798672515773514
LOG_NUMBER_SEQUENCES	0.07235524591386451
