	PRECISION
PRECISION	1.0
ABS_EDGES_ONLY_IN_MODEL_W	0.9301392832386742
ABS_EDGES_ONLY_IN_MODEL	0.9018634605900576
ABS_MAX_DEGREE_DIV	0.6555552923723508
ABS_FOURIER_ENTROPY_DIV	0.6444659856591908
ABS_FOURIER_ENTROPY	0.6114112054264673
ABS_MAX_DEGREE	0.6077165171196085
FITNESS	0.36169722075524446
LOG_AVG_SEQUENCE_LENGTH	0.30865330908476923
ABS_EDGES_ONLY_IN_LOG_W	0.3048342189862547
LOG_NUMBER_EVENTS_TYPES	0.22840562465297243
LOG_NUMBER_EVENTS	0.15093423163302438
ABS_MAX_CLUSTER	0.1462468134800184
LOG_NUMBER_SEQUENCES	0.1294812585815807
ABS_MAX_CLUSTER_DIV	0.10080049145807465
ABS_EDGES_ONLY_IN_LOG	0.008171694530845378
