	PRECISION
PRECISION	1.0
ABS_EDGES_ONLY_IN_MODEL_W	0.8596541192505934
ABS_EDGES_ONLY_IN_MODEL	0.8141606748515615
ABS_EDIT_DISTANCE_PRE	0.7418508971290818
ABS_MAX_DEGREE_DIV	0.5366435996690238
ABS_EDIT_DISTANCE	0.47342549789587096
ABS_MAX_DEGREE	0.3849147524217309
ABS_EDIT_DISTANCE_FIT	0.38167056049619
LOG_AVG_SEQUENCE_LENGTH	0.373207149938459
FITNESS	0.35659597155883804
ABS_FOURIER_ENTROPY	0.3526838158153909
ABS_FOURIER_ENTROPY_DIV	0.3446980273885484
LOG_NUMBER_EVENTS_TYPES	0.3126815247098298
ABS_EDGES_ONLY_IN_LOG_W	0.27588280785558494
LOG_NUMBER_EVENTS	0.18223328786067375
LOG_NUMBER_SEQUENCES	0.14606513864293327
ABS_MAX_CLUSTER_DIV	0.13069520455818548
ABS_MAX_CLUSTER	0.09980238266237697
ABS_EDGES_ONLY_IN_LOG	0.03822605677613297
