	FITNESS
FITNESS	1.0
ABS_EDGES_ONLY_IN_LOG_W	0.9326002161856951
ABS_EDGES_ONLY_IN_LOG	0.6370197038832011
ABS_MAX_DEGREE_DIV	0.4917722939638539
ABS_FOURIER_ENTROPY	0.4855154870219819
ABS_FOURIER_ENTROPY_DIV	0.47254610185271645
ABS_MAX_DEGREE	0.4704465156307683
ABS_EDGES_ONLY_IN_MODEL_W	0.39189764972024604
LOG_NUMBER_EVENTS_TYPES	0.3806264816958469
PRECISION	0.3549853432327132
ABS_EDGES_ONLY_IN_MODEL	0.3363057556352573
LOG_NUMBER_EVENTS	0.25724885323858276
LOG_AVG_SEQUENCE_LENGTH	0.19692309226772056
ABS_MAX_CLUSTER_DIV	0.09179186461705448
LOG_NUMBER_SEQUENCES	0.0755767579534159
ABS_MAX_CLUSTER	0.010308678516320563
