Justiça	Tribunal	UF	Tipo de unidade	Classificação da unidade	case:court:code	Unidade Judiciária	Município sede	Estoque	Taxa de congestionamento líquida	Taxa de congestionamento total
Justiça Estadual	TJSP	SP	-	-	71174	GABINETE DE TRABALHO DO DESEMBARGADOR - MARCIA CARDOSO	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	59721	337º-GABINETE DE TRABALHO DO DESEMBARGADOR - RONALDO ALVES DE ANDRADE	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	71177	GABINETE DE TRABALHO DO DESEMBARGADOR - MARIA CLAUDIA BEDOTTI	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	70786	1VARA CIVEL DE IBITINGA	IBITINGA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70787	2VARA CIVEL DE IBITINGA	IBITINGA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70789	JUIZADO ESPECIAL CIVEL DE IBITINGA	IBITINGA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70788	VARA CRIMINAL DE IBITINGA	IBITINGA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70689	02 CUMULATIVA DE PIRAJU	PIRAJU	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	70688	01 CUMULATIVA DE PIRAJU	PIRAJU	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	59202	3ª CIVEL DE BUTANTA	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	59224	DEPARTAMENTO DE EXECUÇÕES CRIMINAIS - 1ª RAJ DE CENTRAL	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	59947	VARA JUIZADO ESP. CIVEL CRIM. - JIT - ANEXO UNIP DE BARUERI	BARUERI	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	59672	288º-GABINETE DE TRABALHO DO DESEMBARGADOR - CARLOS ALBERTO MOUSINHO DOS SANTOS MONTEIRO VIOLAN	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	71153	GABINETE DE TRABALHO DO DESEMBARGADOR - AIRTON PINHEIRO DE CASTRO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	71160	GABINETE DE TRABALHO DO DESEMBARGADOR - DIMITRIOS ZARVOS VARELLIS	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	71161	GABINETE DE TRABALHO DO DESEMBARGADOR - FRANCISCO CARLOS INOUYE SHINTATE	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	71159	GABINETE DE TRABALHO DO DESEMBARGADOR - DANIELA IDA MENEGATTI MILANO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	71166	GABINETE DE TRABALHO DO DESEMBARGADOR - JAYME MARTINS DE OLIVEIRA NETO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	71165	GABINETE DE TRABALHO DO DESEMBARGADOR - JAIR DE SOUZA	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	76570	GABINETE DE TRABALHO DO DESEMBARGADOR - LUIZ GUILHERME DA COSTA WAGNER JUNIOR	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74659	GABINETE DE TRABALHO - MONICA RODRIGUES DIAS DE CARVALHO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74656	GABINETE DE TRABALHO - MARIA CRISTINA DE ALMEIDA BACARIM	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74657	GABINETE DE TRABALHO - MARIA SALETE CORREA DIAS	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74658	GABINETE DE TRABALHO - MARIELLA FERRAZ DE ARRUDA POLLICE NOGUEIRA	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74655	GABINETE DE TRABALHO - MARCUS VINICIUS RIOS GONCALVES	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74422	GABINETE DE TRABALHO DO DESEMBARGADOR - RODOLFO PELLIZARI	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74660	GABINETE DE TRABALHO - RODRIGO NOGUEIRA	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74601	GABINETE DE TRABALHO - CLARA MARIA ARAUJO XAVIER	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74652	GABINETE DE TRABALHO - CRISTINA APARECIDA FACEIRA MEDINA MOGIONI	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74602	GABINETE DE TRABALHO - FERNAO BORBA FRANCO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74653	GABINETE DE TRABALHO - ENEAS COSTA GARCIA	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74651	GABINETE DE TRABALHO - CARLOS ALEKSANDER ROMANO BATISTIC GOLDMAN	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74452	GABINETE DE TRABALHO - CARLOS EDUARDO ANDRADE SAMPAIO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74654	GABINETE DE TRABALHO - JOSE AUGUSTO GENOFRE MARTINS	SAO PAULO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	77256	GABINETE DE TRABALHO - ELOI ESTEVAO TROLY	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	77257	GABINETE DE TRABALHO - HERTHA HELENA ROLLEMBERG PADILHA DE OLIVEIRA	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	77440	GABINETE DE TRABALHO - MAURICIO CAMPOS DA SILVA VELHO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74711	VARA ÚNICA DE ILHABELA	ILHABELA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74703	VARA ÚNICA DE GUARAREMA	GUARAREMA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74704	JUIZADO ESPECIAL CIVEL E CRIMINAL DE GUARAREMA	GUARAREMA	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	74560	VARA ÚNICA DE IBATÉ	IBATE	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74544	VARA ÚNICA DE IEPÊ	IEPE	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74571	JUIZADO ESPECIAL CÍVEL E CRIMINAL DE IEPÊ	IEPE	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	18367	2ª CUMULATIVA DE CERQUEIRA CESAR	CERQUEIRA CESAR	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74639	VARA ÚNICA DE CONCHAL	CONCHAL	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74397	VARA UNICA DE JARINU	JARINU	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74712	JUIZADO ESPECIAL CIVEL E CRIMINAL DE ILHABELA	ILHABELA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74645	VARA ÚNICA DE ITABERA	ITABERA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74719	VARA ÚNICA DE ITAJOBI	ITAJOBI	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74283	01 CUMULATIVA DE ITIRAPINA	ITIRAPINA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75501	JUIZADO ESPECIAL CIVEL DE ITARIRI	ITARIRI	0	0.0	0.5354
