EVENT_LOG	DISCOVERY_ALG	PRECISION	FITNESS	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	TIME_MARKOV	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	ALIGNMENTS_MARKOV_2_K1	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND
ElectronicInvoicingENG	IMf	0.5691	0.9328	0.9088	1.0	0.9461	47.0	0.1119	0.006	0.5938	0.2985	-1	0.6667	0.1667	1.5002	11.1973	11.1973	1	3	-66.0579	0.0619	2	-54.8606	0.1046	309030	9	20135	7	0.0348	15.3479	4.2501	95.2116	0.4224	424.8217	0.7625	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0619	0.9674	0.8333	1.0	1.0	0.5696	0.1429	0.5128	0.9328	0.9467	0.9802	0.9999	0.931	0.5401	0.5714	0.5333	0.5
ElectronicInvoicingENG	IMd	0.2114	0.9766	0.9678	1.0	0.9703	47.0	0.1119	0.006	0.1273	-2.4415	5	2.6667	-0.0476	0.8572	-50.3387	-50.3387	1	3	-66.0579	0.0619	8	-116.3966	0.0797	309030	9	20135	7	0.0348	15.3479	4.2501	95.2116	0.4224	424.8217	0.7625	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0806	0.9821	0.8889	0.3923	0.3721	0.1254	0.6042	0.8765	0.9766	0.9819	0.9474	0.9999	0.9522	0.2046	0.1753	0.2025	0.1538
ElectronicInvoicingENG	ETM	0.945	0.9238	0.9122	1.0	0.9461	47.0	0.1119	0.006	0.8696	0.8866	0	1.0	0.1667	1.5002	5.4545	5.4545	1	3	-66.0579	0.0619	3	-60.6034	0.0673	309030	9	20135	7	0.0348	15.3479	4.2501	95.2116	0.4224	424.8217	0.7625	4	0.1905	17	19	2.2105	3	1.1053	1.1053	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0087	0.9765	0.8889	1.0	1.0	0.859	0.0952	0.3103	0.9238	0.9392	0.8577	1.0	0.9412	0.8481	0.8642	0.8333	0.7143
4a_VARA_CIVEL_-_TJGO	IMf	0.7556	0.7447	0.6526	0.9247	0.5462	239.0	0.036	0.0	0.4412	0.1188	-6	0.5385	-0.1944	0.6112	169.5287	169.5287	1	13	-271.9673	0.0298	7	-102.4386	0.1147	955	16	339	98	28.9086	2.8171	2.1803	950.9332	0.7886	1905.4291	0.7882	19	0.76	6	19	2.8421	4	1.4211	1.4211	1.0	1.0	1.1053	1.1053	2	2	1	1	2	2	0.4845	0.539	0.3387	0.9107	0.8077	0.5241	0.6404	0.744	0.7447	0.7012	0.7403	0.7097	0.6918	0.759	0.7502	0.7579	0.7875
4a_VARA_CIVEL_-_TJGO	IMd	0.7572	0.3084	0.5049	0.9235	0.4427	0.0	0.0	0.0079	0.2863	0.1549	-6	0.5385	0.0	1.0	118.3109	118.3109	1	13	-271.9673	0.0298	7	-153.6564	0.1084	955	16	339	98	28.9086	2.8171	2.1803	950.9332	0.7886	1905.4291	0.7882	18	0.75	6	16	3.125	5	1.5625	1.5625	1.0	1.0	1.0556	1.0556	3	3	1	1	2	2	0.2892	0.5698	0.371	0.8488	0.6389	0.4105	0.6495	0.8079	0.3084	0.3527	0.3725	0.3178	0.3809	0.7675	0.7299	0.7538	0.7856
4a_VARA_CIVEL_-_TJGO	ETM	0.8239	0.9051	0.9095	0.9565	0.8861	163.0	0.0245	0.0	0.253	-0.6969	-4	0.6923	-0.2033	0.5934	40.0491	40.0491	1	13	-271.9673	0.0298	9	-231.9182	0.101	955	16	339	98	28.9086	2.8171	2.1803	950.9332	0.7886	1905.4291	0.7882	30	0.6977	13	32	4.4375	16	2.2188	2.2188	1.0	1.0	1.9333	1.9333	9	7	1	1	4	4	3.8304	0.9026	0.5484	0.8238	0.6623	0.3481	0.5566	0.7784	0.9051	0.9258	0.9756	0.926	0.9504	0.8157	0.6488	0.7122	0.6175
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.3709	0.8075	0.7093	0.9519	0.6788	0.0	0.0	0.003	0.4155	-0.4365	-9	0.4375	0.0	1.0	442.8285	442.8285	1	16	-504.2126	0.0189	7	-61.3841	0.1193	4448	29	116	112	96.5517	38.3448	26.7798	12795.7982	0.5651	31049.1846	0.8535	28	0.8	7	22	3.1818	6	1.5909	1.5909	1.0	1.0	1.0	1.0	3	4	1	1	1	1	0.0688	0.7246	0.188	0.8175	0.8148	0.422	0.803	0.8392	0.8075	0.7955	0.8154	0.7715	0.7786	0.3021	0.3424	0.285	0.3024
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	0.9775	0.6019	0.6465	0.947	0.6088	120.0	0.008	0.0105	0.6923	0.894	-13	0.1875	0.0	1.0	390.6288	390.6288	1	16	-504.2126	0.0189	3	-113.5838	0.0437	4448	29	116	112	96.5517	38.3448	26.7798	12795.7982	0.5651	31049.1846	0.8535	11	0.1549	60	65	2.4308	11	1.2154	1.2154	1.0	1.0	1.7273	1.7273	6	5	1	1	3	3	0.1064	0.7419	0.2222	0.8664	0.8125	0.8186	0.7752	0.88	0.5597	0.6185	0.6011	0.5901	0.5843	0.9608	0.9563	0.9665	0.9754
BPI_Challenge_2014_Entitlement application	IMf	0.3273	0.9918	0.9906	0.9991	0.9854	401.5667	0.0147	0.0	0.1945	-1.6809	0	1.0	0.0	1.0	-80.7263	-80.7263	1	15	-590.9859	0.0221	15	-671.7122	0.0573	293245	20	15260	2553	16.73	19.2166	6.9503	187385.515	0.7173	563610.895	0.6817	32	0.6809	15	28	3.5	7	1.75	1.75	1.0	1.0	1.0625	1.0625	5	4	1	1	3	3	176.2067	0.9921	0.6316	0.6823	0.6115	0.257	0.5431	0.833		0.9923	0.9799	0.995	0.9878	0.3162	0.3008	0.2598	0.2539
BPI_Challenge_2014_Entitlement application	IMd	0.0769	0.7156	0.321	0.9993	0.4914	28.0	0.001	0.0	0.1293	-2.874	4	1.2667	-0.2327	0.5346	-676.4874	-676.4874	1	15	-590.9859	0.0221	19	-1267.4733	0.0412	293245	20	15260	2553	16.73	19.2166	6.9503	187385.515	0.7173	563610.895	0.6817	32	0.6275	19	29	3.6552	10	1.8276	1.8276	1.0	1.0	1.0625	1.0625	8	8	1	1	2	2	32.0685	0.7043	0.7697	0.6167	0.5	0.181	0.5714	0.8806		0.7121	0.7246	0.7105	0.7423	0.0615	0.0769	0.0615	0.0769
BPI_Challenge_2014_Entitlement application	ETM	0.8283	0.9369	0.9232	0.9983	0.8863	401.5667	0.0147	0.0	0.8246	0.745	-9	0.4	0.0	1.0	525.7248	525.7248	1	15	-590.9859	0.0221	6	-65.2611	0.0754	293245	20	15260	2553	16.73	19.2166	6.9503	187385.515	0.7173	563610.895	0.6817	44	0.6667	22	60	3.5333	11	1.7667	1.7667	1.0	1.0	1.9091	1.9091	6	5	1	1	3	3	0.1831	0.9137	0.1579	1.0	1.0	0.8326	0.8313	0.9237	0.9295	0.945	0.9122	0.9572	0.8807	0.8295	0.8008	0.7811	0.7942
BPI_Challenge_2014_Inspection	IMf	0.671	-1.0	0.6038	0.9995	0.7399	706.0	0.1239	0.0	0.2202	0.0956	0	1.0	-0.7	0.3	50.4693	50.4693	1	10	-232.3219	0.0349	10	-181.8526	0.0734	197717	15	5485	3190	58.1586	36.0469	39.6714	461944.1948	0.6204	1525065.9712	0.8182	30	0.6977	13	31	2.9677	4	1.4839	1.4839	1.0	1.0769	1.1	1.0667	2	2	1	2	3	3	21.3156	0.8577	0.5821	0.8639	0.6	0.4088	0.581	0.83		0.7926	0.8482	0.7648	0.8427	0.6708	0.6849	0.6517	0.6474
BPI_Challenge_2014_Inspection	IMd	0.2344	0.8618	0.6822	0.9997	0.8123	0.0	0.0	0.0009	0.0731	-3.4739	4	1.4	-0.7228	0.2772	-795.6333	-795.6333	1	10	-232.3219	0.0349	14	-1027.9552	0.0634	197717	15	5485	3190	58.1586	36.0469	39.6714	461944.1948	0.6204	1525065.9712	0.8182	16	0.5161	15	17	3.7647	8	1.8824	1.8824	1.0	1.0	1.0625	1.0625	6	6	1	1	2	2	0.3413	0.9017	0.8358	0.7315	0.3478	0.2129	0.6649	0.9291	0.8618	0.8496	0.8968	0.8132	0.9035	0.2121	0.2228	0.1954	0.2186
BPI_Challenge_2014_Inspection	ETM	0.9975	-1.0	0.6589	0.9992	0.7471	706.0	0.1239	0.0	1.0	1.0	-6	0.4	-0.5	0.5	176.2162	176.2162	1	10	-232.3219	0.0349	4	-56.1057	0.0752	197717	15	5485	3190	58.1586	36.0469	39.6714	461944.1948	0.6204	1525065.9712	0.8182	3	0.0968	28	30	2.0667	3	1.0333	1.0333	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.018	0.8337	0.2239	1.0	1.0	1.0	0.7632	0.8844	0.6713	-1.0	-1.0	0.7175	-1.0	0.9971	0.996	0.9902	0.9971
BPI_Challenge_2014_Geo parcel document	IMf	0.3713	-1.0	0.9002	0.9995	0.8998	243.5	0.0133	0.0	0.4607	-0.184	-2	0.8462	0.0	1.0	48.0554	48.0554	1	13	-401.4142	0.033	11	-353.3588	0.0616	569209	16	29059	9274	31.9144	19.588	16.8236	1224971.0955	0.7295	2668507.692	0.804	44	0.7857	12	37	3.1892	6	1.5946	1.5946	1.0	1.0	1.0682	1.0682	5	3	1	1	2	2	4.9681	0.9417	0.5289	0.8532	0.7442	0.5437	0.525	0.6995	0.9587	0.9391	0.9426	0.9455	0.9287	0.3317	0.3348	0.3143	0.3646
BPI_Challenge_2014_Geo parcel document	IMd	0.1938	0.9982	0.9953	0.9999	0.9968	279.5	0.0152	0.0	0.221	-3.5795	1	1.0769	0.0	1.0	-668.6051	-668.6051	1	13	-401.4142	0.033	14	-1070.0193	0.066	569209	16	29059	9274	31.9144	19.588	16.8236	1224971.0955	0.7295	2668507.692	0.804	29	0.6744	14	24	3.6667	8	1.8333	1.8333	1.0	1.0	1.0345	1.0345	6	6	1	1	2	2	90.4532	0.9982	0.8678	0.81	0.5966	0.3536	0.4429	0.7859		0.9988	0.9975	0.9991	0.9985	0.1897	0.1734	0.1892	0.172
BPI_Challenge_2014_Geo parcel document	ETM	0.6923	0.8372	0.7188	0.9991	0.7075	135.0	0.0074	0.0	0.9	0.9416	-8	0.3846	0.0	1.0	353.3563	353.3563	1	13	-401.4142	0.033	5	-48.0579	0.1186	569209	16	29059	9274	31.9144	19.588	16.8236	1224971.0955	0.7295	2668507.692	0.804	25	0.7576	8	31	3.2258	11	1.6129	1.6129	1.0	1.0	1.68	1.68	6	5	1	1	3	3	0.0722	0.7786	0.1405	0.9875	0.9474	0.9195	0.8394	0.9118	0.8367	0.8608	0.7964	0.8843	0.7612	0.6879	0.6873	0.684	0.7107
BPI_Challenge_2012	IMf	0.3754	-1.0	0.5637	0.9992	0.7087	263.0	0.0139	0.0008	0.1653	-1.2845	4	1.2857	-0.2619	0.4762	-73.9436	-73.9436	1	14	-546.3112	0.0189	18	-620.2548	0.0278	262200	24	13087	4366	33.3614	20.0351	24.1151	469331.1569	0.6999	1584263.0089	0.7167	29	0.5686	22	43	2.6977	6	1.3488	1.3488	1.0	1.0909	1.2414	1.1724	3	3	1	3	4	4	6.2813	0.7949	0.536	0.5252	0.4268	0.2205	0.6737	0.8685		0.6943	0.6798	0.6664	0.6655	0.4087	0.4048	0.4136	0.3986
BPI_Challenge_2012	IMd	0.2995	0.7215	0.6234	0.9996	0.7575	0.0	0.0	0.0004	0.1228	-3.2767	5	1.3571	0.5	2.0	-840.0756	-840.0756	1	14	-546.3112	0.0189	19	-1386.3868	0.0221	262200	24	13087	4366	33.3614	20.0351	24.1151	469331.1569	0.6999	1584263.0089	0.7167	30	0.5769	22	43	2.7442	9	1.3721	1.3721	1.0	1.0	1.2333	1.2333	6	7	1	1	4	4	29.0688	0.8564	0.784	0.5058	0.3439	0.1688	0.6747	0.8837		0.7813	0.8368	0.7469	0.867	0.3362	0.3089	0.3341	0.263
BPI_Challenge_2012	ETM	-1.0	-1.0	0.0	0.9988	0.0	263.0	0.0139	0.0008	0.0	0.9546	-12	0.1429	-0.5	0.0	424.2037	424.2037	1	14	-546.3112	0.0189	2	-122.1075	0.0387	262200	24	13087	4366	33.3614	20.0351	24.1151	469331.1569	0.6999	1584263.0089	0.7167	0	0.0	34	33	2.0606	3	1.0303	1.0303	1.0	1.0	0.0	0.0	2	2	1	1	0	0	0.0406	0.0	0.0						0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
edited_hh110_weekends	IMd	0.0875	0.9555	0.8992	0.9737	0.9158	228.0	0.0531	0.0	0.0542	-7.9684	6	1.75	0.2792	-1.0	-290.1749	-290.1749	1	8	-313.5798	0.0238	14	-603.7547	0.0667	368	14	6	6	100.0	61.3333	26.9333	553.29	0.3088	2071.1192	0.9526	46	0.7797	13	34	3.4706	6	1.7353	1.7353	1.0	1.0	1.0	1.0	4	4	1	1	1	1	86.8865	0.942	0.9048	0.4982	0.413	0.0677	0.6386	0.9461		0.9518	0.9685	0.9372	0.9513	0.0769	0.0835	0.0724	0.0724
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.1156	0.7044	0.4328	0.8381	0.4577	1551.4452	0.0313	0.0011	0.059	-4.3964	2	1.1111	0.5	2.0	-575.1662	-575.1662	1	18	-1025.7973	0.0121	20	-1600.9635	0.0444	2246	30	35	35	100.0	64.1714	56.8672	7343.1938	0.4435	17217.4488	0.9879	26	0.5652	20	25	3.76	9	1.88	1.88	1.0	1.0	1.0385	1.0385	7	7	1	1	2	2	241.8506	0.6857	0.5476	0.5822	0.4021	0.1112	0.701	0.9462		0.6897	0.6969	0.6917	0.7255	0.0	0.1119	0.0	0.0937
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.9877	0.5233	0.4041	0.7699	0.4508	1551.4452	0.0313	0.0011	0.85	0.9301	-13	0.2778	0.0	1.0	829.8527	829.8527	1	18	-1025.7973	0.0121	5	-195.9446	0.0302	2246	30	35	35	100.0	64.1714	56.8672	7343.1938	0.4435	17217.4488	0.9879	5	0.045	106	106	2.0943	3	1.0472	1.0472	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.7064	0.7042	0.2095	0.9064	0.898	0.9022	0.7939	0.8891	0.455	0.5093	0.5475	0.4378	0.5331	0.6296	0.9787	0.8889	0.95
BPI_Challenge_2020_InternationalDeclarations	IMf	0.2038	0.9272	0.8479	0.9965	0.8749	3235.5	0.073	0.0	0.0713	-5.0485	-8	0.6364	0.3333	2.9994	-591.2144	-591.2144	1	22	-977.8268	0.0116	14	-1569.0412	0.037	72151	34	6449	753	11.6762	11.1879	5.4197	30396.2374	0.7502	73857.3427	0.7994	28	0.5185	26	31	3.6129	8	1.8065	1.8065	1.0	1.0	1.0714	1.0714	5	5	1	1	2	2	3.5003	0.9236	0.4898	0.4399	0.3678	0.0794	0.7289	0.9351		0.9361	0.9435	0.9401	0.9329	0.1934	0.193	0.1903	0.1814
BPI_Challenge_2020_InternationalDeclarations	IMd	0.1711	0.5924	0.3629	0.9969	0.6377	260.5	0.0059	0.0	0.0167	-11.0879	10	1.4545	0.0855	1.5129	-3915.591	-3915.591	1	22	-977.8268	0.0116	32	-4893.4178	0.0273	72151	34	6449	753	11.6762	11.1879	5.4197	30396.2374	0.7502	73857.3427	0.7994	23	0.4259	31	18	6.0	19	3.0	3.0	1.0	1.0	1.0	1.0	17	17	1	1	1	1	58.2393	0.7614	0.699	0.2983	0.1963	0.0262	0.8155	0.9836		0.6029	0.6197	0.6018	0.6045	0.1645	0.165	0.1542	0.157
BPI_Challenge_2020_InternationalDeclarations	ETM	0.6348	0.8453	0.6884	0.9947	0.6513	3235.5	0.073	0.0	0.4885	0.5049	-18	0.1818	0.0666	1.3995	792.058	792.058	1	22	-977.8268	0.0116	4	-185.7688	0.0396	72151	34	6449	753	11.6762	11.1879	5.4197	30396.2374	0.7502	73857.3427	0.7994	24	0.4898	25	39	3.7436	11	1.8718	1.8718	1.0	1.0	2.0	2.0	6	5	1	1	3	3	0.4441	0.799	0.2143	0.8436	0.7833	0.5551	0.7991	0.8897	0.8446	0.8568	0.8402	0.8622	0.8135	0.6337	0.6338	0.5309	0.6469
DocumentProcessingENG	IMf	0.5438	0.8455	0.8249	1.0	0.9082	70.0	0.1515	0.0	0.5625	0.2911	0	1.0	0.5	-1.0	28.1981	28.1981	1	2	-83.0587	0.0519	2	-54.8606	0.1046	262682	10	18352	3	0.0163	14.3135	6.0295	18.2042	0.2149	133.2317	0.8487	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0139	0.9242	0.7895	1.0	1.0	0.5444	0.1818	0.5263	0.8455	0.9999	0.4666	0.9999	0.4666	0.5333	0.5	0.5333	0.5333
DocumentProcessingENG	IMd	0.194	0.9142	0.8674	1.0	0.9082	70.0	0.1515	0.0	0.1091	-2.2903	6	4.0	0.2857	-1.0	-33.3379	-33.3379	1	2	-83.0587	0.0519	8	-116.3966	0.0797	262682	10	18352	3	0.0163	14.3135	6.0295	18.2042	0.2149	133.2317	0.8487	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0717	0.9242	0.7895	0.3671	0.3488	0.1081	0.64	0.8947	0.9142	0.9999	0.909	0.9999	0.7499	0.2025	0.1733	0.2025	0.2025
DocumentProcessingENG	ETM	0.9085	0.8573	0.8581	1.0	0.9541	70.0	0.1515	0.0	0.75	0.82	0	1.0	0.5	-1.0	15.3015	15.3015	1	2	-83.0587	0.0519	2	-67.7572	0.0606	262682	10	18352	3	0.0163	14.3135	6.0295	18.2042	0.2149	133.2317	0.8487	4	0.1818	18	20	2.2	3	1.1	1.1	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0098	0.9805	0.9474	0.9653	0.9474	0.7841	0.087	0.3226	0.8573	1.0	1.0	1.0	0.5	0.8889	0.8889	0.8889	0.8889
edited_hh110_labour	IMf	0.256	0.7628	0.6682	0.9288	0.669	103.0	0.0096	0.0	0.2593	-1.3638	-4	0.6364	0.3333	-1.0	431.9873	431.9873	1	11	-583.9398	0.0161	7	-151.9525	0.1148	1390	17	21	21	100.0	66.1905	37.5714	3336.9214	0.4252	9389.9241	0.9334	29	0.7838	8	27	2.963	4	1.4815	1.4815	1.0	1.0	1.1034	1.1034	2	2	1	1	3	3	10.6495	0.7064	0.3861	0.9204	0.907	0.256	0.5963	0.8118	0.7628	0.778	0.7637	0.7748	0.7229	0.2857	0.2019	0.2857	0.2857
edited_hh110_labour	IMd	0.0763	0.9981	0.9963	0.9958	0.9958	306.0	0.0286	0.0	0.0475	-10.1383	5	1.4545	0.2736	-1.0	-840.648	-840.648	1	11	-583.9398	0.0161	16	-1424.5878	0.0557	1390	17	21	21	100.0	66.1905	37.5714	3336.9214	0.4252	9389.9241	0.9334	34	0.68	16	26	3.8462	11	1.9231	1.9231	1.0	1.0	1.0	1.0	9	9	1	1	1	1	126.7657	0.9971	0.9604	0.5753	0.4369	0.0638	0.6078	0.9526		0.9983	0.9982	0.9964	0.9998	0.0734	0.0745	0.0718	0.0708
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.0752	0.9291	0.8273	0.9301	0.8491	786.0	0.0199	0.0038	0.0593	-9.2484	8	1.6667	-0.5	0.5	-1330.6363	-1330.6363	1	12	-916.4141	0.0126	20	-2247.0504	0.0482	2476	32	28	28	100.0	88.4286	72.6138	7708.5005	0.4131	19214.899	0.9917	18	0.4737	20	15	5.0667	15	2.5333	2.5333	1.0	1.0	1.0	1.0	13	13	1	1	1	1	3.7686	0.9163	0.6667	0.5894	0.3879	0.1267	0.6716	0.9426		0.9334	0.9243	0.9449	0.9372	0.0	0.0755	0.0	0.0685
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.9659	0.5636	0.5442	0.8294	0.5667	786.0	0.0199	0.0038	0.9701	0.9838	-8	0.3333	-0.5	0.5	786.697	786.697	1	12	-916.4141	0.0126	4	-129.7171	0.0429	2476	32	28	28	100.0	88.4286	72.6138	7708.5005	0.4131	19214.899	0.9917	10	0.0826	111	122	2.1311	11	1.0656	1.0656	1.0	1.0	1.9	1.9	6	5	1	1	3	3	0.6358	0.759	0.1927	1.0	1.0	0.9795	0.799	0.8697	0.4857	0.5565	0.5694	0.5605	0.5329	0.0	0.9677	0.0	0.95
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.5623	0.7536	0.5335	0.9073	0.5035	1433.6411	0.0213	0.0005	0.4746	0.6421	-24	0.1724	-0.0833	0.8334	1162.7295	1162.7295	1	29	-1240.7777	0.0115	5	-78.0482	0.0839	7659	45	52	52	100.0	147.2885	115.8793	28717.455	0.4314	68099.3052	0.993	24	0.7059	10	23	3.0435	4	1.5217	1.5217	1.0	1.0	1.0417	1.0417	2	2	1	1	2	2	0.0801	0.6418	0.0763	0.9654	0.6552	0.7066	0.9084	0.9332	0.7591	0.7572	0.7572	0.7582	0.7365	0.0	0.428	0.0	0.4015
edited_hh104_weekends	IMf	0.2199	0.675	0.5438	0.852	0.5159	333.6667	0.0101	0.0	0.325	-0.5431	-9	0.4	0.5	-1.0	1097.3772	1097.3772	1	15	-1214.6385	0.0099	6	-117.2613	0.101	1728	19	18	18	100.0	96.0	64.0392	4206.9628	0.3912	12305.8167	0.9553	35	0.7778	10	32	3.0	5	1.5	1.5	1.0	1.0	1.0857	1.0857	3	4	1	1	3	3	2.0647	0.638	0.2067	0.9951	0.9737	0.3173	0.7663	0.859		0.6402	0.6854	0.6772	0.6811	0.1818	0.2013	0.1818	0.1854
edited_hh104_weekends	IMd	0.0724	0.9842	0.9711	0.9841	0.9683	181.0	0.0055	0.0	0.0812	-8.1973	1	1.0667	0.2736	-1.0	-544.662	-544.662	1	15	-1214.6385	0.0099	16	-1759.3005	0.0558	1728	19	18	18	100.0	96.0	64.0392	4206.9628	0.3912	12305.8167	0.9553	20	0.5556	16	19	4.0	12	2.0	2.0	1.0	1.0	1.1	1.1	10	10	1	1	3	3	3.2207	0.9754	0.905	0.828	0.7137	0.093	0.3978	0.9194	0.9842	0.9771	0.9854	0.9858	0.9856	0.0698	0.0704	0.0684	0.0684
edited_hh104_weekends	ETM	0.98	0.5953	0.4488	0.8571	0.5522	333.6667	0.0101	0.0	0.8506	0.873	-8	0.4667	0.1667	-1.0	947.9953	947.9953	1	15	-1214.6385	0.0099	7	-266.6432	0.0246	1728	19	18	18	100.0	96.0	64.0392	4206.9628	0.3912	12305.8167	0.9553	2	0.0156	126	124	2.0645	3	1.0323	1.0323	1.0	1.0	1.0	1.0	2	2	1	1	1	1	1.0218	0.7503	0.3073	0.9862	0.9649	0.8265	0.6848	0.7817	0.5678	0.586	0.5852	0.6096	0.4761	0.6667	0.6667	0.6667	0.6667
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	0.4786	0.7214	0.4947	0.8762	0.506	1506.1108	0.0215	0.001	0.3826	0.1804	-15	0.4231	-0.6607	0.3393	1093.5448	1093.5448	1	26	-1283.5741	0.0114	11	-190.0293	0.0553	5463	38	131	128	97.7099	41.7023	40.8571	23596.8202	0.5378	46560.9705	0.9788	32	0.6531	17	31	3.3548	11	1.6774	1.6774	1.0	1.0	1.0938	1.0938	6	9	1	1	3	3	9.1447	0.6498	0.1174	0.9401	0.6042	0.6094	0.866	0.9063	0.7283	0.7574	0.7611	0.7296	0.7875	0.3592	0.3683	0.2804	0.3595
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	0.06	0.9924	0.9823	0.985	0.9815	816.8762	0.0117	0.0	0.036	-12.8351	1	1.0385	-0.5	0.5	-5491.0966	-5491.0966	1	26	-1283.5741	0.0114	27	-6774.6707	0.0345	5463	38	131	128	97.7099	41.7023	40.8571	23596.8202	0.5378	46560.9705	0.9788	21	0.4375	27	16	6.0	17	3.0	3.0	1.0	1.0	1.0	1.0	15	15	1	1	1	1	9.0415	0.9865	0.8259	0.7014	0.2906	0.1383	0.7241	0.9641		0.9908	0.993	0.9951	0.9952	0.0519	0.0574	0.0468	0.0489
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	0.9956	0.533	0.4765	0.8688	0.4611	65.45	0.0009	0.0007	0.8679	0.9832	-20	0.2308	-0.8	0.2	1169.2962	1169.2962	1	26	-1283.5741	0.0114	6	-114.2779	0.0472	5463	38	131	128	97.7099	41.7023	40.8571	23596.8202	0.5378	46560.9705	0.9788	10	0.1562	54	59	2.4407	11	1.2203	1.2203	1.0	1.0	1.8	1.8	6	5	1	1	3	3	0.0791	0.6847	0.1215	0.9969	0.9677	0.9032	0.8759	0.9428	0.4878	0.5648	0.5734	0.5164	0.5772	0.9929	0.9911	0.7609	0.9833
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	0.1414	0.9597	0.8933	0.9753	0.9132	983.6833	0.0167	0.0002	0.1844	-5.4947	0	1.0	-0.2253	0.5494	-633.6416	-633.6416	1	17	-1002.7321	0.0151	17	-1636.3737	0.0571	5663	28	229	227	99.1266	24.7293	21.9296	24371.0466	0.6184	46146.2469	0.9467	13	0.4194	18	12	5.1667	15	2.5833	2.5833	1.0	1.0	1.0	1.0	13	13	1	1	1	1	66.9364	0.9584	0.7647	0.8256	0.6898	0.2429	0.4321	0.8224		0.9481	0.9606	0.9328	0.9654	0.1177	0.1199	0.1535	0.1136
