EVENT_LOG	DISCOVERY_ALG	PRECISION	FITNESS	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	TIME_MARKOV	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	ALIGNMENTS_MARKOV_2_K1	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND
activitylog_uci_detailed_labour	ETM	0.9905	0.5943	0.579	0.887	0.69	439.6667	0.0347	0.0093	0.8987	0.8786	-4	0.6	0.25	2.0	317.5814	317.5814	1	10	-493.9375	0.0185	6	-176.3561	0.0336	1392	16	25	25	100.0	55.68	36.9367	4040.0953	0.4443	9786.9452	0.9713	10	0.0962	94	100	2.24	11	1.12	1.12	1.0	1.0	1.8	1.8	6	5	1	1	3	3	0.4503	0.8537	0.422	1.0	1.0	0.8974	0.5664	0.7066	0.5449	0.6375	0.5772	0.6758	0.5762	0.9848	0.9091	0.9737	0.9688
activitylog_uci_detailed_weekends	IMf	0.2893	0.7513	0.6119	0.8524	0.6417	80.0	0.0123	0.0	0.308	-0.7953	-3	0.6667	0.2222	1.7999	199.6976	199.6976	1	9	-332.4916	0.0235	6	-132.794	0.0943	488	15	10	10	100.0	48.8	35.0	1000.2578	0.3667	2940.3212	0.9733	34	0.7556	11	29	3.1034	5	1.5517	1.5517	1.0	1.0	1.0	1.0	3	3	1	1	1	1	0.0766	0.749	0.5128	0.8498	0.8163	0.3211	0.5222	0.7631	0.7555	0.717	0.7527	0.6914	0.8687	0.2152	0.2549	0.1739	0.24
activitylog_uci_detailed_weekends	IMd	0.0792	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0509	-9.5886	6	1.6667	-0.0027	0.9903	-1131.8825	-1131.8825	1	9	-332.4916	0.0235	15	-1464.3741	0.0587	488	15	10	10	100.0	48.8	35.0	1000.2578	0.3667	2940.3212	0.9733	46	0.7541	15	33	3.697	9	1.8485	1.8485	1.0	1.0	1.0	1.0	7	7	1	1	1	1	189.1302	1.0	1.0	0.512	0.3939	0.0713	0.6416	0.9491		0.9997	0.9997	0.9997	0.9997	0.0765	0.0761	0.0743	0.0736
activitylog_uci_detailed_weekends	ETM	0.9773	0.6348	0.4085	0.7913	0.5217	113.0	0.0174	0.0089	0.7667	0.7894	-5	0.4444	0.2222	1.7999	168.2342	168.2342	1	9	-332.4916	0.0235	4	-164.2574	0.0332	488	15	10	10	100.0	48.8	35.0	1000.2578	0.3667	2940.3212	0.9733	6	0.0896	61	66	2.0606	3	1.0303	1.0303	1.0	1.0	1.1667	1.1667	2	2	1	1	2	2	0.1236	0.7615	0.4744	0.9332	0.9268	0.7841	0.5238	0.7229	0.6123	0.6742	0.6322	0.5825	0.6	0.9655	0.9412	0.6667	0.6667
edited_hh102_labour	IMf	0.2609	0.7831	0.6075	0.9024	0.6599	1272.6333	0.0834	0.0	0.184	-2.1869	-3	0.7692	0.5	-1.0	452.3012	452.3012	1	13	-729.9145	0.0138	10	-277.6133	0.0597	1152	18	18	18	100.0	64.0	38.6797	2832.6121	0.4158	7693.1463	0.9473	50	0.7692	15	43	3.1163	5	1.5581	1.5581	1.0	1.0	1.04	1.04	3	3	1	1	3	3	33.625	0.8007	0.4959	0.735	0.6667	0.2054	0.5909	0.8501		0.7899	0.7786	0.8019	0.7536	0.2222	0.2482	0.2222	0.2222
edited_hh102_labour	IMd	0.0718	0.9951	0.9921	0.9933	0.9899	590.6667	0.0387	0.0	0.0456	-10.7508	4	1.3077	0.2722	-1.0	-1337.393	-1337.393	1	13	-729.9145	0.0138	17	-2067.3075	0.0529	1152	18	18	18	100.0	64.0	38.6797	2832.6121	0.4158	7693.1463	0.9473	7	0.2917	17	8	6.0	17	3.0	3.0	1.0	1.0	1.0	1.0	15	15	1	1	1	1	0.5056	0.9921	0.9587	0.5766	0.4514	0.059	0.5966	0.9545	0.9951	0.9965	0.993	0.9999	0.9925	0.0683	0.0683	0.0653	0.0652
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	0.322	0.7888	0.6638	0.9362	0.726	133.1333	0.0013	0.0027	0.4774	-0.2812	-16	0.4074	-0.25	0.5	1265.6243	1265.6243	1	27	-1554.2785	0.0104	11	-288.6542	0.0526	13546	42	206	206	100.0	65.7573	60.7943	64029.6347	0.5428	126011.4812	0.9778	30	0.6818	14	31	3.0968	5	1.5484	1.5484	1.0	1.0	1.1333	1.1333	4	4	1	1	4	4	50.5263	0.8296	0.2133	0.9257	0.8421	0.5646	0.7788	0.8468		0.8136	0.7959	0.8457	0.798	0.2896	0.304	0.2894	0.2963
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	0.0426	0.9965	0.9919	0.9934	0.9918	623.1345	0.006	0.0037	0.0395	-17.2452	3	1.1111	0.0	1.0	-6644.5035	-6644.5035	1	27	-1554.2785	0.0104	30	-8198.782	0.0312	13546	42	206	206	100.0	65.7573	60.7943	64029.6347	0.5428	126011.4812	0.9778	37	0.5522	30	27	4.963	14	2.4815	2.4815	1.0	1.0	1.0	1.0	12	12	1	1	1	1	55.0403	0.9942	0.84	0.5915	0.2993	0.1057	0.7122	0.9607		0.9959	0.9958	0.9973	0.9948	0.0404	0.0395	0.0386	0.0396
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	0.8603	-1.0	0.5196	0.9256	0.5656	2573.2702	0.0246	0.005	0.9643	0.9956	-22	0.1852	-0.1667	0.6666	1480.7109	1480.7109	1	27	-1554.2785	0.0104	5	-73.5676	0.069	13546	42	206	206	100.0	65.7573	60.7943	64029.6347	0.5428	126011.4812	0.9778	13	0.1646	66	72	2.1944	3	1.0972	1.0972	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.1616	0.7885	0.08	0.9766	0.96	0.9723	0.9138	0.9506	0.5172	-1.0	0.5886	0.6008	0.5893	0.4221	0.8418	0.0	0.8382
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.3027	0.6655	0.5539	0.9892	0.5642	145.0	0.1089	0.0036	0.3267	-0.6387	2	1.5	0.3	2.5	37.5998	37.5998	1	4	-107.8645	0.0495	6	-70.2647	0.0956	2583	12	232	33	14.2241	11.1336	3.2226	624.7064	0.5792	1843.844	0.7996	29	0.7632	9	25	3.04	5	1.52	1.52	1.0	1.0	1.0	1.0	4	3	1	1	1	1	0.0289	0.6333	0.5882	0.6832	0.6667	0.3743	0.5106	0.7537	0.6712	0.6628	0.6581	0.6593	0.6702	0.1738	0.2442	0.1612	0.2369
