case:concept:name	cluster_label
15162_TRT17	0.2424
15167_TRT8	0.4848
15177_TRT4	0.3333
15181_TRT17	0.303
15199_TRT7	0.6061
15204_TRT17	0.303
1520_TRT21	1.0
15227_TRT18	0.3636
15237_TRT16	0.6061
1526_TRT15	0.3636
15295_TRT10	1.0
15366_TRT18	0.0
15374_TRT10	0.9091
15383_TRT7	0.3333
1541_TRT7	0.7879
15421_TRT7	0.3939
15445_TRT8	0.5455
15452_TRT7	0.6061
15474_TRT18	0.1212
15512_TRT10	0.697
15531_TRT16	0.5455
15534_TRT7	0.6061
1555_TRT20	1.0
15570_TRT7	0.6061
15574_TRT7	0.0909
1557_TRT12	0.7273
15610_TRT16	0.4848
15613_TRT8	0.3939
15632_TRT8	0.5758
15642_TRT18	0.1212
15663_TRT4	0.3333
1567_TRT18	0.3333
1572_TRT7	0.8182
15771_TRT8	0.6061
15805_TRT16	0.6061
15807_TRT7	0.4848
1580_TRT21	0.3333
15836_TRT16	0.5758
15845_TRT8	0.3636
15877_TRT4	0.7879
158_TRT22	0.7879
1590_TRT1	0.0909
15910_TRT8	0.3636
15913_TRT7	0.7879
15969_TRT4	0.7879
15991_TRT10	0.4545
16034_TRT16	0.3333
16055_TRT8	0.1818
1614_TRT22	0.7879
16169_TRT8	0.6061
16175_TRT7	0.4545
16196_TRT4	0.8485
16196_TRT7	0.4848
1621_TRT20	0.7576
16220_TRT18	0.3333
16250_TRT8	0.8788
16252_TRT18	0.0606
16255_TRT7	0.0606
16263_TRT18	0.0606
16287_TRT16	0.0606
16291_TRT16	0.0606
16292_TRT8	0.1515
16299_TRT17	0.4848
16305_TRT8	0.0
16320_TRT16	0.0909
16324_TRT4	0.6061
16338_TRT18	0.0606
16343_TRT6	0.3939
16360_TRT7	0.0909
16388_TRT4	0.0909
1639_TRT24	0.0303
16408_TRT18	0.0606
16435_TRT6	0.1515
16448_TRT16	0.0
16458_TRT7	0.0606
16464_TRT12	0.9091
1646_TRT12	0.9091
1646_TRT22	0.7879
16491_TRT17	0.6061
1649_TRT10	0.9091
16502_TRT10	0.3636
16507_TRT10	0.4545
16554_TRT16	0.3333
16619_TRT16	0.0909
16632_TRT8	0.5152
16666_TRT10	0.3939
1666_TRT22	0.7879
16677_TRT7	0.6061
16722_TRT10	0.2424
16774_TRT4	0.4545
16804_TRT6	0.7879
1681_TRT15	0.0
16846_TRT7	0.3636
1686_TRT14	0.5455
16888_TRT4	0.0
16894_TRT18	0.0
16928_TRT8	0.4545
1693_TRT8	0.7273
16953_TRT4	0.2424
16966_TRT7	0.1515
16992_TRT8	0.5758
17040_TRT12	0.9091
17057_TRT6	0.1818
17057_TRT8	0.0909
17067_TRT7	0.1515
17133_TRT7	0.0606
17138_TRT18	0.0909
17156_TRT8	0.1818
17191_TRT8	0.0909
17217_TRT8	0.0606
17226_TRT8	0.3939
17239_TRT10	0.2424
17254_TRT4	0.3333
17254_TRT7	0.3939
1728_TRT12	0.9091
1729_TRT4	0.3333
17307_TRT4	0.7576
17322_TRT8	0.3333
17359_TRT8	0.4545
17395_TRT4	0.5758
1740_TRT20	1.0
17433_TRT8	0.5152
17479_TRT8	0.3939
17511_TRT17	0.0606
17525_TRT10	0.3636
17570_TRT4	0.5455
17598_TRT4	0.4848
1759_TRT20	1.0
17606_TRT1	0.1212
1760_TRT10	0.9697
17617_TRT7	0.4545
17623_TRT8	0.0909
1763_TRT8	0.7273
17693_TRT8	0.3333
1771_TRT21	1.0
17731_TRT10	0.3939
17737_TRT4	0.4848
17761_TRT7	0.0909
17774_TRT4	0.0606
17782_TRT4	0.5758
17786_TRT8	0.5152
17854_TRT8	0.3333
17874_TRT8	0.2727
17876_TRT8	0.2727
17924_TRT8	0.2727
17941_TRT17	0.3636
17970_TRT7	0.1212
17971_TRT8	0.0
17987_TRT4	0.5758
18002_TRT5	0.7576
1800_TRT4	0.8485
1803_TRT14	0.3333
18053_TRT8	0.5152
18073_TRT4	0.3636
18087_TRT8	0.5152
1809_TRT15	0.0909
18121_TRT8	0.5152
18131_TRT8	0.3333
18149_TRT4	0.0606
1814_TRT15	0.0909
18158_TRT8	0.4848
1815_TRT7	0.2424
1821_TRT18	0.303
18241_TRT8	0.3939
1829_TRT10	0.9697
18355_TRT10	0.4848
1835_TRT15	0.5455
18371_TRT8	0.5152
18386_TRT8	0.0909
18388_TRT8	0.1818
18443_TRT4	0.1515
18502_TRT4	0.3333
18505_TRT8	0.3333
18540_TRT17	0.0
1854_TRT21	1.0
185_TRT12	0.4848
1866_TRT12	0.9091
18680_TRT4	0.3333
1868_TRT15	0.2727
18694_TRT10	0.5455
18703_TRT8	0.3939
18746_TRT17	0.5455
18794_TRT4	0.6061
187_TRT11	0.3333
18866_TRT8	0.5455
18888_TRT8	0.2424
18967_TRT17	0.0
19024_TRT4	0.2424
19035_TRT1	0.0606
19039_TRT8	0.3939
1907_TRT22	0.7879
19087_TRT4	0.2727
190_TRT18	0.303
19102_TRT4	0.3636
1912_TRT22	0.7879
19148_TRT4	0.4545
19190_TRT8	0.0606
191_TRT22	0.7879
19203_TRT8	0.3939
19213_TRT8	0.3333
19247_TRT4	0.0606
19263_TRT4	0.0606
1929_TRT14	0.4848
1936_TRT12	0.9091
1937_TRT10	0.697
1940_TRT4	0.8485
19423_TRT4	0.0606
19426_TRT8	0.0
19465_TRT8	0.3333
19498_TRT8	0.0909
19515_TRT8	0.1515
19527_TRT5	0.6061
19539_TRT8	0.3939
19568_TRT8	0.3333
19570_TRT4	0.0606
19596_TRT8	0.1515
1960_TRT15	0.0606
19619_TRT4	0.4545
19637_TRT4	0.0606
19648_TRT10	0.2424
19658_TRT17	0.0
19661_TRT10	0.3636
19664_TRT17	0.0
19699_TRT8	0.4545
19701_TRT10	0.3636
19710_TRT8	0.2424
19739_TRT8	0.5758
19791_TRT4	0.7879
19793_TRT8	0.3939
19796_TRT4	0.3636
19886_TRT10	0.3636
19922_TRT4	0.0606
1994_TRT14	0.0
19997_TRT8	0.0909
20047_TRT10	0.0606
20053_TRT15	0.9697
20073_TRT8	0.0606
20087_TRT15	0.697
20099_TRT15	0.8182
20100_TRT10	0.6061
20123_TRT15	0.9697
20195_TRT4	0.3636
20311_TRT10	0.0909
20313_TRT1	0.2121
20407_TRT15	0.9091
20417_TRT4	0.3333
20446_TRT15	0.9394
20483_TRT8	0.0606
20511_TRT8	0.1818
20524_TRT4	0.3636
20528_TRT10	0.3636
20546_TRT17	0.0606
20580_TRT8	0.0909
20592_TRT9	0.4242
2064_TRT22	0.7879
20652_TRT4	0.2121
20659_TRT8	0.3939
2067_TRT12	0.9697
20694_TRT9	0.6667
20749_TRT9	0.0303
20754_TRT4	0.3333
20772_TRT15	0.1818
2085_TRT15	0.3333
20889_TRT15	0.8182
20919_TRT9	0.6667
20935_TRT9	0.6667
20936_TRT8	0.3333
20940_TRT9	0.6364
20944_TRT9	0.6667
20983_TRT15	0.697
20990_TRT9	0.6667
20994_TRT4	0.0909
21034_TRT9	0.4242
21038_TRT10	0.2727
21052_TRT10	0.2727
2107_TRT4	0.0909
21086_TRT10	0.6061
21090_TRT15	0.697
21093_TRT8	0.3636
21101_TRT4	0.0606
21174_TRT10	0.1818
2118_TRT22	0.7879
21226_TRT17	0.1818
2122_TRT12	0.697
21241_TRT4	0.3636
21249_TRT3	0.8788
21252_TRT15	0.697
21277_TRT8	0.1818
21349_TRT10	0.2424
21356_TRT8	0.1818
21382_TRT10	0.2424
21395_TRT9	0.6667
21412_TRT8	0.5152
21431_TRT4	0.3333
21447_TRT8	0.3939
21458_TRT4	0.3636
2149_TRT12	0.9697
21540_TRT5	0.1818
21540_TRT8	0.0909
2159_TRT22	0.7879
21607_TRT10	0.7879
21610_TRT10	0.7879
21615_TRT10	0.7879
21656_TRT10	0.0606
21667_TRT10	0.2424
2166_TRT4	0.8485
21670_TRT15	0.697
21671_TRT4	0.3636
21708_TRT9	0.6667
21714_TRT9	0.6667
21721_TRT15	0.9697
21722_TRT15	0.697
21768_TRT8	0.2424
21771_TRT10	0.2424
21797_TRT8	0.0303
2183_TRT22	0.7879
21864_TRT1	0.8788
21889_TRT15	0.303
21912_TRT4	0.4545
22014_TRT4	0.6061
22022_TRT15	0.1212
22030_TRT4	0.3636
22033_TRT1	0.2424
22059_TRT15	0.9697
22060_TRT9	0.6667
22141_TRT15	0.9697
22160_TRT15	0.697
22186_TRT4	0.0606
22193_TRT9	0.4242
221_TRT7	0.1212
22206_TRT15	0.1212
22206_TRT4	0.4848
22307_TRT15	0.8182
22399_TRT15	0.697
22413_TRT15	0.697
22451_TRT4	0.3333
22463_TRT4	0.3333
2247_TRT7	0.303
22510_TRT15	0.697
22519_TRT15	0.303
22526_TRT9	0.8485
22604_TRT15	0.8182
22647_TRT4	0.3636
2264_TRT12	0.3333
22660_TRT4	0.2424
22677_TRT9	0.6364
22705_TRT9	0.6667
2273_TRT22	0.7879
22758_TRT15	0.9697
22831_TRT1	0.0606
22831_TRT15	0.697
22848_TRT2	0.2424
22852_TRT15	0.697
22864_TRT4	0.0606
22884_TRT9	0.4242
22905_TRT15	0.9697
2291_TRT14	0.3939
22927_TRT15	0.697
22986_TRT9	0.6667
23038_TRT4	0.2727
23052_TRT15	0.697
23090_TRT15	0.9091
23100_TRT4	0.0606
2310_TRT22	0.7879
23118_TRT4	0.0
23128_TRT9	0.6364
23141_TRT4	0.7879
23178_TRT15	0.1818
23178_TRT9	0.8182
2317_TRT7	0.303
23203_TRT4	0.4545
23220_TRT15	0.697
2332_TRT10	0.697
23341_TRT15	0.697
23387_TRT9	0.4242
23412_TRT9	0.8182
23440_TRT15	0.9697
23448_TRT4	0.4545
23480_TRT15	0.697
23514_TRT4	0.4545
23551_TRT15	0.697
23566_TRT9	0.6364
23576_TRT9	0.6364
23589_TRT15	0.8182
23591_TRT15	0.9697
23606_TRT9	0.4242
23624_TRT9	0.6364
23663_TRT15	0.697
23684_TRT15	0.9697
23700_TRT15	0.697
2387_TRT14	0.1515
24074_TRT9	0.4242
24081_TRT15	0.9091
24162_TRT15	0.303
24195_TRT15	0.9394
2428_TRT7	0.7879
24320_TRT9	0.4242
24337_TRT2	0.3636
24343_TRT9	0.4242
2439_TRT12	0.697
24478_TRT15	0.4848
24501_TRT9	0.4242
2452_TRT10	0.9091
24633_TRT2	0.7576
24721_TRT9	0.4242
24786_TRT15	0.697
2483_TRT4	0.8485
