case:concept:name	CLUS_KME	CLUS_AGG	CLUS_ACT
10192_TRT13	0.1316	0.2353	0.25
10194_TRT13	0.0263	0.1765	0.0
10196_TRT13	0.1316	0.0	0.0
1019_TRT11	0.1316	0.0	0.25
1019_TRT12	0.7105	0.8824	0.8333
1019_TRT20	0.8684	0.5882	0.3333
1019_TRT21	0.5263	0.8235	0.9167
1019_TRT22	0.1316	0.7059	0.9167
101_TRT3	0.7105	0.5882	0.25
10206_TRT13	0.1316	0.0	0.0
1020_TRT11	0.1316	0.2941	0.3333
1020_TRT12	0.8421	0.8824	0.25
1020_TRT15	0.1316	0.0588	0.1667
1020_TRT18	0.6316	0.2353	0.25
1020_TRT21	0.5263	0.8235	0.9167
10215_TRT13	0.0	0.0	0.25
10216_TRT13	0.3684	0.3529	0.1667
10217_TRT13	0.7105	0.3529	0.1667
10219_TRT13	0.0263	0.0588	0.1667
1021_TRT11	0.1316	0.0	0.0
1021_TRT15	0.1579	0.0	0.9167
1021_TRT20	0.8684	0.5882	0.25
1021_TRT7	0.6316	0.7059	0.25
10229_TRT13	0.3684	0.5882	0.1667
1022_TRT15	0.0	0.0588	0.0833
1022_TRT20	0.8684	0.5882	0.9167
10230_TRT13	0.1316	0.1765	0.0
10231_TRT13	0.7105	0.5882	0.1667
10233_TRT13	0.2368	0.1765	0.1667
10234_TRT13	0.4211	0.1765	0.0833
10236_TRT13	0.7105	0.3529	0.1667
1023_TRT11	0.3421	0.5882	0.0833
1023_TRT20	0.7105	0.5882	0.9167
1023_TRT21	0.5263	0.8235	0.9167
1023_TRT4	0.4211	0.5882	0.75
10242_TRT13	0.1842	0.3529	0.0
1024_TRT15	0.4211	0.0588	0.1667
1024_TRT21	0.5263	0.8235	0.9167
1024_TRT7	0.1053	0.1176	0.9167
10259_TRT13	0.1316	0.0	0.0
1025_TRT11	0.7105	0.5882	0.4167
1025_TRT12	0.8421	0.8824	0.4167
1025_TRT14	0.1316	0.2941	0.3333
10261_TRT13	0.1842	0.1765	0.25
10268_TRT13	0.2368	0.3529	0.4167
1026_TRT12	1.0	0.6471	0.25
1026_TRT15	0.0	0.1765	0.0833
1026_TRT21	0.1316	0.7059	0.9167
1026_TRT22	0.1316	0.7059	0.9167
1026_TRT8	0.8158	0.7059	0.9167
10276_TRT13	0.0	0.0	0.25
1027_TRT15	0.0	0.0	0.0833
1027_TRT18	0.1053	0.2353	0.9167
1027_TRT21	0.7105	0.5882	0.0
1027_TRT22	0.1316	0.1176	0.6667
1027_TRT8	0.6316	0.7059	0.25
1028_TRT15	0.1316	0.2941	0.1667
1028_TRT20	0.7105	0.5882	0.4167
1028_TRT4	0.7895	0.7647	0.1667
1028_TRT8	0.7105	0.5882	0.6667
1029_TRT11	0.7105	0.5882	0.8333
1029_TRT20	0.6316	0.5882	0.25
1029_TRT21	0.7105	0.8235	0.0833
1029_TRT22	0.1316	0.7059	0.9167
1029_TRT8	0.8158	0.7059	0.25
102_TRT20	0.8684	0.5882	0.4167
1030_TRT12	1.0	0.8824	0.4167
1030_TRT14	0.7105	0.4706	0.3333
1030_TRT15	0.1316	0.0588	0.5
1030_TRT18	0.1053	0.1176	1.0
