id	inner_similarity	trees_similarity	ARI	eps
18	1.538	0.201266330919148	0.682448951827898	7
34	1.505	0.24142621313348	0.48416347590901	7
78	1.495	0.239665070229767	0.732650078533997	7
17	1.483	0.229685339591588	0.605099749719667	7
69	1.471	0.22204112439723	0.65458543850126	7
26	1.467	0.176229700561021	0.72306695529651	7
6	1.387	0.311490481989959	0.623217162207935	7
25	1.38	0.198549975141449	0.752732093040305	7
55	1.376	0.21484808040139	0.689212727270139	7
37	1.363	0.183328116484749	0.559476891655632	7
8	1.356	0.169873788702364	0.639009206303399	6
4	1.349	0.305833985698952	0.538574945385438	7
62	1.344	0.118915826685392	0.793885921685503	7
60	1.3	0.226747930959971	0.59131704424898	7
77	1.291	0.207201302793804	0.76123401729421	7
49	1.285	0.28859088571525	0.787707455912614	7
39	1.272	0.208190484738177	0.417173463073213	7
86	1.265	0.135567177045992	0.718333978564378	7
42	1.257	0.209457735596897	0.492783082070351	7
36	1.255	0.223862970878581	0.685667069092048	6
52	1.249	0.191843934149893	0.682201811440739	7
20	1.245	0.250054491114855	0.420672742741797	7
35	1.241	0.262025411373658	0.713192549306516	7
47	1.234	0.252984412070558	0.525204602691101	7
14	1.231	0.268328815394464	0.259046674023193	7
32	1.231	0.139703763736513	0.787563462426048	7
63	1.227	0.221086222702837	0.334973412424216	7
82	1.218	0.322030476607093	0.667045237264799	7
85	1.218	0.302524668388962	0.624687456006841	7
64	1.2	0.267844692712393	0.613118813865236	7
27	1.193	0.125497113618188	0.559534056460428	7
54	1.181	0.292731709136831	0.324495546237184	7
2	1.181	0.229378072075074	0.480557168817753	7
65	1.178	0.251946551458068	0.686136995113061	7
75	1.177	0.256477125543302	0.639365932200223	7
15	1.173	0.204542881933553	0.787563462426048	7
43	1.165	0.102153966580499	0.788039546917605	6
19	1.163	0.185571903498928	0.729616225791454	7
67	1.162	0.281848080081823	0.659867655157198	7
73	1.159	0.215400953177528	0.792560116249101	7
5	1.158	0.216859660862735	0.562516422805331	7
1	1.15	0.144750286189747	0.551039559346996	7
31	1.141	0.211993806209814	0.623163249138803	7
59	1.132	0.208928819232664	0.713411086155005	7
21	1.125	0.202257619356353	0.596724150737491	7
16	1.098	0.169103708325084	0.659238575398609	7
3	1.094	0.114234151682556	0.719375104415687	7
72	1.093	0.10648138942783	0.778185720662043	7
76	1.086	0.217892033940874	0.626332191360044	7
23	1.085	0.239666382228882	0.6392987021947	7
11	1.084	0.213833851528588	0.765174904209279	5
30	1.082	0.300485338329987	0.645179503527848	7
10	1.081	0.132394593338207	0.592421331810019	7
66	1.069	0.160970539970382	0.628225399313303	7
50	1.068	0.11297733611486	0.791147219151096	6
83	1.06	0.300912584997043	0.495659348357402	7
13	1.057	0.132994191865562	0.458482516505188	7
81	1.054	0.11030945512669	0.560610366300335	7
38	1.053	0.122120690043387	0.746803551769244	6
45	1.048	0.234987244064743	0.685870727022362	7
28	1.043	0.126062975344807	0.701017839808138	5
46	1.037	0.106635341836599	0.767810373630439	7
33	1.03	0.142635410634414	0.743249570319571	7
71	1.027	0.180892962945906	0.706515901523247	7
29	1.025	0.263269132559349	0.594787106373029	6
7	1.025	0.216363438946121	0.451411855011568	7
56	1.012	0.115207038725639	0.532388346556876	7
61	1.001	0.196691577142092	0.564125156389897	7
41	1	0.315038124583171	0.411300611899492	7
53	0.974	0.189229774086739	0.65911243977463	7
51	0.957	0.184582211940365	0.418139701664185	7
40	0.953	0.178221075255077	0.628436465917014	7
44	0.945	0.168265922944874	0.708572710063387	7
80	0.941	0.181546815439462	0.672297902262831	7
70	0.932	0.199909115731948	0.458196293135026	7
12	0.92	0.1962584457368	0.692054192603442	7
58	0.915	0.110566033627623	0.786977601325863	7
79	0.911	0.162548548073036	0.772679115415206	7
68	0.886	0.167531683630099	0.635989617360903	7
57	0.879	0.111657604761565	0.626726896583786	7
74	0.875	0.153896873503268	0.793410275133569	6
48	0.866	0.147782844338642	0.476863644675349	7
9	0.847	0.108078380982419	0.599610124483875	7
24	0.835	0.115249622985167	0.642535969898249	7
22	0.795	0.141172016281217	0.467017530904807	6
84	0.771	0.149672516462235	0.535487852571433	7
