	exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI	eps	balance
386	1	2	1	0.7	1.295	0.1831	0.9902	5	0.18130562
1219	5	0	1	0.3	1.239	0.3066	0.5902	5	0.18095532
218	0	3	2	0.5	1.329	0.2021	0.8949	5	0.18085929
801	3	1	1	0.5	1.218	0.1956	0.9244	5	0.18081264
1323	5	2	0	0.3	1.221	0.1826	0.9895	5	0.1806827
607	2	2	0	0.5	1.401	0.1801	1	4	0.1801
799	3	1	1	0.3	1.193	0.1952	0.9209	5	0.17975968
776	3	0	3	0.7	1.698	0.1811	0.992	5	0.1796512
580	2	1	2	0.7	1.161	0.2074	0.8648	5	0.17935952
396	1	2	2	0.5	1.002	0.2232	0.8033	5	0.17929656
900	3	3	0	0.3	2.444	0.179	1	5	0.179
1026	4	1	0	0.5	1.651	0.1786	1	4	0.1786
843	3	2	0	0.3	1.316	0.1926	0.9267	5	0.17848242
1383	5	3	0	0.3	1.26	0.1854	0.9608	5	0.17813232
602	2	2	0	0.3	1.34	0.1781	1	4	0.1781
105	0	1	3	0.3	1.486	0.2324	0.7662	5	0.17806488
1043	4	1	1	0.5	1.145	0.1945	0.9152	5	0.1780064
770	3	0	3	0.5	1.442	0.1836	0.9686	5	0.17783496
967	4	0	0	0.5	0.942	0.2032	0.875	5	0.1778
202	0	3	1	0.5	1.862	0.1777	1	4	0.1777
856	3	2	1	0.3	1.136	0.2496	0.7117	5	0.17764032
647	2	2	3	0.3	1.268	0.2838	0.6259	5	0.17763042
846	3	2	0	0.5	1.55	0.1794	0.9891	4	0.17744454
868	3	2	1	0.7	1.065	0.1774	1	5	0.1774
540	2	1	0	0.3	1.59	0.2003	0.8854	5	0.17734562
1180	4	3	2	0.7	1.605	0.2651	0.6679	5	0.17706029
241	1	0	0	0.3	1.296	0.1951	0.9071	5	0.17697521
543	2	1	0	0.3	1.63	0.2343	0.7553	5	0.17696679
45	0	0	3	0.3	2.378	0.1765	1	4	0.1765
1040	4	1	1	0.5	1.179	0.1782	0.989	5	0.1762398
482	2	0	0	0.3	2.176	0.1821	0.967	4	0.1760907
547	2	1	0	0.5	1.492	0.2456	0.7164	5	0.17594784
746	3	0	1	0.7	1.591	0.1986	0.8858	5	0.17591988
1325	5	2	0	0.5	1.229	0.1813	0.9678	5	0.17546214
971	4	0	0	0.7	1.014	0.1901	0.9216	5	0.17519616
1356	5	2	2	0.5	0.884	0.1751	1	4	0.1751
814	3	1	2	0.3	1.191	0.1921	0.911	4	0.1750031
525	2	0	3	0.3	1.675	0.1749	1	4	0.1749
923	3	3	1	0.5	1.102	0.2927	0.597	5	0.1747419
111	0	1	3	0.5	1.538	0.1843	0.9463	5	0.17440309
1388	5	3	0	0.5	1.519	0.1918	0.9047	5	0.17352146
1381	5	3	0	0.3	1.354	0.1831	0.9473	5	0.17345063
1342	5	2	1	0.5	2.256	0.1733	1	4	0.1733
85	0	1	1	0.7	1.463	0.1958	0.885	5	0.173283
1023	4	1	0	0.3	1.98	0.1731	1	4	0.1731
455	1	3	2	0.5	4.126	0.1727	1	4	0.1727
899	3	2	3	0.7	1.98	0.1725	1	4	0.1725
1296	5	1	2	0.5	1.169	0.2182	0.7896	5	0.17229072
945	3	3	3	0.3	1.577	0.2098	0.821	5	0.1722458
1426	5	3	3	0.3	0.984	0.1991	0.8631	5	0.17184321
794	3	1	0	0.7	1.088	0.1928	0.8898	5	0.17155344
638	2	2	2	0.5	1.814	0.2071	0.8283	5	0.17154093
1291	5	1	2	0.3	1.249	0.217	0.7868	5	0.1707356
832	3	1	3	0.5	1.015	0.18	0.9483	4	0.170694
941	3	3	2	0.7	0.97	0.2588	0.6583	5	0.17036804
750	3	0	2	0.3	1.805	0.174	0.9788	5	0.1703112
938	3	3	2	0.5	1.005	0.2763	0.6148	5	0.16986924
1029	4	1	0	0.5	1.249	0.1717	0.9891	4	0.16982847
1336	5	2	1	0.3	2.278	0.1752	0.9679	4	0.16957608
1225	5	0	1	0.7	1.52	0.251	0.6753	5	0.1695003
496	2	0	1	0.3	1.718	0.1811	0.9358	4	0.16947338
344	1	1	2	0.7	1.44	0.1824	0.9277	5	0.16921248
1078	4	1	3	0.7	1.935	0.1742	0.9707	5	0.16909594
1368	5	2	3	0.3	1.316	0.1722	0.9818	5	0.16906596
947	3	3	3	0.3	1.388	0.2637	0.6399	5	0.16874163
225	0	3	3	0.3	1.431	0.1823	0.9255	5	0.16871865
839	3	1	3	0.7	1.223	0.1959	0.8566	5	0.16780794
700	2	3	2	0.7	1.906	0.1808	0.9251	5	0.16725808
714	2	3	3	0.5	1.541	0.1727	0.9684	5	0.16724268
537	2	0	3	0.7	1.394	0.1778	0.9406	5	0.16723868
874	3	2	2	0.3	1.265	0.2047	0.8163	5	0.16709661
89	0	1	1	0.7	1.347	0.1972	0.8461	5	0.16685092
586	2	1	3	0.3	1.171	0.1668	1	5	0.1668
1186	4	3	3	0.3	0.961	0.1976	0.844	5	0.1667744
204	0	3	1	0.5	1.148	0.1994	0.8361	5	0.16671834
1030	4	1	0	0.7	1.307	0.1667	1	5	0.1667
1229	5	0	1	0.7	1.375	0.2884	0.5779	5	0.16666636
255	1	0	1	0.3	1.275	0.1853	0.8992	5	0.16662176
1117	4	2	2	0.5	1.295	0.2626	0.6343	5	0.16656718
1069	4	1	3	0.3	1.61	0.1665	1	5	0.1665
1045	4	1	1	0.7	1.045	0.1702	0.978	5	0.1664556
975	4	0	1	0.3	1.058	0.1872	0.8888	5	0.16638336
101	0	1	2	0.7	1.66	0.2144	0.7755	5	0.1662672
819	3	1	2	0.5	1.246	0.169	0.9838	5	0.1662622
1352	5	2	2	0.3	1.326	0.1673	0.9908	5	0.16576084
197	0	3	1	0.3	1.212	0.2204	0.752	5	0.1657408
355	1	1	3	0.7	0.982	0.223	0.7406	5	0.1651538
756	3	0	2	0.5	1.406	0.1878	0.8793	4	0.16513254
1306	5	1	3	0.3	0.968	0.1947	0.8466	5	0.16483302
719	2	3	3	0.7	1.299	0.1974	0.8345	5	0.1647303
642	2	2	2	0.7	1.479	0.2753	0.5971	5	0.16438163
646	2	2	3	0.3	1.432	0.233	0.7052	5	0.1643116
276	1	0	2	0.5	1.161	0.1751	0.9365	5	0.16398115
147	0	2	1	0.7	0.945	0.1996	0.819	4	0.1634724
1341	5	2	1	0.5	1.989	0.1727	0.9459	5	0.16335693
1295	5	1	2	0.5	1.346	0.2045	0.7979	5	0.16317055
979	4	0	1	0.3	0.969	0.1855	0.8794	5	0.1631287
391	1	2	2	0.3	1.036	0.1912	0.8517	5	0.16284504
504	2	0	1	0.5	1.957	0.1628	1	4	0.1628
546	2	1	0	0.5	1.662	0.2077	0.7836	5	0.16275372
481	2	0	0	0.3	2.176	0.1683	0.967	4	0.1627461
246	1	0	0	0.5	1.394	0.1645	0.989	5	0.1626905
370	1	2	0	0.7	1.218	0.175	0.929	5	0.162575
366	1	2	0	0.5	1.029	0.1686	0.9639	5	0.16251354
925	3	3	1	0.7	1.26	0.2953	0.5502	5	0.16247406
189	0	3	0	0.5	1.187	0.1623	1	5	0.1623
92	0	1	2	0.3	1.436	0.1874	0.8659	5	0.16226966
1089	4	2	0	0.5	1.286	0.2087	0.7775	5	0.16226425
1153	4	3	0	0.7	1.28	0.3233	0.5017	5	0.16219961
949	3	3	3	0.3	1.332	0.2564	0.6326	5	0.16219864
1301	5	1	2	0.7	1.298	0.1638	0.989	5	0.1619982
1252	5	0	3	0.5	1.181	0.1749	0.9262	5	0.16199238
1416	5	3	2	0.5	1.954	0.1687	0.9599	5	0.16193513
183	0	3	0	0.3	1.11	0.1616	1	5	0.1616
95	0	1	2	0.5	1.609	0.1846	0.875	5	0.161525
217	0	3	2	0.5	1.414	0.1803	0.8953	5	0.16142259
1127	4	2	3	0.3	1.236	0.2518	0.6408	5	0.16135344
1393	5	3	0	0.7	1.429	0.2421	0.666	5	0.1612386
641	2	2	2	0.7	1.369	0.2875	0.5608	5	0.16123
174	0	2	3	0.5	1.054	0.1967	0.8195	5	0.16119565
957	3	3	3	0.7	0.855	0.1773	0.9083	5	0.16104159
942	3	3	2	0.7	1.026	0.1965	0.8195	5	0.16103175
1353	5	2	2	0.3	1.232	0.1626	0.9903	5	0.16102278
568	2	1	1	0.7	1.712	0.1646	0.9782	5	0.16101172
935	3	3	2	0.5	1.035	0.2699	0.5959	5	0.16083341
207	0	3	1	0.7	0.995	0.2303	0.6969	5	0.16049607
789	3	1	0	0.5	0.845	0.1678	0.9561	4	0.16043358
797	3	1	1	0.3	1	0.1774	0.9041	5	0.16038734
1073	4	1	3	0.5	1.578	0.202	0.7925	5	0.160085
896	3	2	3	0.7	2.163	0.1646	0.9715	4	0.1599089
757	3	0	2	0.5	1.368	0.1789	0.8931	4	0.15977559
1375	5	2	3	0.7	1.18	0.1608	0.9903	5	0.15924024
852	3	2	0	0.7	1.542	0.1642	0.9677	5	0.15889634
334	1	1	2	0.3	1.263	0.1606	0.9892	5	0.15886552
1228	5	0	1	0.7	1.49	0.2666	0.5955	5	0.1587603
55	0	0	3	0.7	1.875	0.1585	1	5	0.1585
138	0	2	1	0.3	1.066	0.2203	0.7177	5	0.15810931
679	2	3	1	0.3	1.392	0.1887	0.8371	5	0.15796077
457	1	3	2	0.5	3.052	0.1578	1	5	0.1578
552	2	1	0	0.7	1.596	0.1578	1	5	0.1578
1330	5	2	0	0.7	1.447	0.1631	0.9675	5	0.15779925
469	1	3	3	0.3	1.426	0.1577	1	5	0.1577
699	2	3	2	0.5	1.074	0.2062	0.764	5	0.1575368
1437	5	3	3	0.7	1.45	0.1901	0.8282	5	0.15744082
1020	4	1	0	0.3	1.282	0.1713	0.9161	5	0.15692793
1068	4	1	3	0.3	1.745	0.1604	0.978	5	0.1568712
891	3	2	3	0.5	1.416	0.2223	0.7053	5	0.15678819
1372	5	2	3	0.5	1.039	0.174	0.9005	5	0.156687
337	1	1	2	0.5	1.319	0.1711	0.9149	4	0.15653939
1376	5	2	3	0.7	1.159	0.1597	0.9795	4	0.15642615
1333	5	2	0	0.7	1.683	0.1686	0.9264	5	0.15619104
64	0	1	0	0.3	1.713	0.1857	0.84	5	0.155988
1303	5	1	2	0.7	1.055	0.1612	0.9673	5	0.15592876
359	1	1	3	0.7	1.281	0.1883	0.8278	5	0.15587474
257	1	0	1	0.3	1.113	0.1557	1	5	0.1557
437	1	3	1	0.3	1.069	0.176	0.8839	5	0.1555664
66	0	1	0	0.5	1.654	0.1858	0.8371	5	0.15553318
152	0	2	2	0.3	1.219	0.2003	0.7765	5	0.15553295
67	0	1	0	0.5	1.704	0.1861	0.8353	5	0.15544933
637	2	2	2	0.5	1.243	0.2252	0.6894	5	0.15525288
1282	5	1	1	0.5	0.964	0.1917	0.8094	5	0.15516198
1435	5	3	3	0.7	1.656	0.1977	0.784	5	0.1549968
489	2	0	0	0.5	1.694	0.1646	0.9409	4	0.15487214
984	4	0	1	0.5	1.086	0.1755	0.8809	5	0.15459795
250	1	0	0	0.7	1.343	0.167	0.9253	5	0.1545251
244	1	0	0	0.3	1.383	0.1614	0.9574	5	0.15452436
238	0	3	3	0.7	1.573	0.1693	0.91	5	0.154063
1112	4	2	2	0.3	1.313	0.2669	0.5769	5	0.15397461
1184	4	3	2	0.7	0.821	0.1839	0.8369	5	0.15390591
924	3	3	1	0.5	1.199	0.268	0.5737	5	0.1537516
950	3	3	3	0.5	1.229	0.2745	0.5601	5	0.15374745
539	2	0	3	0.7	1.388	0.1647	0.9335	5	0.15374745
60	0	1	0	0.3	1.654	0.1886	0.8132	5	0.15336952
855	3	2	1	0.3	1.546	0.155	0.9894	5	0.153357
1119	4	2	2	0.5	0.961	0.2217	0.691	5	0.1531947
281	1	0	2	0.7	1.189	0.1653	0.9261	5	0.15308433
1135	4	2	3	0.7	1.148	0.2691	0.5687	5	0.15303717
1015	4	0	3	0.7	0.953	0.17	0.8984	4	0.152728
324	1	1	1	0.5	1.217	0.156	0.9788	5	0.1526928
614	2	2	0	0.7	1.147	0.2839	0.5373	5	0.15253947
1099	4	2	1	0.3	1.5	0.1525	1	4	0.1525
1249	5	0	3	0.3	1.331	0.187	0.8144	5	0.1522928
400	1	2	2	0.7	1.075	0.1936	0.785	5	0.151976
853	3	2	0	0.7	1.436	0.1586	0.9575	5	0.1518595
556	2	1	1	0.3	1.554	0.1548	0.9798	4	0.15167304
931	3	3	2	0.3	0.989	0.2856	0.5308	5	0.15159648
914	3	3	0	0.7	1.255	0.2593	0.5817	5	0.15083481
912	3	3	0	0.7	1.168	0.2534	0.5952	5	0.15082368
1415	5	3	2	0.5	1.589	0.1701	0.8866	5	0.15081066
1097	4	2	1	0.3	1.67	0.1508	1	4	0.1508
802	3	1	1	0.5	1.163	0.1591	0.9477	5	0.15077907
1355	5	2	2	0.5	0.884	0.1532	0.9816	4	0.15038112
451	1	3	2	0.3	1.368	0.1503	1	4	0.1503
1294	5	1	2	0.3	1.119	0.1641	0.9151	5	0.15016791
1091	4	2	0	0.7	1.299	0.1889	0.7938	5	0.14994882
1281	5	1	1	0.5	0.874	0.1647	0.9104	5	0.14994288
1133	4	2	3	0.5	1.158	0.1822	0.8226	5	0.14987772
665	2	3	0	0.5	1.497	0.1528	0.9803	5	0.14978984
314	1	1	0	0.7	1.129	0.1985	0.7536	5	0.1495896
1331	5	2	0	0.7	1.445	0.1624	0.9201	5	0.14942424
1292	5	1	2	0.3	1.268	0.1901	0.7844	5	0.14911444
644	2	2	2	0.7	1.647	0.3283	0.4538	5	0.14898254
1390	5	3	0	0.7	1.403	0.1557	0.9567	5	0.14895819
544	2	1	0	0.3	1.4	0.2072	0.7187	5	0.14891464
1166	4	3	1	0.7	1.08	0.1694	0.8785	5	0.1488179
964	4	0	0	0.3	1.139	0.1567	0.9496	5	0.14880232
348	1	1	3	0.3	1.205	0.1746	0.8519	5	0.14874174
1238	5	0	2	0.5	1.229	0.2084	0.7124	5	0.14846416
907	3	3	0	0.5	2.188	0.1481	1	4	0.1481
595	2	1	3	0.7	1.089	0.1704	0.8677	4	0.14785608
545	2	1	0	0.5	1.62	0.1945	0.7579	5	0.14741155
892	3	2	3	0.5	1.581	0.1721	0.8564	5	0.14738644
184	0	3	0	0.3	1.256	0.1482	0.9924	5	0.14707368
980	4	0	1	0.5	1.091	0.1812	0.8116	5	0.14706192
774	3	0	3	0.5	1.791	0.1525	0.964	5	0.14701
1115	4	2	2	0.5	1.42	0.2041	0.7193	5	0.14680913
480	2	0	0	0.3	2.168	0.1515	0.9666	4	0.1464399
149	0	2	1	0.7	1.014	0.2473	0.5918	5	0.14635214
401	1	2	2	0.7	0.889	0.2154	0.6791	5	0.14627814
758	3	0	2	0.5	1.319	0.166	0.8806	5	0.1461796
948	3	3	3	0.3	1.253	0.2961	0.4931	5	0.14600691
1189	4	3	3	0.3	1.26	0.2355	0.6198	5	0.1459629
928	3	3	1	0.7	1.071	0.303	0.4806	5	0.1456218
506	2	0	1	0.7	1.997	0.1455	1	5	0.1455
834	3	1	3	0.5	1.147	0.1506	0.9659	5	0.14546454
360	1	2	0	0.3	1.15	0.1561	0.9306	5	0.14526666
1318	5	1	3	0.7	1.055	0.148	0.981	5	0.145188
58	0	0	3	0.7	1.305	0.2239	0.6484	5	0.14517676
752	3	0	2	0.3	1.844	0.1448	1	5	0.1448
566	2	1	1	0.7	1.512	0.1447	1	4	0.1447
751	3	0	2	0.3	1.714	0.1478	0.9786	5	0.14463708
1175	4	3	2	0.5	0.856	0.2557	0.5644	5	0.14431708
473	1	3	3	0.5	1.403	0.144	1	5	0.144
961	4	0	0	0.3	0.903	0.1622	0.8858	5	0.14367676
80	0	1	1	0.5	1.295	0.1495	0.958	5	0.143221
867	3	2	1	0.7	0.939	0.1447	0.9892	5	0.14313724
186	0	3	0	0.5	1.636	0.1431	1	5	0.1431
84	0	1	1	0.5	1.803	0.146	0.9781	5	0.1428026
1350	5	2	2	0.3	1.347	0.1519	0.9392	5	0.14266448
196	0	3	1	0.3	0.936	0.1913	0.7455	5	0.14261415
486	2	0	0	0.5	1.745	0.1532	0.9303	4	0.14252196
683	2	3	1	0.5	2.467	0.1425	1	5	0.1425
1365	5	2	3	0.3	1.064	0.2294	0.621	5	0.1424574
215	0	3	2	0.5	1.16	0.1927	0.739	5	0.1424053
643	2	2	2	0.7	1.554	0.3157	0.4504	5	0.14219128
958	3	3	3	0.7	1.066	0.1549	0.9173	5	0.14208977
173	0	2	3	0.5	1.02	0.169	0.835	5	0.141115
477	1	3	3	0.7	2.192	0.1478	0.9525	4	0.1407795
576	2	1	2	0.5	1.454	0.1438	0.9786	4	0.14072268
844	3	2	0	0.3	1.315	0.153	0.9196	5	0.1406988
443	1	3	1	0.5	1.957	0.1405	1	4	0.1405
190	0	3	0	0.7	1.006	0.1402	1	5	0.1402
1007	4	0	3	0.3	1.042	0.1648	0.8502	5	0.14011296
932	3	3	2	0.3	1.01	0.2441	0.5738	5	0.14006458
1430	5	3	3	0.5	1.169	0.1744	0.7992	5	0.13938048
1309	5	1	3	0.3	1.102	0.1818	0.7664	5	0.13933152
317	1	1	1	0.3	1.467	0.142	0.9807	5	0.1392594
318	1	1	1	0.3	1.343	0.1515	0.9192	5	0.1392588
181	0	3	0	0.3	1.015	0.1392	1	5	0.1392
65	0	1	0	0.5	1.646	0.166	0.8379	5	0.1390914
1000	4	0	2	0.7	1.076	0.1565	0.8887	5	0.13908155
1218	5	0	1	0.3	1.119	0.2624	0.53	5	0.139072
398	1	2	2	0.5	0.892	0.1473	0.9438	5	0.13902174
99	0	1	2	0.5	1.067	0.2616	0.5306	5	0.13880496
1233	5	0	2	0.3	1.305	0.2168	0.64	5	0.138752
417	1	2	3	0.7	1.736	0.1528	0.9071	5	0.13860488
464	1	3	2	0.7	1.219	0.1542	0.8986	5	0.13856412
374	1	2	0	0.7	1.369	0.1511	0.9164	5	0.13846804
533	2	0	3	0.5	1.563	0.1476	0.9381	5	0.13846356
608	2	2	0	0.5	0.959	0.1589	0.8685	5	0.13800465
1227	5	0	1	0.7	1.385	0.225	0.6118	5	0.137655
849	3	2	0	0.5	1.052	0.1421	0.9677	5	0.13751017
412	1	2	3	0.5	1.627	0.1709	0.8036	5	0.13733524
328	1	1	1	0.7	1.819	0.1423	0.9651	5	0.13733373
732	3	0	0	0.7	1.362	0.1429	0.9596	5	0.13712684
1322	5	2	0	0.3	1.159	0.1385	0.9896	5	0.1370596
90	0	1	2	0.3	1.4	0.1718	0.7964	5	0.13682152
1182	4	3	2	0.7	0.849	0.1934	0.7072	5	0.13677248
817	3	1	2	0.5	1.195	0.1444	0.9471	4	0.13676124
1155	4	3	1	0.3	1.226	0.2858	0.4784	5	0.13672672
1209	5	0	0	0.5	1.027	0.2549	0.5356	5	0.13652444
188	0	3	0	0.5	1.394	0.1389	0.9814	5	0.13631646
1237	5	0	2	0.5	1.144	0.2262	0.6021	5	0.13619502
1118	4	2	2	0.5	1.165	0.1561	0.8722	5	0.13615042
256	1	0	1	0.3	1.071	0.1376	0.9893	5	0.13612768
577	2	1	2	0.5	1.262	0.1491	0.9127	4	0.13608357
248	1	0	0	0.5	1.282	0.1497	0.9073	5	0.13582281
503	2	0	1	0.5	1.967	0.1357	1	4	0.1357
1022	4	1	0	0.3	1.595	0.1354	1	4	0.1354
680	2	3	1	0.5	1.767	0.1683	0.8038	5	0.13527954
992	4	0	2	0.3	1.065	0.1468	0.9209	4	0.13518812
760	3	0	2	0.7	1.33	0.1518	0.8903	4	0.13514754
439	1	3	1	0.3	1.282	0.1555	0.8685	5	0.13505175
346	1	1	3	0.3	1.293	0.145	0.9301	5	0.1348645
277	1	0	2	0.5	1.021	0.1432	0.9414	5	0.13480848
1379	5	2	3	0.7	1.246	0.1497	0.9001	5	0.13474497
778	3	0	3	0.7	1.394	0.1347	1	5	0.1347
1320	5	2	0	0.3	1.216	0.1375	0.9781	5	0.13448875
380	1	2	1	0.5	1.841	0.1389	0.9676	5	0.13439964
172	0	2	3	0.5	1.783	0.1436	0.9355	5	0.1343378
940	3	3	2	0.7	0.977	0.2312	0.5805	5	0.1342116
893	3	2	3	0.5	1.593	0.1813	0.7402	5	0.13419826
347	1	1	3	0.3	1.032	0.1562	0.8578	5	0.13398836
933	3	3	2	0.3	0.981	0.1697	0.7895	5	0.13397815
247	1	0	0	0.5	1.221	0.1478	0.9061	5	0.13392158
68	0	1	0	0.5	1.621	0.1625	0.8231	5	0.13375375
162	0	2	2	0.7	2.041	0.1323	1	5	0.1323
831	3	1	3	0.5	1.089	0.1394	0.9484	5	0.13220696
263	1	0	1	0.5	1.17	0.1348	0.9781	5	0.13184788
605	2	2	0	0.5	1.308	0.1318	1	4	0.1318
1124	4	2	2	0.7	1.137	0.2089	0.6306	5	0.13173234
627	2	2	1	0.7	1.21	0.2922	0.4508	5	0.13172376
1217	5	0	1	0.3	1.178	0.2658	0.4953	5	0.13165074
922	3	3	1	0.5	1.079	0.2195	0.5992	5	0.1315244
585	2	1	3	0.3	1.146	0.1314	1	5	0.1314
491	2	0	0	0.7	1.73	0.1401	0.935	4	0.1309935
1010	4	0	3	0.5	1.152	0.1309	1	5	0.1309
1310	5	1	3	0.5	1.139	0.1743	0.7501	5	0.13074243
319	1	1	1	0.3	1.502	0.1332	0.9801	5	0.13054932
939	3	3	2	0.5	0.978	0.2209	0.5902	5	0.13037518
286	1	0	3	0.3	1.203	0.135	0.9657	5	0.1303695
854	3	2	0	0.7	1.491	0.1344	0.9681	5	0.13011264
910	3	3	0	0.7	1.481	0.142	0.9149	4	0.1299158
1311	5	1	3	0.5	1.238	0.1518	0.8558	5	0.12991044
873	3	2	2	0.3	2.051	0.1298	1	4	0.1298
1241	5	0	2	0.7	1.06	0.2506	0.5167	5	0.12948502
613	2	2	0	0.7	1.152	0.2427	0.5334	5	0.12945618
230	0	3	3	0.5	1.757	0.1338	0.9672	5	0.12941136
82	0	1	1	0.5	1.6	0.1347	0.9606	5	0.12939282
625	2	2	1	0.7	1.29	0.2668	0.4848	5	0.12934464
1014	4	0	3	0.5	0.991	0.1396	0.9265	5	0.1293394
1406	5	3	1	0.7	1.572	0.2164	0.5965	5	0.1290826
997	4	0	2	0.5	1.01	0.1514	0.8511	5	0.12885654
187	0	3	0	0.5	1.684	0.1288	1	5	0.1288
985	4	0	1	0.7	1.205	0.1375	0.936	5	0.1287
664	2	3	0	0.3	1.682	0.1339	0.9605	4	0.12861095
1287	5	1	1	0.7	1.216	0.1634	0.7858	5	0.12839972
1199	4	3	3	0.7	1.083	0.2492	0.5149	5	0.12831308
100	0	1	2	0.7	1.024	0.2452	0.5222	5	0.12804344
1168	4	3	1	0.7	1.521	0.2124	0.6028	5	0.12803472
803	3	1	1	0.5	1.392	0.1315	0.9709	5	0.12767335
1113	4	2	2	0.3	1.27	0.1982	0.6439	5	0.12762098
589	2	1	3	0.3	1.617	0.1275	1	5	0.1275
786	3	1	0	0.5	0.936	0.1321	0.9645	4	0.12741045
1160	4	3	1	0.5	1.14	0.2498	0.5091	5	0.12717318
597	2	1	3	0.7	1.129	0.1267	1	4	0.1267
295	1	0	3	0.7	1.011	0.1278	0.9897	5	0.12648366
806	3	1	1	0.7	1.115	0.1336	0.9441	5	0.12613176
1288	5	1	1	0.7	1.152	0.1333	0.9458	5	0.12607514
487	2	0	0	0.5	1.763	0.1346	0.935	4	0.125851
1003	4	0	2	0.7	1.044	0.1367	0.9203	5	0.12580501
1062	4	1	2	0.7	1.32	0.1383	0.9096	5	0.12579768
851	3	2	0	0.7	1.711	0.127	0.9895	5	0.1256665
1316	5	1	3	0.7	1.19	0.1371	0.9157	5	0.12554247
182	0	3	0	0.3	1.061	0.1252	1	5	0.1252
185	0	3	0	0.5	1.15	0.1268	0.9865	5	0.1250882
86	0	1	1	0.7	1.274	0.1771	0.7062	5	0.12506802
1247	5	0	3	0.3	1.159	0.2094	0.5969	5	0.12499086
81	0	1	1	0.5	1.422	0.1584	0.7887	5	0.12493008
283	1	0	2	0.7	1.203	0.1324	0.9416	5	0.12466784
200	0	3	1	0.5	1.218	0.1806	0.6894	5	0.12450564
1044	4	1	1	0.5	1.222	0.133	0.9358	5	0.1244614
1224	5	0	1	0.5	1.492	0.1982	0.6277	5	0.12441014
1141	4	3	0	0.3	1.271	0.2396	0.5183	5	0.12418468
292	1	0	3	0.5	0.958	0.125	0.9931	5	0.1241375
420	1	3	0	0.3	0.993	0.1654	0.7502	5	0.12408308
259	1	0	1	0.3	1.06	0.148	0.8379	5	0.1240092
1181	4	3	2	0.7	1.172	0.2444	0.5068	5	0.12386192
310	1	1	0	0.7	1.228	0.1257	0.9844	5	0.12373908
1169	4	3	1	0.7	1.217	0.2303	0.5369	5	0.12364807
1105	4	2	1	0.7	1.118	0.2419	0.5111	5	0.12363509
772	3	0	3	0.5	1.42	0.1301	0.9471	5	0.12321771
1222	5	0	1	0.5	1.264	0.1975	0.6238	5	0.1232005
402	1	2	2	0.7	1.01	0.2056	0.5992	5	0.12319552
1283	5	1	1	0.5	1.044	0.1557	0.7903	5	0.12304971
308	1	1	0	0.5	1.096	0.1238	0.9921	5	0.12282198
335	1	1	2	0.5	1.439	0.1228	1	5	0.1228
771	3	0	3	0.5	1.479	0.1265	0.9682	5	0.1224773
1130	4	2	3	0.5	1.164	0.1478	0.8286	5	0.12246708
1151	4	3	0	0.7	1.275	0.2698	0.453	5	0.1222194
494	2	0	0	0.7	1.856	0.1315	0.9291	4	0.12217665
808	3	1	1	0.7	1.197	0.1337	0.9105	5	0.12173385
249	1	0	0	0.5	1.21	0.1284	0.9474	5	0.12164616
1414	5	3	2	0.3	1.674	0.1436	0.8461	5	0.12149996
1297	5	1	2	0.5	1.35	0.1261	0.9591	5	0.12094251
395	1	2	2	0.5	1.404	0.1403	0.8616	5	0.12088248
990	4	0	2	0.3	1.14	0.1299	0.9301	5	0.12081999
777	3	0	3	0.7	1.643	0.1207	1	5	0.1207
1090	4	2	0	0.7	1.287	0.1651	0.7294	5	0.12042394
1220	5	0	1	0.5	1.26	0.1941	0.6188	5	0.12010908
1223	5	0	1	0.5	1.38	0.2091	0.5737	5	0.11996067
1041	4	1	1	0.5	1.082	0.1226	0.9782	5	0.11992732
592	2	1	3	0.5	1.247	0.1199	1	4	0.1199
1210	5	0	0	0.7	1.041	0.2276	0.5264	5	0.11980864
160	0	2	2	0.7	1.628	0.1197	1	5	0.1197
730	3	0	0	0.7	1.477	0.1207	0.9894	5	0.11942058
936	3	3	2	0.5	1.004	0.2156	0.5535	5	0.1193346
499	2	0	1	0.3	1.653	0.125	0.9525	4	0.1190625
171	0	2	3	0.5	1.836	0.1203	0.989	5	0.1189767
1154	4	3	0	0.7	1.323	0.2153	0.5521	5	0.11886713
738	3	0	1	0.3	1.341	0.1376	0.863	5	0.1187488
1436	5	3	3	0.7	1.136	0.1597	0.7418	5	0.11846546
392	1	2	2	0.3	0.97	0.1991	0.5941	5	0.11828531
234	0	3	3	0.5	1.271	0.2126	0.5562	5	0.11824812
410	1	2	3	0.5	1.401	0.1554	0.7609	5	0.11824386
944	3	3	2	0.7	1.092	0.1542	0.7662	5	0.11814804
1098	4	2	1	0.3	1.623	0.1181	1	4	0.1181
921	3	3	1	0.5	0.919	0.2549	0.463	5	0.1180187
800	3	1	1	0.5	0.989	0.1272	0.927	5	0.1179144
280	1	0	2	0.7	1.048	0.1269	0.9281	5	0.11777589
368	1	2	0	0.5	1.142	0.1221	0.9634	5	0.11763114
393	1	2	2	0.3	1.008	0.191	0.6157	5	0.1175987
252	1	0	0	0.7	1.23	0.1324	0.8871	5	0.11745204
1094	4	2	0	0.7	1.578	0.1172	1	4	0.1172
327	1	1	1	0.7	1.796	0.1167	1	5	0.1167
755	3	0	2	0.5	1.43	0.1312	0.8893	4	0.11667616
