id	exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI	eps
4	0	2	1	0.3	1.344	0.571835699236767	0.391586728928842	5
7	0	2	2	0.4	1.23	0.544574276600917	0.332882839777643	6
9	0	3	0	0.4	1.208	0.538116944609336	0.433531761600561	6
24	1	3	2	0.3	1.649	0.536555427470857	0.307678517894327	7
8	0	3	0	0.4	1.234	0.533415611289239	0.433719029689775	6
3	0	1	2	0.4	1.269	0.533285240408743	0.361674709879759	6
1	0	0	2	0.4	1.582	0.519871979081601	0.341941611131024	7
19	0	4	2	0.3	1.609	0.517710491277227	0.347587908673338	7
67	4	1	1	0.3	1.348	0.515069382440845	0.322386339934267	7
53	3	1	1	0.3	1.302	0.50739211366539	0.424478090747807	6
29	1	4	1	0.4	1.331	0.499664763394855	0.339313576491863	7
17	0	4	1	0.3	1.264	0.494792557299476	0.329945968285997	7
28	1	4	1	0.4	1.368	0.494420343004479	0.373319449663763	7
69	4	3	0	0.3	1.228	0.49091881243518	0.405864248333606	6
2	0	1	2	0.4	1.336	0.487884346784726	0.391667848388469	7
5	0	2	1	0.3	1.24	0.484147855120945	0.408374976279335	7
27	1	4	0	0.4	1.255	0.482785265263639	0.486712831757245	6
32	2	1	0	0.3	1.285	0.478422228102981	0.462564643671224	6
16	0	4	0	0.4	1.118	0.477473988763195	0.336819816754563	6
20	0	4	2	0.3	1.367	0.476545130937062	0.501657169879912	6
57	3	2	1	0.4	1.41	0.475131990135015	0.305217502736417	7
34	2	1	2	0.4	1.296	0.46858216403596	0.355632979256591	7
13	0	3	2	0.4	1.705	0.46789367632959	0.37076461715944	6
39	2	2	2	0.4	1.288	0.467859760336025	0.329793843375289	6
22	1	2	1	0.3	1.249	0.466192016647614	0.42694252268575	7
25	1	3	2	0.4	2.063	0.462872144975156	0.494132430529081	7
54	3	1	2	0.3	1.266	0.462449755119245	0.315537188072576	7
10	0	3	1	0.4	1.423	0.461949908314042	0.452607911847516	6
14	0	3	2	0.4	1.328	0.461440666029666	0.305990914109466	7
48	2	4	2	0.4	1.197	0.459411172369193	0.4621605282691	6
66	4	0	2	0.4	1.504	0.454929747669641	0.411626057846677	7
6	0	2	2	0.3	1.626	0.453439600248918	0.439815173222359	7
43	2	3	1	0.3	1.32	0.452499803664953	0.425084377098035	7
12	0	3	2	0.3	1.189	0.448970573870574	0.444371964736371	7
76	4	4	2	0.3	1.486	0.447156457786118	0.322624984616382	7
37	2	2	2	0.3	1.463	0.444594675730189	0.375694898501076	7
35	2	2	1	0.3	1.298	0.442666933655476	0.346332353134695	7
59	3	3	1	0.3	1.384	0.440382534167906	0.415323552586537	7
68	4	2	1	0.3	1.251	0.439388607234157	0.314628638082059	7
61	3	3	2	0.3	1.228	0.43930080942429	0.329545333625874	7
60	3	3	1	0.4	1.127	0.43511969703784	0.388113517598834	6
74	4	4	0	0.4	1.208	0.434644701832785	0.312642937573226	7
26	1	3	2	0.4	1.423	0.434478733705908	0.501455151560567	6
62	3	3	2	0.3	1.54	0.434108170101553	0.381127042685119	7
46	2	4	0	0.4	1.375	0.431839054621495	0.417380028568245	7
31	2	0	2	0.4	1.326	0.431807083495694	0.328996081932353	6
42	2	3	0	0.4	1.428	0.430953481460443	0.427084620699017	7
47	2	4	2	0.3	1.59	0.425564934013316	0.494586285255982	7
55	3	2	0	0.3	1.471	0.425535834826614	0.342441604454261	7
23	1	2	1	0.4	1.325	0.420325204314081	0.370878089675627	7
33	2	1	2	0.3	1.408	0.419461402709194	0.315829589867506	7
73	4	4	0	0.3	1.295	0.417387732786926	0.34355380569448	7
15	0	4	0	0.3	1.049	0.414898408114665	0.395637762963074	5
52	3	0	2	0.3	1.588	0.414580792551878	0.417582217197458	7
71	4	3	1	0.4	1.206	0.41395672154273	0.46195270985754	6
11	0	3	1	0.4	1.333	0.41349781783132	0.429409539091311	7
36	2	2	1	0.4	1.21	0.412214433323577	0.347771685389616	7
65	3	4	2	0.3	1.372	0.411584324276587	0.330502123027667	7
49	2	4	2	0.4	1.127	0.404768660013463	0.338550855641906	7
56	3	2	0	0.4	1.232	0.40270243457774	0.502667255339574	7
21	1	1	2	0.4	1.542	0.400538750809758	0.477108948653821	7
45	2	4	0	0.3	1.228	0.395140478342802	0.346184170789596	6
63	3	3	2	0.4	1.143	0.393917562770606	0.356672779032895	7
18	0	4	1	0.4	1.138	0.391241263676326	0.492325205969891	6
41	2	3	0	0.4	1.246	0.390200108917921	0.330355410096563	7
40	2	2	2	0.4	1.399	0.388427353765693	0.405551280758907	7
44	2	3	2	0.3	1.341	0.386389339728599	0.453525884432888	7
51	3	0	1	0.4	1.301	0.381853638859427	0.365505112967629	7
78	4	4	2	0.4	1.377	0.379024679052415	0.498957436721242	7
72	4	3	2	0.4	1.111	0.373592250482229	0.306776926179911	7
75	4	4	2	0.3	1.362	0.367408072981071	0.391496501455954	7
77	4	4	2	0.4	1.072	0.359775425225838	0.469008176753307	7
64	3	4	1	0.3	1.461	0.35921406457972	0.417177839529373	7
58	3	2	2	0.4	1.325	0.35918267919993	0.505596445331941	7
30	1	4	2	0.4	1.173	0.356450079709652	0.407392310251395	7
38	2	2	2	0.3	1.448	0.353800121379809	0.324688808770361	7
70	4	3	0	0.4	1.071	0.352039816382127	0.479350752753401	7
50	2	4	2	0.4	1.351	0.350874213209029	0.463468437353774	7
