EVENT_LOG	DISCOVERY_ALG	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
Production_Data	IMf	57.48	0.627
Production_Data	IMd	5.91	0.921
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMf	0.26	0.8834
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	2.45	0.978
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	10.16	0.4405
edited_hh104_labour	IMf	13.05	0.4603
edited_hh104_labour	IMd	2.18	0.996
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMf	0.32	0.4891
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	0.19	0.4088
activitylog_uci_detailed_labour	IMf	0.85	0.7842
activitylog_uci_detailed_labour	IMd	1.38	1.0
activitylog_uci_detailed_labour	ETM	3.13	0.5449
activitylog_uci_detailed_weekends	IMf	0.14	0.7513
activitylog_uci_detailed_weekends	IMd	0.38	1.0
activitylog_uci_detailed_weekends	ETM	0.72	0.6123
edited_hh102_labour	IMf	0.61	0.7831
edited_hh102_labour	IMd	0.21	0.9951
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMf	7.42	0.7888
VITORIA_-_5a_VARA_CIVEL_-_TJES	IMd	6.1	0.9965
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	15.06	0.5172
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project	IMd	0.94	0.9434
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.11	0.6655
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.08	0.9988
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.07	0.9615
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	1.09	0.5251
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	1.62	0.95
BPI_Challenge_2014_Control summary	IMf	0.38	0.8945
BPI_Challenge_2014_Control summary	IMd	0.37	0.8963
BPI_Challenge_2014_Control summary	ETM	0.4	0.9975
BPI_Challenge_2014_Department control parcels	IMf	0.26	0.7241
BPI_Challenge_2014_Department control parcels	IMd	0.28	0.9999
BPI_Challenge_2014_Department control parcels	ETM	0.31	0.9928
ElectronicInvoicingENG	IMf	0.34	0.9328
ElectronicInvoicingENG	IMd	0.33	0.9766
ElectronicInvoicingENG	ETM	0.34	0.9238
4a_VARA_CIVEL_-_TJGO	IMf	0.18	0.7447
