EVENT_LOG	DISCOVERY_ALG	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT
Production_Data.xes.gz	IMf	0.5595	0.3214	0.7562
Production_Data.xes.gz	IMd	0.508	0.3036	0.7182
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	IMf	0.8116	0.5	0.6496
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	IMd	0.51	0.1818	0.6749
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	ETM	0.9743	0.3182	0.6341
edited_hh104_labour.xes.gz	IMf	0.8409	0.05	0.5611
edited_hh104_labour.xes.gz	IMd	0.7456	0.0	0.3851
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMf	0.846	0.6786	0.8358
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	IMd	0.6548	0.6071	0.8323
activitylog_uci_detailed_labour.xes.gz	IMf	0.849	0.1765	0.5203
activitylog_uci_detailed_labour.xes.gz	IMd	0.539	0.0	0.5882
activitylog_uci_detailed_labour.xes.gz	ETM	1.0	0.0	0.5714
activitylog_uci_detailed_weekends.xes.gz	IMf	0.8524	0.25	0.5281
activitylog_uci_detailed_weekends.xes.gz	IMd	0.4548	0.0	0.6444
activitylog_uci_detailed_weekends.xes.gz	ETM	0.933	0.125	0.5301
edited_hh102_labour.xes.gz	IMf	0.7374	0.1579	0.5948
edited_hh102_labour.xes.gz	IMd	0.5162	0.0526	0.5986
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	IMf	0.8968	0.6512	0.7811
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	IMd	0.5994	0.2791	0.7129
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	ETM	0.9782	0.7442	0.9167
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	IMd	0.3785	0.0357	0.7572
