EVENT_LOG,variant_entropy,variant_entropy_norm,sequence_entropy,sequence_entropy_norm
activitylog_uci_detailed_weekends.xes.gz,1000.2578265813406,0.3666844363520495,2940.321205171875,0.9733346326031741
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz,2349.340253871828,0.6798176509141451,5845.597031197634,0.7651929345302145
Production_Data.xes.gz,38046.49873937802,0.5446663887402224,79181.49887087317,0.959766898756449
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes,64029.63465343321,0.5427587119219719,126011.48122829814,0.977783944223332
edited_hh104_labour.xes.gz,13528.52530269651,0.4563552736884222,33443.65851758765,0.9544442928706361
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes,8111.645896364593,0.43000036084676785,20158.039316460283,0.970410338037151
edited_hh102_labour.xes.gz,2832.6120821261634,0.41576975088949486,7693.146272538664,0.9473452885396025
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes,624.7064398739442,0.5791929838846167,1843.8440487980433,0.7996165348919143
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes,1898.184454119395,0.5721985337478376,4120.905206041277,0.9167250347461727
activitylog_uci_detailed_labour.xes.gz,4040.095295514182,0.4443231567944542,9786.945182846572,0.9713137380591901
BPI_Challenge_2014_Department control parcels.xes.gz,4276.4000035432855,0.6819762128132246,17748.798405044465,0.6496950447605484
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes,12795.798209855382,0.5650581944845986,31049.184565608375,0.8535069786762258
BPI_Challenge_2014_Inspection.xes.gz,461944.19478954835,0.620447406145344,1525065.9712271618,0.8181737172351277
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,29917.54128246849,0.3975742234332297,76839.45004056404,0.9954861132967944
BPI_Challenge_2014_Entitlement application.xes.gz,187385.5150363986,0.717253728184459,563610.8950285978,0.6817435189211213
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes,407603.67969642003,0.527539659433333,800132.7892239871,0.9844168370610592
4a_VARA_CIVEL_-_TJGO.xes,950.9332221831073,0.7886330819829316,1905.4291167245847,0.7881583516255574
ElectronicInvoicingENG.xes.gz,95.211611326769,0.4223748570923914,424.82172992535595,0.7624574419878211
BPI_Challenge_2014_Geo parcel document.xes.gz,1224971.0955411983,0.7294796946677156,2668507.6920014056,0.8040217870038936
BPI_Challenge_2014_Control summary.xes.gz,224.73543604137768,0.4118544017283139,3047.994838917406,0.57995574822239
BPI_Challenge_2012.xes.gz,469331.1569406934,0.699932181824355,1584263.0089062338,0.7167104610424904
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,7708.500545516808,0.4130548435250922,19214.8989996207,0.9917419175527079
edited_hh104_weekends.xes.gz,4206.962794148268,0.3912029602275437,12305.816671411882,0.9552903037561328
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes,7343.193824031368,0.44347902410593004,17217.448806837543,0.9879140338689644
edited_hh110_labour.xes.gz,3336.9214204595155,0.42521696074746507,9389.924110027603,0.9334373344151248
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes,28717.455022200433,0.43143394709251087,68099.3052093255,0.9930071520004375
BPI_Challenge_2020_InternationalDeclarations.xes.gz,30396.23737211078,0.7502272366709278,73857.34273521777,0.7994141834962805
DocumentProcessingENG.xes.gz,18.20419078547006,0.21489884534904602,133.23166975868958,0.8487059952503367
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes,23596.82020230564,0.5378487661366704,46560.97049500555,0.9787747233111762
edited_hh110_weekends.xes.gz,553.2899502659609,0.3087870870376126,2071.1192055755296,0.9526002560219642
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes,24371.0466338209,0.6184102691350364,46146.24693339448,0.9466828999442982
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes,4320.272813408224,0.4574721859259031,10249.368775802173,0.9680051000575215
Road_Traffic_Fine_Management_Process.xes.gz,1882.7078778227324,0.765449913380482,8525.818065947518,0.597576190007236
BPI_Challenge_2020_PrepaidTravelCost.xes.gz,5445.903970798592,0.7181321458376774,12632.86103620137,0.7971133589801038
BPI_Challenge_2019_log_IEEE.xes.gz,1682613.1756947201,0.6425681873099984,3722494.2533132425,0.864409293836496
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes,39939.589558532534,0.6457745711397175,90648.9756105234,0.8460537475353613
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes,4656.867036121121,0.42323270534926305,11347.265853686351,0.991481876448471
BPI_Challenge_2014_Reference alignment.xes.gz,9402.18854601337,0.6894879563105013,42015.943039064594,0.637968325818693
BPI_Challenge_2020_PermitLog.xes.gz,95852.50706357596,0.7278375962470635,216169.40001066803,0.8168901591043688
Hospital Billing - Event Log.xes.gz,24210.881555177868,0.7445617713212477,81738.09169707021,0.6928063570996033
BPI_Challenge_2013_incidents.xes.gz,88097.2829302976,0.7131494804778035,227641.47065785486,0.7636688762671471
Sepsis Cases - Event Log.xes.gz,40115.92059922908,0.6870487285933871,101159.01678329962,0.7705348127306652
BPI_Challenge_2020_DomesticDeclarations.xes.gz,1595.622866801513,0.6736451500315207,4527.632501534417,0.7648451318934271
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes,98582.1253903523,0.478989410849804,213971.5263006373,0.9875685758924573
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes,10244.950235085438,0.3797042875835437,28340.910507432895,0.9803110947657354
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes,309909.6439868977,0.539236459066493,598222.8233338095,0.9815970670525513
BPI Challenge 2017.xes.gz,2579082.6937610544,0.7349565475714442,7709263.790894371,0.7374885539514251
BPI_Challenge_2013_open_problems.xes.gz,891.6574241341111,0.6812396660765015,3082.338181925679,0.6985526827865511
5a_VARA_CIVEL_-_TJMT.xes,3161.2975926477634,0.44242208552193857,7526.875091121761,0.979122554257943
