EVENT_LOG	DISCOVERY_ALG	PRECISION	FITNESS	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	TIME_MARKOV	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMf	0.3027	0.6655	0.4873	0.9829	0.4733	803.0	0.1816	0.0	0.1457	-0.2388	2	1.5	0.0	1.0	-103.2408	-103.2408	1.2965	4	-279.1503	0.0226	6	-382.3911	0.0293	2583	12	232	33	14.2241	11.1336	3.2226	624.7064	0.5792	1843.844	0.7996	29	0.7632	9	25	3.04	5	1.52	1.52	1.0	1.0	1.0	1.0	4	3	1	1	1	1	2.768	0.6333	0.5882	0.6832	0.6667	0.1722	0.7481	0.8771	0.6628	0.6581	0.6593	0.6702	0.1738	0.2442	0.1612	0.2369
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.1731	0.9988	0.9954	0.9976	0.9951	222.0	0.0502	0.0	0.0099	-5.7963	6	2.5	-0.2368	0.5264	-8740.4858	-8740.4858	0.3894	4	-279.1503	0.0226	10	-9019.6361	0.0088	2583	12	232	33	14.2241	11.1336	3.2226	624.7064	0.5792	1843.844	0.7996	5	0.3333	10	6	5.0	11	2.5	2.5	1.0	1.0	1.0	1.0	9	9	1	1	1	1	1.8302	0.9966	0.8824	0.4118	0.3297	0.017	0.9411	0.9901	0.9999	0.997	0.9999	0.9989	0.1488	0.1582	0.1423	0.1495
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.8923	0.9615	0.9087	0.9799	0.9094	201.0	0.0455	0.0	0.8947	0.964	-2	0.5	0.0	1.0	202.2795	202.2795	2.8009	4	-279.1503	0.0226	2	-76.8708	0.0633	2583	12	232	33	14.2241	11.1336	3.2226	624.7064	0.5792	1843.844	0.7996	7	0.35	13	15	2.6667	4	1.3333	1.3333	1.0	1.0	1.0	1.0	3	2	1	1	1	1	0.0069	0.9775	0.3529	1.0	1.0	0.9196	0.6471	0.6731	0.972	0.9413	0.9805	0.96	0.8644	0.8641	0.8388	0.7658
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.7168	0.5251	0.2251	0.7734	0.3245	8128.9905	0.008	0.0003	0.4135	0.6808	-17	0.2273	-0.1667	0.6666	6895.8334	6895.8334	14.8571	22	-7404.3222	0.0021	5	-508.4888	0.0312	8527	46	47	47	100.0	181.4255	190.9759	29917.5413	0.3976	76839.45	0.9955	30	0.8108	7	26	2.9231	4	1.4615	1.4615	1.0	1.0	1.0333	1.0333	2	2	1	1	2	2	267.6767	0.6156	0.0754	0.9936	0.9583	0.4714	0.9163	0.9277	0.5126	0.5101	0.5087	0.5036	0.3424	0.5056	0.3534	0.2667
BPI_Challenge_2014_Control summary	IMf	0.9391	0.8945	0.6641	0.9999	0.6677	63.0	0.0473	0.0	0.8158	0.9606	-2	0.6	0.3333	2.9994	60.5035	60.5035	1.7969	5	-113.6229	0.0458	3	-53.1194	0.0823	161296	7	43808	59	0.1347	3.6819	1.1525	224.7354	0.4119	3047.9948	0.58	8	0.5714	6	11	2.5455	3	1.2727	1.2727	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0053	0.9998	0.6667	1.0	1.0	0.9253	0.4872	0.5441	0.9034	0.8983	0.9023	0.9998	0.9085	0.9394	0.9168	0.9328
BPI_Challenge_2014_Control summary	IMd	0.8442	0.8963	0.6699	1.0	0.6739	71.0	0.0533	0.0	0.2371	0.8036	0	1.0	0.119	1.7139	-199.875	-199.875	0.9367	5	-113.6229	0.0458	5	-313.4979	0.0429	161296	7	43808	59	0.1347	3.6819	1.1525	224.7354	0.4119	3047.9948	0.58	3	0.3	7	7	2.8571	5	1.4286	1.4286	1.0	1.0	1.0	1.0	3	3	1	1	1	1	0.0077	0.9999	0.9167	0.9152	0.6471	0.502	0.5769	0.7689	0.9052	0.8923	0.9042	0.9994	0.7292	0.8645	0.7454	0.4622
BPI_Challenge_2014_Control summary	ETM	0.6471	0.9975	0.9921	0.9999	0.9917	22.0	0.0165	0.0025	0.4615	0.662	-1	0.8	0.0	1.0	30.6033	30.6033	1.3974	5	-113.6229	0.0458	4	-83.0196	0.064	161296	7	43808	59	0.1347	3.6819	1.1525	224.7354	0.4119	3047.9948	0.58	10	0.625	6	13	3.6923	11	1.8462	1.8462	1.0	1.0	1.8	1.8	6	5	1	1	3	3	0.0076	0.9931	0.5	0.6578	0.6667	0.494	0.625	0.7303	0.9973	0.9905	0.9975	0.9993	0.6466	0.7215	0.6441	0.7006
BPI_Challenge_2014_Department control parcels	IMf	0.9914	0.7241	0.4077	0.9993	0.4536	166.0	0.0454	0.0	1.0	1.0	-2	0.6	0.0333	1.111	160.3002	160.3002	3.0609	5	-201.81	0.0361	3	-41.5098	0.1105	46669	6	29297	349	1.1912	1.593	1.0469	4276.4	0.682	17748.7984	0.6497	6	0.6667	3	7	2.5714	4	1.2857	1.2857	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0033	0.9655	0.2632	1.0	1.0	1.0	0.6721	0.6818	0.7627	0.7465	0.7602	0.6894	0.9952	0.9927	0.996	0.9938
BPI_Challenge_2014_Department control parcels	IMd	0.9646	0.9999	0.9997	0.9998	0.9995	178.0	0.0486	0.0	0.5787	0.9944	-1	0.8	0.0	1.0	-60.393	-60.393	1.4903	5	-201.81	0.0361	4	-262.203	0.0538	46669	6	29297	349	1.1912	1.593	1.0469	4276.4	0.682	17748.7984	0.6497	12	0.75	4	10	3.2	5	1.6	1.6	1.0	1.0	1.0	1.0	3	3	1	1	1	1	0.0106	0.9984	0.6316	1.0	1.0	0.7378	0.4133	0.5024	0.9997	0.9998	0.9997	0.9998	0.9642	0.9585	0.97	0.9763
BPI_Challenge_2014_Department control parcels	ETM	0.4675	0.9928	0.9904	0.9995	0.9902	60.0	0.0164	0.0	0.6633	0.5573	0	1.0	0.0	1.0	74.0803	74.0803	1.5042	5	-201.81	0.0361	5	-127.7297	0.0543	46669	6	29297	349	1.1912	1.593	1.0469	4276.4	0.682	17748.7984	0.6497	6	0.5455	5	9	2.6667	4	1.3333	1.3333	1.0	1.0	1.1667	1.1667	3	2	1	1	2	2	0.0117	0.9914	0.4737	0.8146	0.9	0.6648	0.5753	0.6061	0.9896	0.9701	0.99	0.9456	0.4563	0.7828	0.4498	0.7602
ElectronicInvoicingENG	IMf	0.5691	0.9328	0.8888	1.0	0.9236	50.0	0.0712	0.0	0.35	0.3507	-1	0.6667	0.0	1.0	-29.9417	-29.9417	1.2456	3	-100.3621	0.0456	2	-130.3038	0.0568	309030	9	20135	7	0.0348	15.3479	4.2501	95.2116	0.4224	424.8217	0.7625	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.2093	0.9674	0.8333	1.0	1.0	0.3261	0.5	0.7042	0.9467	0.9802	0.9999	0.931	0.5401	0.5714	0.5333	0.5
ElectronicInvoicingENG	IMd	0.2114	0.9766	0.9604	1.0	0.9579	50.0	0.0712	0.0	0.0485	-2.1979	5	2.6667	-0.2143	0.5714	-612.2193	-612.2193	0.3969	3	-100.3621	0.0456	8	-712.5814	0.0181	309030	9	20135	7	0.0348	15.3479	4.2501	95.2116	0.4224	424.8217	0.7625	13	0.5909	9	16	2.75	3	1.375	1.375	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.2038	0.9821	0.8889	0.3923	0.3721	0.0478	0.8713	0.9523	0.9819	0.9474	0.9999	0.9522	0.2046	0.1753	0.2025	0.1538
ElectronicInvoicingENG	ETM	0.945	0.9238	0.8921	1.0	0.9236	50.0	0.0712	0.0	0.7241	0.95	0	1.0	0.0	1.0	19.2656	19.2656	1.1513	3	-100.3621	0.0456	3	-81.0965	0.0525	309030	9	20135	7	0.0348	15.3479	4.2501	95.2116	0.4224	424.8217	0.7625	4	0.1905	17	19	2.2105	3	1.1053	1.1053	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0087	0.9765	0.8889	1.0	1.0	0.7063	0.3	0.475	0.9392	0.8577	1.0	0.9412	0.8481	0.8642	0.8333	0.7143
4a_VARA_CIVEL_-_TJGO	IMf	0.7556	0.7447	0.5772	0.8945	0.5106	646.0	0.0164	0.0	0.1594	0.2972	-6	0.5385	0.2778	-1.0	339.2736	339.2736	2.8625	13	-1122.4391	0.008	7	-783.1655	0.0229	955	16	339	98	28.9086	2.8171	2.1803	950.9332	0.7886	1905.4291	0.7882	19	0.76	6	19	2.8421	4	1.4211	1.4211	1.0	1.0	1.1053	1.1053	2	2	1	1	2	2	6.5846	0.539	0.3387	0.9107	0.8077	0.1985	0.7415	0.8786	0.7012	0.7403	0.7097	0.6918	0.759	0.7502	0.7579	0.7875
4a_VARA_CIVEL_-_TJGO	IMd	0.7572	0.3084	0.2942	0.8874	0.3671	646.0	0.0164	0.0	0.072	0.2992	-6	0.5385	0.2727	-1.0	-295.4884	-295.4884	2.45	13	-1122.4391	0.008	7	-1417.9275	0.0196	955	16	339	98	28.9086	2.8171	2.1803	950.9332	0.7886	1905.4291	0.7882	18	0.75	6	16	3.125	5	1.5625	1.5625	1.0	1.0	1.0556	1.0556	3	3	1	1	2	2	2.5973	0.5698	0.371	0.8488	0.6389	0.1072	0.8058	0.9386	0.3527	0.3725	0.3178	0.3809	0.7675	0.7299	0.7538	0.7856
4a_VARA_CIVEL_-_TJGO	ETM	0.8239	0.9051	0.8496	0.9468	0.8509	1005.0	0.0255	0.0	0.0605	-0.6247	-4	0.6923	0.2637	-1.0	-1891.4976	-1891.4976	1.7125	13	-1122.4391	0.008	9	-3013.9367	0.0137	955	16	339	98	28.9086	2.8171	2.1803	950.9332	0.7886	1905.4291	0.7882	30	0.6977	13	32	4.4375	16	2.2188	2.2188	1.0	1.0	1.9333	1.9333	9	7	1	1	4	4	2766.9971	0.9026	0.5484	0.8238	0.6623	0.0917	0.777	0.9413	0.9258	0.9756	0.926	0.9504	0.8157	0.6488	0.7122	0.6175
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMf	0.3709	0.8075	0.6385	0.9166	0.6305	1300.0	0.0161	0.0	0.1962	-0.6478	-6	0.5385	0.0	1.0	1115.024	1115.024	4.5079	13	-1646.4923	0.0063	7	-531.4683	0.0284	4448	29	116	112	96.5517	38.3448	26.7798	12795.7982	0.5651	31049.1846	0.8535	28	0.8	7	22	3.1818	6	1.5909	1.5909	1.0	1.0	1.0	1.0	3	4	1	1	1	1	25.1746	0.7246	0.188	0.8175	0.8148	0.204	0.837	0.8842	0.7955	0.8154	0.7715	0.7786	0.3021	0.3424	0.285	0.3024
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	0.9775	0.6019	0.5081	0.9016	0.5133	1300.0	0.0161	0.0	0.5857	0.941	-10	0.2308	0.0	1.0	1425.155	1425.155	4.0317	13	-1646.4923	0.0063	3	-221.3373	0.0254	4448	29	116	112	96.5517	38.3448	26.7798	12795.7982	0.5651	31049.1846	0.8535	11	0.1549	60	65	2.4308	11	1.2154	1.2154	1.0	1.0	1.7273	1.7273	6	5	1	1	3	3	0.1109	0.7419	0.2222	0.8664	0.8125	0.7252	0.8771	0.9244	0.6185	0.6011	0.5901	0.5843	0.9608	0.9563	0.9665	0.9754
BPI_Challenge_2014_Entitlement application	ETM	0.8283	0.9369	0.9004	0.9959	0.8545	11937.8548	0.0325	0.0	0.619	0.9081	-4	0.6	0.0	1.0	3532.2759	3532.2759	7.95	10	-3733.8206	0.004	6	-201.5447	0.0318	293245	20	15260	2553	16.73	19.2166	6.9503	187385.515	0.7173	563610.895	0.6817	44	0.6667	22	60	3.5333	11	1.7667	1.7667	1.0	1.0	1.9091	1.9091	6	5	1	1	3	3	0.179	0.9137	0.1579	1.0	1.0	0.5994	0.9222	0.9565	0.945	0.9122	0.9572	0.8807	0.8295	0.8008	0.7811	0.7942
BPI_Challenge_2014_Inspection	IMd	0.2344	0.8618	0.6179	0.9993	0.7683	190.0	0.0048	0.0	0.012	-3.7438	5	1.5556	0.3333	2.9994	-17028.9633	-17028.9633	0.5481	9	-991.3224	0.0104	14	-18020.2857	0.0057	197717	15	5485	3190	58.1586	36.0469	39.6714	461944.1948	0.6204	1525065.9712	0.8182	16	0.5161	15	17	3.7647	8	1.8824	1.8824	1.0	1.0	1.0625	1.0625	6	6	1	1	2	2	136.1432	0.9017	0.8358	0.7315	0.3478	0.0419	0.9286	0.9881	0.8496	0.8968	0.8132	0.9035	0.2121	0.2228	0.1954	0.2186
