	FOURIER_ENTROPY_DIFF	CLUST_DIFF	DIST_EDGES_DEGREE	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_WEIGHTED_FIT	CLUST_MAX_DIFF	CLUST_DIFF_WEIGHTED	PRECISION
PRECISION	0.6332240015435077	0.25887365880926244	0.3348956114296544	0.32923603798766304	0.32319058453826316	0.32151843783949297	0.06597964913258579	0.03754411637689561	1.0
FOURIER_ENTROPY_DIFF	1.0	0.1139032527924505	0.39695872660126796	0.40014509350296235	0.40390045449424505	0.4060172839439392	0.33606643091395844	0.061652263632998125	0.6332240015435077
DIST_EDGES_DEGREE	0.39695872660126796	0.22428018684359424	1.0	0.9992034026088564	0.998406805217713	0.9980084502666409	0.10520479343711844	0.2718323684898904	0.3348956114296544
DIST_EDGES_BTW	0.40014509350296235	0.22073802227908487	0.9992034026088564	1.0	0.9993741020498158	0.9990042253356812	0.10384902358192655	0.26104954702799615	0.32923603798766304
DIST_EDGES_CC	0.40390045449424505	0.21274325727806367	0.998406805217713	0.9993741020498158	1.0	0.9995447889445889	0.10601530802446141	0.26474814014157466	0.32319058453826316
DIST_EDGES_WEIGHTED_FIT	0.4060172839439392	0.22053091304476385	0.9980084502666409	0.9990042253356812	0.9995447889445889	1.0	0.11191314353257253	0.2705028807169784	0.32151843783949297
CLUST_DIFF	0.1139032527924505	1.0	0.22428018684359424	0.22073802227908487	0.21274325727806367	0.22053091304476385	0.5644885535530997	0.5981022562986071	0.25887365880926244
CLUST_MAX_DIFF	0.33606643091395844	0.5644885535530997	0.10520479343711844	0.10384902358192655	0.10601530802446141	0.11191314353257253	1.0	0.3392321110055685	0.06597964913258579
CLUST_DIFF_WEIGHTED	0.061652263632998125	0.5981022562986071	0.2718323684898904	0.26104954702799615	0.26474814014157466	0.2705028807169784	0.3392321110055685	1.0	0.03754411637689561
