EVENT_LOG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES	DISCOVERY_ALG
4a_VARA_CIVEL_-_TJGO.xes	-1	-1	-1	-1	0.5119047619047621	0.8636363636363636	0.9297297297297298	0.580078125	0.602058	0.587377	0.616092	0.0164	0.0	-1.1761	-30	-1	-1	-0.4413	-2.1614	-1	0.755859375	0.030522	0.030399	0.030543	-2.2855	-2.4845	-0.6018632147607312	-1	-1	6	8	9	3.5556	6	0.561	-1	0.3929	0.0357	2.0588	0.1735	0.0574	2.0588	115	3.0	2.7255	0.2083	0.6	2.141	339	98	16	HEU_MINER
BPI_Challenge_2014_Control summary.xes.gz	-1	-1	-1	-1	0.8486090187416778	0.6153846153846154	0.7741935483870968	0.2084862612836028	0.216035	0.218695	0.221698	-0.1712	0.0	-0.9846	-3	-1	-1	0.7832	-1.1393	-1	0.0	0.0	0.0	0.0	-0.9669	-1.099	0.4478506386848034	-1	-1	2	4	6	2.0	3	1.0	-1	0.3333	0.1667	1.0	0.0	0.0	-0.0	8857	8857.0	1.5	0.3333	1.0	1.281	43808	59	7	HEU_MINER
DocumentProcessingENG.xes.gz	-1	-1	-1	-1	0.7745395830073515	0.2	0.5555555555555556	0.10462079624793477	0.110502	0.108153	0.109771	0.3021	0.5	0.775	0	-1	-1	0.8797	0.1465	-1	0.8079617179707783	0.391671	0.393152	0.390357	0.2013	-0.4313	-3.2203247760645706	-1	-1	13	9	16	2.75	3	0.76	-1	0.2857	0.2143	2.281	0.0	0.0	-0.0	18768	18768.0	0.7642	0.2083	0.6	1.7866	18352	3	10	HEU_MINER
BPI_Challenge_2012.xes.gz	-1	-1	-1	-1	0.6788883813568982	0.7301587301587301	0.8430379746835444	0.36599542334096097	0.37165	0.369022	0.371703	0.0655	-0.0833	0.5187	-7	-1	-1	0.1414	0.2268	-1	0.6179176201372998	0.10118	0.100796	0.100728	-1.8799	-2.134	-0.0388564157668316	-1	-1	28	16	24	3.7917	8	0.5965	-1	0.5526	0.1316	3.8209	0.0312	0.003	3.1416	10981	175.0	3.6304	0.1095	0.4565	3.1488	13087	4366	24	HEU_MINER
BPI_Challenge_2020_InternationalDeclarations.xes.gz	-1	-1	-1	-1	0.4800509692871786	0.9035532994923858	0.9398797595190381	0.37439536527560374	0.38099	0.375205	0.378626	0.0081	0.0	-0.9541	-18	-1	-1	0.0077	-1.591	-1	0.0	0.0	0.0	0.0	-3.2483	-3.2898	-0.0632561239055532	-1	-1	11	17	19	3.1053	6	0.662	-1	0.719	0.0556	2.9311	0.1705	0.0391	2.6873	4074	949.0	3.8269	0.0965	0.5758	2.6935	6449	753	34	HEU_MINER
BPI_Challenge_2019_log_IEEE.xes.gz	-1	-1	-1	-1	0.7328360857085334	0.966	0.9888809182209469	0.3578790536153729	0.361432	0.358671	0.36037	0.0493	-0.5	-3.7525	-39	-1	-1	-0.1463	-2.467	-1	0.0	0.0	0.0	0.0	-4.9681	-4.8689	-0.2545579449033033	-1	-1	4	8	10	2.6	4	0.7333	-1	0.1905	0.0595	1.75	0.2413	0.1822	2.25	76599	39227.5	2.75	0.1964	0.7273	1.9777	251734	11973	42	HEU_MINER
BPI_Challenge_2014_Reference alignment.xes.gz	-1	-1	-1	-1	0.9740768772327494	0.75	0.8444444444444444	0.084742598441122	0.093965	0.088071	0.091284	0.1176	-0.5	-1.0625	-3	-1	-1	0.2326	-1.9528	-1	0.0	0.0	0.0	0.0	-1.124	-1.5862	-0.3106950402611304	-1	-1	4	3	6	2.3333	3	0.8667	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	39085	8351.0	1.585	0.5	1.0	0.993	43802	515	6	HEU_MINER
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	-1	-1	-1	-1	0.5416762659438414	0.8484848484848485	0.884393063583815	0.3716649317920335	0.376303	0.372212	0.377543	-0.0103	-0.1667	-0.4048	-8	-1	-1	0.2047	-0.4362	-1	0.01610694132471375	0.003695	0.003668	0.003669	-2.6252	-2.6001	0.0005672892327728106	-1	-1	10	18	19	3.2105	6	0.6267	-1	0.3782	0.0577	3.182	0.0728	0.0433	3.1281	903	478.5	3.5216	0.1374	0.56	2.4058	2099	202	29	HEU_MINER
Road_Traffic_Fine_Management_Process.xes.gz	-1	-1	-1	-1	0.6657287292487061	0.9577464788732394	0.9811320754716981	0.6133364204677008	0.640843	0.61687	0.625431	-0.1162	-0.5	-1.6526	-5	-1	-1	-0.8249	-2.2941	-1	0.0	0.0	0.0	0.0	-3.6722	-4.0082	0.022999583859957436	-1	-1	0	3	3	2.0	3	1.0	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	66756	0.0	1.585	0.3333	1.5	0.9813	150370	231	11	HEU_MINER
BPI_Challenge_2013_incidents.xes.gz	-1	-1	-1	-1	0.976821354351705	0.5384615384615384	0.6590909090909091	0.04181035798211616	0.043666	0.045574	0.045814	0.1608	0.5	-0.8846	-5	-1	-1	0.0081	-1.5001	-1	0.0	0.0	0.0	0.0	-0.6692	-0.917	-0.5243040119015213	-1	-1	7	3	7	2.8571	4	0.7391	-1	0.5	0.0	0.9183	0.0968	0.0484	0.9183	11431	3113.0	1.585	1.1667	0.4286	0.9748	7554	1511	4	HEU_MINER
BPI_Challenge_2020_DomesticDeclarations.xes.gz	-1	-1	-1	-1	0.8408122626126294	0.8292682926829268	0.9090909090909091	0.18571352813278877	0.190687	0.188855	0.198668	-0.129	-0.5	-1.0034	-8	-1	-1	-0.3315	-1.6744	-1	0.0	0.0	0.0	0.0	-2.2202	-2.3423	0.030737778924787865	-1	-1	1	6	7	2.0	3	1.0	-1	0.3	0.1	2.2516	0.0	0.0	-0.0	3865	3169.0	1.585	0.2	1.0	1.6431	10500	99	17	HEU_MINER
BPI_Challenge_2013_open_problems.xes.gz	-1	-1	-1	-1	0.9074818618678278	0.4	0.5161290322580645	0.11846828879138413	0.138568	0.134414	0.136281	0.0097	-0.3	-0.6	-4	-1	-1	0.2693	-0.1948	-1	0.0	0.0	0.0	0.0	-0.5974	-0.5829	-0.17898313454186512	-1	-1	3	3	4	3.0	5	0.7143	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	496	36.0	1.585	0.6667	0.75	0.9825	819	108	3	HEU_MINER
edited_hh102_labour.xes.gz	-1	-1	-1	-1	0.9635233756271057	0.592156862745098	0.9520435967302452	0.03819444444444444	0.038831	0.038372	0.038276	0.175	0.3698	13.6453	218	-1	-1	0.6049	-0.1048	-1	14.31163194444436	0.697703	0.695391	0.696043	1.0566	0.7638	-0.38995884240952167	-1	-1	39	16	30	3.7333	10	0.6115	-1	0.3613	0.0561	3.5249	0.1091	0.0348	3.4194	74	17.0	3.6144	0.2712	0.2169	2.8104	18	18	18	IMd
activitylog_uci_detailed_weekends.xes.gz	-1	-1	-1	-1	1.0	0.6183574879227053	0.9495628782784129	0.0	0.0	0.0	0.0	0.1392	0.1002	12.4684	192	-1	-1	0.4029	-1.2446	-1	14.596311475409852	0.750894	0.746448	0.748221	1.5792	1.2436	0.31448766586507776	-1	-1	35	15	26	3.8462	11	0.6129	-1	0.3535	0.0723	3.4566	0.0792	0.0433	3.7736	80	18.0	3.5069	0.3667	0.1948	2.6248	10	10	15	IMd
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	-1	-1	-1	-1	0.9898806892341375	0.66	0.8308457711442786	0.021680216802168015	0.022403	0.022139	0.02209	0.3135	0.3682	3.5152	27	-1	-1	-0.1155	-0.4147	-1	5.261324041811846	0.596371	0.591564	0.606771	0.2819	0.1403	-0.18817489736943468	-1	-1	7	6	8	3.25	6	0.6774	-1	0.45	0.225	2.585	0.0	0.0	-0.0	210	153.0	2.585	0.4	0.5	1.7747	232	33	12	IMd
activitylog_uci_detailed_labour.xes.gz	-1	-1	-1	-1	0.9993333333333334	0.5477178423236515	0.9373461012311901	0.0014367816091954023	0.00146	0.001463	0.00144	0.1098	-0.1302	13.1208	227	-1	-1	0.4073	-1.5258	-1	14.732040229885063	0.696167	0.691606	0.693358	1.3479	0.9466	0.5800229851732063	-1	-1	24	16	20	4.1	13	0.5769	-1	0.5405	0.0619	3.5778	0.067	0.0324	3.875	146	25.0	3.1556	0.3667	0.1818	2.832	25	25	16	IMd
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	-1	-1	-1	-1	0.403086747499983	0.9405940594059405	0.9741379310344828	0.7716553548832376	0.794897	0.780098	0.793993	-0.0549	-0.5	-1.297	-9	-1	-1		-2.8693	-1	0.0	0.0	0.0	0.0	-3.3415	-3.4383	0.06619876479740265	-1	-1	0	6	7	1.7143	2	1.0	-1	0.3	0.2	1.585	0.0	0.0	-0.0	123	123.0	0.9183	0.1667	1.2	1.6461	1434	116	27	IMd
ElectronicInvoicingENG.xes.gz	-1	-1	-1	-1	0.9614197587336664	0.6304347826086957	0.8869047619047619	0.033517781445167136	0.034581	0.035457	0.034726	0.0897	0.0	2.4413	5	-1	-1	-0.4679	1.7566	-1	3.88995890366631	0.693155	0.683558	0.689592	0.9896	1.0202	-0.4515762036937159	-1	-1	13	9	16	2.75	3	0.76	-1	0.2857	0.2143	2.281	0.0	0.0	-0.0	21444	21444.0	0.7642	0.2083	0.6	1.7866	20135	7	9	IMd
BPI_Challenge_2014_Inspection.xes.gz	-1	-1	-1	-1	0.8448985335235483	0.6701570680628273	0.9226828132277597	0.08484348842031791	0.086172	0.085892	0.085185	0.01	-0.5	8.5998	4	-1	-1	0.0041	-1.273	-1	5.525200159824398	0.407802	0.401171	0.400065	1.5553	1.1703	0.015636990415428834	-1	-1	31	15	30	3.2667	6	0.6333	-1	0.522	0.0604	2.5968	0.0163	0.0029	3.2402	64529	1782.0	3.9069	0.3	0.2381	2.5179	5485	3190	15	IMd
BPI_Challenge_2014_Geo parcel document.xes.gz	-1	-1	-1	-1	0.23553096348827604	0.7443609022556391	0.8326241134751773	0.5685117417328248	0.581663	0.571567	0.5791	0.0386	-0.1818	0.2808	-5	-1	-1	-0.029	-1.3037	-1	0.7115576176764598	0.093469	0.090858	0.091239	-1.2211	-1.6112	-0.042913871558511715	-1	-1	18	8	18	3.0	5	0.6875	-1	0.5	0.125	2.9477	0.127	0.0622	2.6416	13155	3209.0	3.1699	0.3333	0.375	2.1282	29059	9274	16	IMd
4a_VARA_CIVEL_-_TJGO.xes	-1	-1	-1	-1	0.20353982300884957	0.96875	0.9888888888888889	0.865234375	0.993134	0.874357	0.92989	-0.3036	-1.0	-1.8125	-36	-1	-1		-3.0273	-1	0.0	0.0	0.0	0.0	-3.7352	-3.9527	0.7232982409508654	-1	-1	0	1	2	1.0	1	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	339	98	16	IMd
BPI_Challenge_2014_Department control parcels.xes.gz	-1	-1	-1	-1	0.8208348977711029	0.9047619047619048	0.9642857142857143	0.3198806510457172	0.355116	0.332795	0.346887	-0.265	-0.5	-1.6667	-4	-1	-1		-2.7373	-1	0.0	0.0	0.0	0.0	-1.7458	-2.4426	0.05431020084136792	-1	-1	0	1	2	1.0	1	1.0	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	2366	2366.0	0.9183	0.3333	1.5	0.9698	29297	349	6	IMd
BPI_Challenge_2014_Entitlement application.xes.gz	-1	-1	-1	-1	0.0	0.9935064935064936	1.0	0.999999999999998	1.020795	1.003294	1.013966	-0.0891	-0.5	-2.8758	-14	-1	-1		-3.8712	-1	0.05203839792664836	0.017447	0.017368	0.017576	-4.3935	-5.0257	0.023044588862959254	-1	-1	1	0	2	1.0	1	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	15260	2553	20	IMd
BPI_Challenge_2014_Control summary.xes.gz	-1	-1	-1	-1	0.995651586723166	0.6153846153846154	0.7419354838709677	0.0112960023807162	0.0122	0.011945	0.012115	0.0454	0.0	-0.7846	-3	-1	-1	0.2701	-1.1393	-1	0.0	0.0	0.0	0.0	-1.2163	-1.1514	-0.33052512129504275	-1	-1	5	4	8	2.25	3	0.8947	-1	0.3333	0.1667	1.0	0.0	0.0	-0.0	38138	22235.0	2.0	0.3333	1.0	1.4945	43808	59	7	IMd
DocumentProcessingENG.xes.gz	-1	-1	-1	-1	0.0	0.9523809523809523	1.0	0.9999999999999998	1.057356	1.0	1.050841	0.0	0.0	-0.1	-1	-1	-1		-0.7219	-1	0.06986394195262713	0.036245	0.034932	0.035348	-1.3315	-1.6188	0.0	-1	-1	1	0	2	1.0	1	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	18352	3	10	IMd
edited_hh110_labour.xes.gz	-1	-1	-1	-1	0.9961389961389961	0.5899581589958159	0.9538677918424754	0.004316546762589928	0.004374	0.004342	0.004328	0.1702	0.3675	13.4354	220	-1	-1	0.583	0.6926	-1	14.575539568345203	0.734354	0.731362	0.732084	1.318	1.0315	-0.2364657668015958	-1	-1	27	16	21	4.0952	13	0.5926	-1	0.4029	0.0437	3.5	0.1096	0.0251	3.5778	126	16.0	3.0306	0.3167	0.2105	2.894	21	21	17	IMd
BPI_Challenge_2012.xes.gz	-1	-1	-1	-1	0.6957449145141466	0.8714285714285714	0.9318181818181818	0.6190465293668963	0.631479	0.62295	0.628729	0.0954	-0.1333	2.5978	-8	-1	-1	0.0717	-1.506	-1	0.9871434019832193	0.146233	0.145572	0.145425	-2.2775	-2.1858	-0.011567759559336806	-1	-1	12	7	13	3.0769	6	0.6667	-1	0.5667	0.1	2.1281	0.2195	0.0564	2.5216	4941	2213.0	2.8074	0.3571	0.4667	1.8379	13087	4366	24	IMd
edited_hh104_weekends.xes.gz	-1	-1	-1	-1	1.0	0.4752186588921283	0.9479601670414392	0.0	0.0	0.0	0.0	0.15	0.3506	16.3516	326	-1	-1	0.7458	-0.0201	-1	15.415509259258958	0.649792	0.64801	0.648663	1.3042	0.8232	-0.1540279983652381	-1	-1	15	19	13	5.2308	14	0.5281	-1	0.2558	0.0458	3.9058	0.0501	0.0187	4.0588	200	40.0	3.5724	0.4869	0.1208	3.0879	18	18	19	IMd
BPI_Challenge_2020_InternationalDeclarations.xes.gz	-1	-1	-1	-1	0.7356426830766227	0.9289340101522843	0.9679358717434869	0.35341159512688713	0.359955	0.35454	0.358641	-0.0287	-0.5	-1.3901	-20	-1	-1	-0.4867	-2.2369	-1	0.0	0.0	0.0	0.0	-3.6285	-3.7289	0.031963721622327336	-1	-1	2	12	13	2.1538	3	0.931	-1	0.3545	0.1273	2.9183	0.0926	0.0	1.0409	1991	1680.0	1.614	0.0909	1.0	2.1686	6449	753	34	IMd
Hospital Billing - Event Log.xes.gz	-1	-1	-1	-1	0.5164672919644132	0.9655172413793104	0.9892008639308856	0.48017022282640875	0.490674	0.48238	0.49594	-0.1279	-1.0	-2.1931	-13	-1	-1		-3.464	-1	0.0	0.0	0.0	0.0	-4.3549	-4.4861	0.029909820201061078	-1	-1	0	5	6	1.6667	2	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	100000	1020	18	IMd
BPI_Challenge_2019_log_IEEE.xes.gz	-1	-1	-1	-1	0.6907319658517943	0.98	0.9953371592539455	0.4778953412586567	0.486283	0.47883	0.482832	-0.0921	-1.0	-4.276	-41	-1	-1	-0.1913	-3.1276	-1	0.0	0.0	0.0	0.0	-5.5924	-5.4579	0.034401267247346594	-1	-1	1	6	8	2.0	3	0.8824	-1	0.3	0.1	1.4591	0.1666	0.1127	2.2516	72194	59980.0	2.2516	0.3	0.6667	1.7194	251734	11973	42	IMd
BPI_Challenge_2014_Reference alignment.xes.gz	-1	-1	-1	-1	0.9740768772327494	0.75	0.8444444444444444	0.084742598441122	0.093965	0.088071	0.091284	0.1176	-0.5	-1.0625	-3	-1	-1	0.2326	-1.9528	-1	0.0	0.0	0.0	0.0	-1.124	-1.5862	-0.3106950402611304	-1	-1	5	3	7	2.2857	3	0.8824	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	9095	9095.0	1.585	0.5	1.0	0.9698	43802	515	6	IMd
BPI_Challenge_2020_PermitLog.xes.gz	-1	-1	-1	-1	0.4899379596418206	0.783206106870229	0.9106657608695652	0.4355690047469956	0.443246	0.436069	0.438441	-0.0003	-0.5	3.9205	-6	-1	-1	0.2116	1.2449	-1	4.619419965119388	0.220727	0.218872	0.219097	-1.1769	-1.1012	-0.001959094861833012	-1	-1	22	23	24	3.8333	8	0.6	-1	0.6975	0.0833	3.6733	0.1906	0.0204	2.5773	1898	449.0	4.2937	0.0733	0.5682	3.1547	7065	1478	51	IMd
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	-1	-1	-1	-1	0.7156441172311483	0.9096385542168675	0.9510086455331412	0.3267408097299071	0.333759	0.327509	0.331926	-0.0306	-0.5	-0.8348	-11	-1	-1	-0.1355	-1.3015	-1	0.009258751985974908	0.003156	0.003105	0.003105	-3.0846	-3.3007	0.01972749211043362	-1	-1	1	12	11	2.3636	4	0.8571	-1	0.2727	0.0818	3.0221	0.0	0.0	-0.0	216	126.0	1.9591	0.0985	0.9231	2.3397	2099	202	29	IMd
Road_Traffic_Fine_Management_Process.xes.gz	-1	-1	-1	-1	0.3105568697741302	0.971830985915493	0.9905660377358491	0.8337880919728565	0.893612	0.838799	0.865053	-0.1162	-0.5	-1.9859	-6	-1	-1		-3.2124	-1	0.0	0.0	0.0	0.0	-3.642	-3.9798	0.022999583859957436	-1	-1	0	2	3	1.3333	2	1.0	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	46371	23185.5	-0.0	0.5	2.0	1.0	150370	231	11	IMd
BPI_Challenge_2013_incidents.xes.gz	-1	-1	-1	-1	0.6767571316376471	0.5714285714285714	0.723404255319149	0.41682180242316963	0.474008	0.446569	0.457623	0.0016	0.1667	-1.0989	-6	-1	-1	-0.3153	-0.8492	-1	0.2305368205816828	0.02231	0.021087	0.021352	-0.5227	-0.8659	-0.07749308478544784	-1	-1	6	3	7	2.5714	3	0.8	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	4856	824.0	1.585	0.6667	0.75	0.9975	7554	1511	4	IMd
BPI_Challenge_2020_DomesticDeclarations.xes.gz	-1	-1	-1	-1	0.6712786713499015	0.8536585365853658	0.9318181818181818	0.3670962153753689	0.377373	0.370619	0.385848	-0.129	-0.5	-1.1463	-9	-1	-1		-2.5375	-1	0.0	0.0	0.0	0.0	-2.3254	-2.5807	0.030737778924787865	-1	-1	0	6	7	1.7143	2	1.0	-1	0.3333	0.25	1.5219	0.0	0.0	-0.0	4618	4618.0	0.971	0.2	1.25	1.3486	10500	99	17	IMd
Sepsis Cases - Event Log.xes.gz	-1	-1	-1	-1	0.8950851880004236	0.547244094488189	0.8957307060755336	0.11772052057315646	0.121305	0.117982	0.118244	-0.0088	-0.3333	10.0267	191	-1	-1	0.1487	-1.7709	-1	19.04502431970536	0.426691	0.42074	0.42905	1.0438	1.0222	0.1253072040154301	-1	-1	18	16	20	3.8	7	0.551	-1	0.3119	0.1131	3.875	0.0346	0.0226	3.75	1728	373.0	4.0	0.4458	0.1495	2.978	1050	846	16	IMd
BPI_Challenge_2013_open_problems.xes.gz	-1	-1	-1	-1	0.5155072278505866	0.6	0.7741935483870968	0.5384922217790187	0.602176	0.595914	0.617072	-0.026	0.0	-1.35	-5	-1	-1	0.4503	-0.4464	-1	0.0	0.0	0.0	0.0	-0.9602	-0.9632	-0.284126661976216	-1	-1	2	2	4	2.0	3	1.0	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	216	0.0	1.585	0.3333	1.5	0.993	819	108	3	IMd
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	-1	-1	-1	-1	0.5128236060075506	0.9172185430463576	0.9523809523809523	0.43791525173483237	0.443779	0.439887	0.4421	0.0242	-0.1667	-1.513	-22	-1	-1	0.2813	-1.1391	-1	0.015207441311088143	0.00076	0.00076	0.000762	-3.3676	-3.5513	-0.5069177636775333	-1	-1	13	66	72	2.1944	3	0.9152	-1	0.3599	0.0106	4.3898	0.0259	0.0067	4.3719	2280	10.5	4.5464	0.1718	0.1493	4.1653	206	206	42	ETM
activitylog_uci_detailed_weekends.xes.gz	-1	-1	-1	-1	0.36377746565005226	0.5365853658536586	0.7317073170731707	0.4979508196721305	0.50425	0.50522	0.510502	-0.0019	0.2222	-0.4841	-5	-1	-1	0.4369	-0.6162	-1	0.21926229508196723	0.050831	0.050773	0.050711	-1.0265	-0.9087	0.12637565223783107	-1	-1	6	61	66	2.0606	3	0.9568	-1	0.4089	0.0737	3.4566	0.078	0.0457	3.7736	88	20.0	3.6402	0.3714	0.1923	2.5841	10	10	15	ETM
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	-1	-1	-1	-1	0.9602834577991085	0.6285714285714286	0.676923076923077	0.05652342237708087	0.059134	0.057923	0.057837	0.1884	0.3	-0.1363	-2	-1	-1	0.3126	-0.9825	-1	0.04529616724738676	0.009184	0.009348	0.009081	-1.2897	-1.5814	-1.43536700606163	-1	-1	7	13	15	2.6667	4	0.7778	-1	0.4121	0.0712	3.2516	0.0635	0.0192	2.6887	440	183.0	3.4183	0.2576	0.3529	2.5372	232	33	12	ETM
activitylog_uci_detailed_labour.xes.gz	-1	-1	-1	-1	0.55117642699157	0.5727272727272728	0.7112970711297071	0.32040229885057475	0.324384	0.323869	0.326138	0.0175	0.0	-0.4617	-4	-1	-1	0.2663	-0.424	-1	0.1257183908045977	0.044365	0.04385	0.043682	-1.0437	-1.2697	-0.06111976255827864	-1	-1	10	94	100	2.24	11	0.8361	-1	0.3056	0.1063	4.0	0.0395	0.0278	4.0	270	51.0	3.875	0.4542	0.1468	2.7288	25	25	16	ETM
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	-1	-1	-1	-1	0.6342574784003225	0.6239316239316239	0.7534722222222222	0.2703830109973453	0.274634	0.273077	0.274778	-0.0371	0.0	-0.6891	-6	-1	-1	0.0207	-0.8646	-1	0.018581721653394008	0.004096	0.004084	0.004081	-1.1943	-1.382	0.12378083342540339	-1	-1	17	132	139	2.1439	3	0.9351	-1	0.5977	0.0412	3.7442	0.0237	0.0094	3.9161	611	33.0	4.3923	0.2738	0.1826	3.3178	36	36	21	ETM
ElectronicInvoicingENG.xes.gz	-1	-1	-1	-1	0.8959319953218896	0.10526315789473684	0.3333333333333333	0.06089052842766074	0.063289	0.064309	0.068246	0.0203	0.1667	-0.0279	0	-1	-1	0.1271	-0.1723	-1	0.12819467365627935	0.0543	0.053654	0.053976	-0.2198	-0.3703	-0.5762457713620202	-1	-1	4	17	19	2.2105	3	0.9091	-1	0.3036	0.125	2.9477	0.0	0.0	-0.0	45374	37058.0	2.5033	0.25	0.5	1.7924	20135	7	9	ETM
BPI_Challenge_2014_Inspection.xes.gz	-1	-1	-1	-1	0.6139654463146232	0.7647058823529411	0.8900523560209425	0.2605390532933437	0.266829	0.264481	0.265768	-0.0327	-0.5	-1.4963	-6	-1	-1	-0.1021	-2.1635	-1	0.0	0.0	0.0	0.0	-1.4537	-2.1297	0.011425157785152925	-1	-1	3	28	30	2.0667	3	0.9683	-1	0.5769	0.0659	2.8729	0.0163	0.0029	3.4566	124193	3632.0	3.9069	0.319	0.2239	2.5799	5485	3190	15	ETM
BPI_Challenge_2014_Geo parcel document.xes.gz	-1	-1	-1	-1	0.6958975602054736	0.8536585365853658	0.9163879598662207	0.3125811433058855	0.318081	0.314672	0.317286	0.0751	0.0	-1.9051	-8	-1	-1	0.0035	-1.6059	-1	0.06440867941300998	0.028248	0.027299	0.027559	-2.2523	-2.6807	-0.09708830386109948	-1	-1	25	8	31	3.2258	11	0.4706	-1	0.3421	0.0897	3.875	0.0177	0.0025	3.5	140472	5657.0	4.0	0.5042	0.1322	2.8819	29059	9274	16	ETM
4a_VARA_CIVEL_-_TJGO.xes	-1	-1	-1	-1	0.7321147633094535	0.6022727272727273	0.7927927927927928	0.2333984375	0.264129	0.235342	0.239429	-0.0592	-0.5529	5.4926	18	-1	-1	0.1637	-0.3136	-1	12.0595703125	0.41072	0.3887	0.39301	-0.7182	-0.258	0.42425140272023926	-1	-1	30	13	32	4.4375	16	0.3589	-1	0.6032	0.077	3.75	0.0978	0.0363	3.3278	202	7.0	3.875	0.2583	0.2581	2.9119	339	98	16	ETM
BPI_Challenge_2014_Department control parcels.xes.gz	-1	-1	-1	-1	0.9937391488222626	0.5	0.5909090909090909	0.008470381944935447	0.008891	0.008806	0.008858	0.1075	0.0	0.4166	3	-1	-1	-0.1471	-0.3819	-1	2.107597890181993	0.229085	0.216144	0.214511	-0.4221	-0.673	-0.08425617674411853	-1	-1	6	5	9	2.6667	4	0.7143	-1	0.25	0.05	1.7925	0.0473	0.018	2.2516	8982	1565.0	2.585	0.6333	0.3158	1.9579	29297	349	6	ETM
BPI_Challenge_2014_Entitlement application.xes.gz	-1	-1	-1	-1	0.9243735614113614	0.8366013071895425	0.9270315091210614	0.12021688349332459	0.121912	0.121048	0.121711	0.0555	0.0	-1.7158	-9	-1	-1	0.0637	-1.2565	-1	0.2815597878906717	0.030118	0.029867	0.029882	-2.3023	-2.6035	-0.09204031469726459	-1	-1	44	22	60	3.5333	11	0.4228	-1	0.5283	0.0504	3.7414	0.0102	0.0008	4.2219	79058	725.5	4.3219	0.4	0.1316	3.2111	15260	2553	20	ETM
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	-1	-1	-1	-1	0.6170972471576118	0.782258064516129	0.8847457627118644	0.410071942446044	0.416584	0.413702	0.417497	-0.0594	0.0	-0.8492	-13	-1	-1	0.479	-0.9352	-1	0.11151079136690649	0.008611	0.008589	0.008597	-1.8808	-2.0567	0.2927872842127214	-1	-1	11	60	65	2.4308	11	0.7556	-1	0.7407	0.0032	3.1966	0.0388	0.0064	2.856	1109	50.0	4.1558	0.1441	0.2479	3.7358	116	112	29	ETM
