EVENT_LOG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES	DISCOVERY_ALG
BPI_Challenge_2014_Department control parcels.xes.gz	-1	-1	-1	-1	0.8208348977711029	0.9047619047619048	0.9642857142857143	0.3198806510457172	0.355116	0.332795	0.346887	-0.265	-0.5	-1.6667	-4	-1	-1		-2.7373	-1	0.0	0.0	0.0	0.0	-1.7458	-2.4426	0.05431020084136792	-1	-1	0	1	2	1.0	1	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	29297	349	6	IMf
BPI_Challenge_2014_Entitlement application.xes.gz	-1	-1	-1	-1	0.9131634308809166	0.9411764705882353	0.9798319327731092	0.15274940749202853	0.156504	0.153705	0.154651	0.1516	0.0	-2.3202	-13	-1	-1	-0.1279	-2.3407	-1	0.10407338573547716	0.04379	0.043835	0.043615	-3.6631	-4.0027	-1.001126524857992	-1	-1	4	6	8	2.5	3	0.8182	-1	0.4333	0.1667	2.1281	0.1538	0.0	1.3788	14750	5900.0	2.5216	0.2381	0.7	1.8017	15260	2553	20	IMf
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	-1	-1	-1	-1	0.7179069276683381	0.7243589743589743	0.8635057471264368	0.29271582733812973	0.299022	0.296401	0.29548	0.0281	-0.2	3.9566	-7	-1	-1	0.1975	0.3637	-1	2.599820143884893	0.287449	0.285817	0.287039	-0.6732	-0.7312	0.3266384734582967	-1	-1	46	12	38	3.1579	5	0.6667	-1	0.7344	0.0298	3.0946	0.0372	0.0075	3.1723	663	41.0	4.2084	0.1496	0.2571	3.642	116	112	29	IMf
BPI_Challenge_2014_Control summary.xes.gz	-1	-1	-1	-1	0.995651586723166	0.6153846153846154	0.7419354838709677	0.0112960023807162	0.0122	0.011945	0.012115	0.0454	0.0	-0.7846	-3	-1	-1	0.2701	-1.1393	-1	0.0	0.0	0.0	0.0	-1.2163	-1.1514	-0.33052512129504275	-1	-1	5	4	8	2.25	3	0.8947	-1	0.3333	0.1667	1.0	0.0	0.0	-0.0	35659	20420.0	2.0	0.3333	1.0	1.5082	43808	59	7	IMf
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	-1	-1	-1	-1	0.5478767874471431	0.9201520912547528	0.9345238095238095	0.49327588458023197	0.500601	0.496073	0.499167	0.1854	0.3333	0.7301	-7	-1	-1	-0.0447	0.1177	-1	0.9741480611045827	0.0541	0.053624	0.053673	-2.7576	-3.0542	-0.11156236853576652	-1	-1	27	11	25	3.12	4	0.6774	-1	0.4727	0.0111	3.7893	0.0211	0.0073	3.4442	2109	10.0	4.6807	0.1216	0.1913	4.418	52	52	45	IMf
DocumentProcessingENG.xes.gz	-1	-1	-1	-1	0.37647370611082687	0.7	0.7692307692307693	0.7875910797085447	0.834941	0.804822	0.831244	0.25	0.5	0.5667	0	-1	-1	0.6645	0.7372	-1	0.17606840209835467	0.077548	0.082937	0.077532	-1.2259	-0.9392	-0.617538133605306	-1	-1	3	4	6	2.3333	3	0.8667	-1	0.2857	0.2143	2.281	0.0	0.0	-0.0	18768	18768.0	0.7642	0.2083	0.6	1.7866	18352	3	10	IMf
BPI_Challenge_2012.xes.gz	-1	-1	-1	-1	0.6977331091443923	0.7469879518072289	0.9058219178082192	0.48779176201372976	0.496418	0.49093	0.494163	-0.0265	-0.1667	0.8272	-5	-1	-1	0.0623	0.5865	-1	0.8539969488939742	0.132406	0.130727	0.131144	-1.007	-0.7957	0.08750140273090587	-1	-1	36	22	43	2.8372	5	0.7063	-1	0.6	0.1333	3.8408	0.0255	0.0031	3.0773	11500	194.0	3.5681	0.1126	0.4231	3.2565	13087	4366	24	IMf
edited_hh104_weekends.xes.gz	-1	-1	-1	-1	0.3983134346081376	0.7743589743589744	0.8716356107660456	0.5694444444444453	0.576536	0.577919	0.578235	0.1507	0.3333	1.9458	-6	-1	-1	0.6315	2.2296	-1	1.2552083333333333	0.210605	0.20963	0.20864	-1.5405	-1.8141	-0.5928924104464586	-1	-1	46	14	39	3.1282	5	0.6828	-1	0.1601	0.0404	3.9977	0.0395	0.0146	4.1427	288	42.0	4.0374	0.4737	0.1173	3.1579	18	18	19	IMf
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	-1	-1	-1	-1	0.5031159540074941	0.7430167597765364	0.8888228299643282	0.42290104261935024	0.430893	0.424039	0.426606	-0.0174	-0.5	2.2764	10	-1	-1	-0.2034	0.9113	-1	1.8534845436253964	0.090911	0.089781	0.089923	-0.4573	-0.4905	0.0306840820194914	-1	-1	48	24	45	3.4222	9	0.6126	-1	0.2459	0.0311	4.7362	0.0281	0.0039	4.4958	2054	14.0	4.5702	0.1727	0.1609	4.1322	131	128	38	IMf
BPI_Challenge_2020_InternationalDeclarations.xes.gz	-1	-1	-1	-1	0.8285203304837914	0.8050847457627118	0.8909090909090909	0.2060955496112314	0.210597	0.207058	0.207864	0.0418	-0.2167	2.3611	-13	-1	-1	0.0896	0.2495	-1	2.702291028537373	0.278701	0.278625	0.278416	-1.3709	-1.3023	-0.03797127954470237	-1	-1	10	17	22	2.7273	6	0.6901	-1	0.4458	0.1	3.2195	0.2447	0.0469	2.911	2201	1290.0	3.5725	0.0993	0.6296	2.3834	6449	753	34	IMf
Hospital Billing - Event Log.xes.gz	-1	-1	-1	-1	0.6972987834826678	0.9246575342465754	0.9617834394904459	0.37606916991041384	0.39677	0.378287	0.386737	0.2307	0.0	-1.0264	-9	-1	-1	-0.3344	-1.3382	-1	0.06426207222649095	0.005894	0.005873	0.005871	-3.2165	-3.4887	-0.3056785383157229	-1	-1	4	5	6	3.0	4	0.7143	-1	0.3333	0.25	1.5219	0.0	0.0	-0.0	20902	20902.0	0.971	0.2	1.25	1.3486	100000	1020	18	IMf
