EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
BPI_Challenge_2020_InternationalDeclarations.xes.gz	1.0	0.8424	0.4	0.5	1993.0	IMd	-1	-1	-1	-1	0.7356426830766227	0.9289340101522844	0.9679358717434868	0.35341159512688713	0.359955	0.35454	0.358641	-0.0287	-0.5	-1.3901	-20	-1	-1	-0.4867	-2.2369	-1	0.0	0.0	0.0	0.0	-3.6285	-3.7289	0.031963721622327336	-1	-1	2	12	13	2.1538	3	0.9309999999999999	-1	0.3545	0.1273	2.9183	0.0926	0.0	1.0409	1991	1680.0	1.614	0.0909	1.0	2.1686	6449	753	34
Hospital Billing - Event Log.xes.gz	1.0	0.7709999999999999	0.6	0.5	20902.0	IMd	-1	-1	-1	-1	0.5164672919644132	0.9655172413793104	0.9892008639308856	0.4801702228264088	0.490674	0.48238000000000003	0.49593999999999994	-0.1279	-1.0	-2.1931	-13	-1	-1		-3.464	-1	0.0	0.0	0.0	0.0	-4.3549	-4.4861	0.02990982020106108	-1	-1	0	5	6	1.6667	2	1.0	-1	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	-1.0	-1.0	-1.0	100000	1020	18
BPI_Challenge_2019_log_IEEE.xes.gz	1.0	0.7702	0.5	0.5	92467.0	IMd	-1	-1	-1	-1	0.6907319658517943	0.98	0.9953371592539456	0.4778953412586567	0.48628299999999997	0.47883000000000003	0.482832	-0.0921	-1.0	-4.276	-41	-1	-1	-0.1913	-3.1276	-1	0.0	0.0	0.0	0.0	-5.5924	-5.4579	0.034401267247346594	-1	-1	1	6	8	2.0	3	0.8824	-1	0.3	0.1	1.4591	0.1666	0.1127	2.2516	72194	59980.0	2.2516	0.3	0.6667	1.7194	251734	11973	42
BPI_Challenge_2014_Reference alignment.xes.gz	1.0	0.9818	0.9	0.9	34987.0	IMd	-1	-1	-1	-1	0.9740768772327494	0.75	0.8444444444444444	0.084742598441122	0.09396499999999999	0.08807100000000001	0.091284	0.1176	-0.5	-1.0625	-3	-1	-1	0.2326	-1.9528	-1	0.0	0.0	0.0	0.0	-1.124	-1.5862	-0.3106950402611304	-1	-1	5	3	7	2.2857	3	0.8824	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	9095	9095.0	1.585	0.5	1.0	0.9698	43802	515	6
BPI_Challenge_2020_PermitLog.xes.gz	0.2304	0.7681	0.6	0.5	1675.0	IMd	-1	-1	-1	-1	0.4899379596418206	0.783206106870229	0.9106657608695652	0.4355690047469956	0.44324600000000003	0.436069	0.43844099999999997	-0.0003	-0.5	3.9205	-6	-1	-1	0.2116	1.2449	-1	4.619419965119388	0.220727	0.21887199999999998	0.219097	-1.1769	-1.1012	-0.0019590948618330123	-1	-1	22	23	24	3.8333	8	0.6	-1	0.6975	0.0833	3.6733	0.1906	0.0204	2.5773	1898	449.0	4.2937	0.0733	0.5682	3.1547	7065	1478	51
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.9859	0.8583	0.6	0.4	437.0	IMd	-1	-1	-1	-1	0.7156441172311483	0.9096385542168676	0.9510086455331412	0.3267408097299071	0.33375900000000003	0.327509	0.331926	-0.0306	-0.5	-0.8348	-11	-1	-1	-0.1355	-1.3015	-1	0.009258751985974908	0.003156	0.003105	0.003105	-3.0846	-3.3007	0.01972749211043362	-1	-1	1	12	11	2.3636	4	0.8571	-1	0.2727	0.0818	3.0221	0.0	0.0	-0.0	216	126.0	1.9591	0.0985	0.9231	2.3397	2099	202	29
Road_Traffic_Fine_Management_Process.xes.gz	1.0	0.5105	0.5	0.6	46371.0	IMd	-1	-1	-1	-1	0.3105568697741302	0.9718309859154929	0.9905660377358492	0.8337880919728565	0.8936120000000001	0.838799	0.8650530000000001	-0.1162	-0.5	-1.9859	-6	-1	-1		-3.2124	-1	0.0	0.0	0.0	0.0	-3.642	-3.9798	0.02299958385995744	-1	-1	0	2	3	1.3333	2	1.0	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	46371	23185.5	-0.0	0.5	2.0	1.0	150370	231	11
BPI_Challenge_2013_incidents.xes.gz	0.9804	0.8305	0.4	0.6	2578.0	IMd	-1	-1	-1	-1	0.6767571316376471	0.5714285714285714	0.7234042553191491	0.4168218024231696	0.474008	0.44656899999999994	0.45762299999999995	0.0016	0.1667	-1.0989	-6	-1	-1	-0.3153	-0.8492	-1	0.2305368205816828	0.02231	0.021087	0.021352	-0.5227	-0.8659	-0.07749308478544784	-1	-1	6	3	7	2.5714	3	0.8	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	4856	824.0	1.585	0.6667	0.75	0.9975	7554	1511	4
BPI_Challenge_2020_DomesticDeclarations.xes.gz	1.0	0.8592	0.5	0.6	2473.0	IMd	-1	-1	-1	-1	0.6712786713499015	0.8536585365853658	0.9318181818181818	0.3670962153753689	0.377373	0.37061900000000003	0.385848	-0.129	-0.5	-1.1463	-9	-1	-1		-2.5375	-1	0.0	0.0	0.0	0.0	-2.3254	-2.5807	0.03073777892478786	-1	-1	0	6	7	1.7143	2	1.0	-1	0.3333	0.25	1.5219	0.0	0.0	-0.0	4618	4618.0	0.971	0.2	1.25	1.3486	10500	99	17
Sepsis Cases - Event Log.xes.gz	0.3733	0.8477	0.4	0.5	476.0	IMd	-1	-1	-1	-1	0.8950851880004236	0.547244094488189	0.8957307060755336	0.11772052057315645	0.121305	0.11798199999999999	0.118244	-0.0088	-0.3333	10.0267	191	-1	-1	0.1487	-1.7709	-1	19.04502431970536	0.426691	0.42073999999999995	0.42905	1.0438	1.0222	0.1253072040154301	-1	-1	18	16	20	3.8	7	0.551	-1	0.3119	0.1131	3.875	0.0346	0.0226	3.75	1728	373.0	4.0	0.4458	0.1495	2.978	1050	846	16
BPI_Challenge_2013_open_problems.xes.gz	0.9997	0.7245	0.6	0.4	228.0	IMd	-1	-1	-1	-1	0.5155072278505866	0.6	0.7741935483870968	0.5384922217790187	0.602176	0.595914	0.6170720000000001	-0.026000000000000002	0.0	-1.35	-5	-1	-1	0.4503	-0.4464	-1	0.0	0.0	0.0	0.0	-0.9602	-0.9632	-0.284126661976216	-1	-1	2	2	4	2.0	3	1.0	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	216	0.0	1.585	0.3333	1.5	0.993	819	108	3
