EVENT_LOG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES	DISCOVERY_ALG
BPI_Challenge_2013_incidents.xes.gz	0.7368421052631579	0.2009484320422154	0.3478260869565217	0.4437543870357371	0.3846153846153846	0.4772727272727273	0.0179296243171483	0.020021	0.0202	0.020154	0.0319	0.0833	-0.5096	-4	0.0175	0.0439	-0.0273	-1.3351	-1.0466	0.0	0.0	0.0	0.0	-0.4205	-0.5726	-0.292146226063833	225.0	0.3571428571428574	9	3	10	2.6	3	0.7333	0.9887	0.5	0.5	-0.0	0.059	0.059	0.9183	12428	2675.0	1.585	1.3333	0.375	0.9695	7554	1511	4	IMf
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	1.1546961325966851	0.3737030748915304	0.8036809815950922	0.5959252971137525	0.7846153846153846	0.8218390804597702	0.2209960384833053	0.224469	0.223642	0.224392	0.087	0.0	1.6429	-8	0.0296	0.0584	0.2292	0.2103	-2.4282	0.9292586304470852	0.111384	0.110777	0.110925	-1.5518	-1.6251	-0.0303135198886214	67143.00000000001	2.268143648566702	35	11	32	3.0	5	0.6842	0.7524	0.6017	0.0195	2.9923	0.0238	0.01	3.2733	373	9.0	3.7951	0.1897	0.2396	3.4605	28	28	26	IMf
BPI_Challenge_2020_DomesticDeclarations.xes.gz	0.9534883720930232	0.4045568507903451	0.4	1.179579643280126	0.8780487804878049	0.9431818181818182	0.3340934401018192	0.343615	0.337444	0.350797	-0.129	-0.5	-1.1463	-9	0.4376	-0.1882		-2.5375	-4.9489	0.0	0.0	0.0	0.0	-2.5462	-2.7493	0.0307377789247878	7369.0	2.242948717948716	0	5	6	1.6667	2	1.0	0.99	0.3333	0.25	1.5219	0.0	0.0	-0.0	4618	4618.0	0.971	0.2	1.25	1.3486	10500	99	17	IMf
Sepsis Cases - Event Log.xes.gz	1.575809199318569	0.6316001176329284	0.9137254901960788	0.9053503352175628	0.5915492957746479	0.7933579335793358	0.2325489680557383	0.238837	0.233695	0.235794	-0.0784	-0.7222	2.0111	-6	0.0145	0.1465	0.3235	-1.0456	-2.2535	1.5122913106349432	0.168812	0.166995	0.167257	-1.1383	-0.6282	0.0795313420312908	30035.56666666668	0.3366445267965131	19	13	26	2.8462	5	0.6444	0.922	0.2857	0.0833	3.5778	0.0429	0.0282	3.625	1828	444.0	4.0	0.4417	0.1509	2.9417	1050	846	16	IMf
BPI_Challenge_2013_open_problems.xes.gz	0.7073170731707317	0.2890401499457434	0.0	0.8348623853211009	0.6	0.7419354838709677	0.3577981651376147	0.418096	0.404584	0.414717	0.1095	0.0	-1.1	-5	0.1166	0.125	0.4503	-0.4464	-1.3497	0.0	0.0	0.0	0.0	-0.9602	-0.94	-0.5225069915292179	136.0	1.125	4	2	5	2.4	3	0.8462	0.9616	0.0	0.0	-0.0	0.0	0.0	-0.0	278	139.0	1.0	1.0	1.0	1.0	819	108	3	IMf
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.9595959595959596	0.6200175022583558	0.5833333333333333	1.746418892760356	0.8285714285714286	0.8823529411764706	0.6198219125048393	0.645878	0.647485	0.64811	0.307	0.3	0.1714	-2	0.1422	0.0844		-2.3172	-3.6506	0.2953929539295393	0.091386	0.09216	0.09008	-1.5272	-1.8063	-0.437976726165683	4819.0	2.3306595365418885	11	6	13	2.7692	4	0.7143	0.9334	0.45	0.225	2.585	0.0	0.0	-0.0	348	287.5	2.585	0.4	0.5	1.7747	232	33	12	HEU_MINER
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	0.978978978978979	0.3913447337069996	0.5	1.156792821810653	0.9306930693069309	0.9655172413793104	0.749568618428619	0.778387	0.758046	0.768019	-0.0549	-0.5	-1.1541	-8	0.3897	0.2794	-0.5552	-2.2776	-5.0697	0.0	0.0	0.0	0.0	-3.1985	-3.4228	0.0661987647974026	79602.5	5.049747474747472	1	6	7	2.0	3	1.0	0.9635	0.2	0.125	1.9183	0.2471	0.1615	2.2516	238	238.0	0.9183	0.2667	0.75	1.4043	1434	116	27	HEU_MINER
ElectronicInvoicingENG.xes.gz	0.813953488372093	0.625751545157428	0.4999999999999999	1.484195709154451	0.5789473684210527	0.7333333333333333	0.5816910979516553	0.619821	0.606272	0.617197	0.2094	0.1667	0.4868	-1	-0.0052	-0.1307	0.3697	-0.0136	-1.8662	0.3991910170533604	0.192183	0.195913	0.191025	-0.8857	-0.5872	-1.714665148543113	1742.0	3.535947712418302	12	9	15	2.8	4	0.75	0.9931	0.2679	0.1429	2.7255	0.0	0.0	-0.0	29904	21444.0	1.5305	0.2222	0.5625	1.8052	20135	7	9	HEU_MINER
BPI_Challenge_2014_Inspection.xes.gz	1.3166023166023166	0.3851323150446463	0.8947368421052633	0.4485906624114265	0.463768115942029	0.6169354838709677	0.1932357865029311	0.197053	0.196337	0.196657	0.0344	0.0	1.1912	-2	0.0099	-0.1855	0.2666	0.2922	-1.2606	0.5070479523763763	0.079399	0.079599	0.079564	-0.6648	-1.3213	-0.0017219763617313	17943.0	0.2233009807636673	34	15	24	4.1667	11	0.5748	0.8836	0.6319	0.0604	2.4635	0.017	0.003	3.4566	73189	2125.0	3.9069	0.3095	0.2308	2.5789	5485	3190	15	HEU_MINER
4a_VARA_CIVEL_-_TJGO.xes	0.9385245901639344	0.3423683449074073	0.3888888888888888	1.001953125	0.8636363636363636	0.9297297297297298	0.580078125	0.602058	0.587377	0.616092	0.0164	0.0	-1.1761	-30	0.1023	0.0974	-0.4413	-2.1614	-3.7628	0.755859375	0.030522	0.030399	0.030543	-2.2855	-2.4845	-0.6018632147607312	10808.770634920633	1.334349880932062	6	8	9	3.5556	6	0.561	0.7985	0.2619	0.0357	2.1556	0.0678	0.0176	2.1556	80	13.5	2.75	0.25	0.5714	2.1696	339	98	16	HEU_MINER
